@relation movement

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute MDS7 numeric
@attribute MDS8 numeric
@attribute MDS9 numeric
@attribute MDS10 numeric
@attribute MDS11 numeric
@attribute MDS12 numeric
@attribute MDS13 numeric
@attribute MDS14 numeric
@attribute MDS15 numeric
@attribute MDS16 numeric
@attribute MDS17 numeric
@attribute MDS18 numeric
@attribute MDS19 numeric
@attribute MDS20 numeric
@attribute MDS21 numeric
@attribute MDS22 numeric
@attribute MDS23 numeric
@attribute MDS24 numeric
@attribute MDS25 numeric
@attribute MDS26 numeric
@attribute MDS27 numeric
@attribute MDS28 numeric
@attribute MDS29 numeric
@attribute MDS30 numeric
@attribute MDS31 numeric
@attribute MDS32 numeric
@attribute MDS33 numeric
@attribute MDS34 numeric
@attribute MDS35 numeric
@attribute MDS36 numeric
@attribute MDS37 numeric
@attribute MDS38 numeric
@attribute MDS39 numeric
@attribute MDS40 numeric
@attribute MDS41 numeric
@attribute MDS42 numeric
@attribute MDS43 numeric
@attribute MDS44 numeric
@attribute MDS45 numeric
@attribute MDS46 numeric
@attribute MDS47 numeric
@attribute MDS48 numeric
@attribute MDS49 numeric
@attribute MDS50 numeric
@attribute MDS51 numeric
@attribute MDS52 numeric
@attribute MDS53 numeric
@attribute MDS54 numeric
@attribute MDS55 numeric
@attribute MDS56 numeric
@attribute MDS57 numeric
@attribute MDS58 numeric
@attribute MDS59 numeric
@attribute MDS60 numeric
@attribute MDS61 numeric
@attribute MDS62 numeric
@attribute MDS63 numeric
@attribute MDS64 numeric
@attribute MDS65 numeric
@attribute MDS66 numeric
@attribute MDS67 numeric
@attribute MDS68 numeric
@attribute MDS69 numeric
@attribute MDS70 numeric
@attribute MDS71 numeric
@attribute MDS72 numeric
@attribute MDS73 numeric
@attribute MDS74 numeric
@attribute MDS75 numeric
@attribute MDS76 numeric
@attribute MDS77 numeric
@attribute MDS78 numeric
@attribute MDS79 numeric
@attribute MDS80 numeric
@attribute MDS81 numeric
@attribute MDS82 numeric
@attribute MDS83 numeric
@attribute MDS84 numeric
@attribute MDS85 numeric
@attribute MDS86 numeric
@attribute MDS87 numeric
@attribute MDS88 numeric
@attribute MDS89 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.829889,0.52978,0.830656,0.543754,0.828764,0.528304,0.827979,0.559753,0.822588,0.504766,0.793019,0.430374,0.736596,0.3758,0.644183,0.355773,0.539909,0.375005,0.421795,0.412151,0.353216,0.462548,0.303247,0.55082,0.312498,0.538267,0.301491,0.777466,0.299574,0.808448,0.296298,0.755946,0.277776,0.55161,0.339953,0.38461,0.478044,0.313341,0.621336,0.358306,0.736141,0.258167,0.813593,0.402685,0.850854,0.533553,0.890778,0.589172,0.904987,0.567802,0.903446,0.551916,0.890664,0.622584,0.856489,0.452834,0.781318,0.330229,0.689411,0.302467,0.540664,0.316926,0.410507,0.390667,0.297423,0.452255,0.223016,0.51541,0.210644,0.602309,0.195456,0.706787,0.220551,0.75903,0.223847,0.714655,0.220129,0.719578,0.202103,0.811548,0.186695,0.733128,0.214438,0.611445,0.313651,0.533526,0.435649,0.469164,0.529178,0.456467,1
0.887353,0.605022,0.890153,0.599995,0.892693,0.594341,0.889912,0.584913,0.877885,0.555563,0.86047,0.512659,0.813519,0.468157,0.720928,0.375005,0.647884,0.439098,0.568723,0.4409,0.482096,0.462548,0.418985,0.498357,0.411642,0.487242,0.392784,0.678873,0.372845,0.735215,0.344224,0.794646,0.324079,0.803216,0.287842,0.722408,0.315249,0.623328,0.389335,0.514656,0.525059,0.483666,0.652385,0.466441,0.738379,0.469796,0.813103,0.442677,0.881237,0.471749,0.914939,0.519127,0.929386,0.658064,0.933944,0.65094,0.915714,0.613705,0.889411,0.549387,0.818173,0.473841,0.727926,0.483969,0.63701,0.53652,0.539562,0.532206,0.453705,0.533139,0.374996,0.540121,0.357605,0.572295,0.328459,0.557586,0.291404,0.616401,0.256839,0.769004,0.223173,0.809814,0.246281,0.780121,0.32179,0.711377,0.398025,0.557637,0.507784,0.517152,1
0.236788,0.219442,0.24943,0.212504,0.255708,0.201261,0.275226,0.182391,0.320275,0.149211,0.395349,0.120249,0.512816,0.114645,0.646516,0.150645,0.76291,0.24038,0.855449,0.38659,0.916465,0.543981,0.930564,0.688522,0.937503,0.617349,0.934184,0.791545,0.935352,0.800003,0.921561,0.773805,0.900465,0.645159,0.813904,0.478263,0.71577,0.339996,0.591998,0.241047,0.477574,0.153599,0.375314,0.104027,0.259163,0.147649,0.165048,0.226113,0.137764,0.240115,0.154025,0.232239,0.168571,0.254839,0.211841,0.223279,0.291572,0.165115,0.409417,0.1358,0.552624,0.132311,0.715994,0.25948,0.833724,0.410111,0.920863,0.537809,0.949066,0.634006,0.931815,0.675921,0.925052,0.659645,0.893311,0.557586,0.849061,0.473545,0.77473,0.419451,0.678108,0.300612,0.588103,0.228915,0.494907,0.19242,0.398025,0.201071,0.309342,0.24538,1
0.140233,0.153598,0.153318,0.140616,0.162105,0.15408,0.204127,0.132086,0.290327,0.126994,0.404655,0.151898,0.515142,0.216565,0.588371,0.333329,0.631452,0.477563,0.646922,0.607033,0.651547,0.719876,0.662035,0.780332,0.683191,0.658158,0.687901,0.7831,0.670266,0.704221,0.623088,0.574404,0.560189,0.374183,0.431757,0.193981,0.302331,0.089999,0.160008,0.042342,0.060689,0.022884,0.025186,0.036923,0,0.104029,0,0.098727,0.035629,0.076272,0.09195,0.038254,0.152625,0.032261,0.211841,0.04089,0.314349,0.043617,0.435291,0.098773,0.545451,0.187699,0.637235,0.364432,0.688528,0.516861,0.724218,0.616247,0.738425,0.682995,0.711362,0.706787,0.695923,0.638552,0.677825,0.518322,0.641513,0.444448,0.562108,0.38602,0.448499,0.282205,0.326959,0.246988,0.234216,0.241981,0.176236,0.233245,0.14008,0.240102,1
0.12874,0.21003,0.130437,0.206253,0.132418,0.210689,0.126149,0.210702,0.135941,0.193659,0.213954,0.177216,0.330999,0.162413,0.437214,0.20193,0.523477,0.288468,0.604263,0.408949,0.663491,0.557011,0.715279,0.68525,0.745688,0.627554,0.757965,0.794368,0.760775,0.816893,0.753812,0.800599,0.752318,0.699996,0.687347,0.508358,0.594322,0.330002,0.461328,0.228017,0.324535,0.166671,0.196473,0.144299,0.122253,0.194633,0.089807,0.216565,0.068884,0.200564,0.087362,0.193997,0.10023,0.225811,0.120725,0.229569,0.161734,0.208731,0.242347,0.19136,0.370809,0.184616,0.515511,0.282793,0.634661,0.412926,0.712229,0.518206,0.76388,0.619602,0.786362,0.706787,0.800851,0.695779,0.797071,0.633503,0.786165,0.640207,0.759993,0.671732,0.703858,0.558287,0.649682,0.445788,0.586556,0.346946,0.483172,0.276143,0.367701,0.26649,1
0.151726,0.269589,0.157896,0.265626,0.162105,0.267297,0.169727,0.264159,0.21429,0.238093,0.283725,0.218352,0.382277,0.226113,0.472094,0.285255,0.535213,0.400648,0.592417,0.543131,0.644391,0.677535,0.692134,0.770488,0.724139,0.673465,0.730359,0.836619,0.721989,0.822527,0.694983,0.723212,0.652783,0.561282,0.540943,0.41472,0.416031,0.313341,0.285328,0.273609,0.179421,0.290849,0.095717,0.318793,0.066015,0.348995,0.063104,0.36306,0.071254,0.327687,0.096549,0.319677,0.10706,0.351607,0.141228,0.323901,0.205014,0.286612,0.29412,0.259267,0.39473,0.249229,0.510736,0.358601,0.601873,0.497191,0.67625,0.627452,0.740735,0.729109,0.749996,0.783947,0.747324,0.737951,0.732219,0.617795,0.698112,0.547613,0.644207,0.507597,0.549358,0.398766,0.456472,0.331333,0.370668,0.300295,0.289107,0.329755,0.223736,0.398415,1
0.183911,0.22884,0.187638,0.224991,0.184933,0.229558,0.197249,0.210702,0.232718,0.187309,0.288378,0.164557,0.36596,0.165605,0.437214,0.20193,0.507045,0.253202,0.575828,0.341858,0.63484,0.456033,0.689824,0.586881,0.734914,0.584189,0.751588,0.797179,0.756463,0.819716,0.751627,0.803569,0.750008,0.745161,0.694788,0.632107,0.627907,0.49334,0.538672,0.368071,0.445913,0.261442,0.332483,0.191282,0.212709,0.194633,0.123788,0.222935,0.097386,0.211864,0.105748,0.213118,0.10706,0.261291,0.118452,0.245286,0.127558,0.230533,0.152937,0.234573,0.200955,0.215387,0.30549,0.265299,0.416866,0.311794,0.52518,0.361343,0.627307,0.449565,0.702268,0.543215,0.770871,0.602405,0.784525,0.562822,0.773592,0.582013,0.747367,0.702129,0.701717,0.656441,0.639067,0.548193,0.578417,0.431495,0.49901,0.34048,0.404665,0.308709,1
0.190804,0.194361,0.201374,0.196871,0.200915,0.194971,0.201838,0.185543,0.258068,0.16826,0.34419,0.148726,0.456875,0.171975,0.567451,0.259613,0.657277,0.371793,0.708533,0.53035,0.744633,0.657989,0.777786,0.740985,0.784486,0.668363,0.78769,0.828162,0.788798,0.825351,0.790847,0.761899,0.784726,0.690325,0.727052,0.548495,0.638247,0.4,0.511994,0.283388,0.374666,0.20589,0.251885,0.18457,0.149139,0.221481,0.101942,0.232483,0.102139,0.220333,0.119535,0.207653,0.127564,0.254839,0.157174,0.232707,0.200456,0.208731,0.287065,0.185187,0.411477,0.181545,0.563251,0.282793,0.695551,0.415729,0.803355,0.549014,0.858795,0.662827,0.86363,0.728387,0.856525,0.689754,0.841005,0.617795,0.823905,0.629624,0.781054,0.671732,0.71888,0.56441,0.643304,0.436744,0.56416,0.338192,0.475248,0.273456,0.375486,0.255935,1
0.714948,0.7837,0.697941,0.771877,0.6758,0.761,0.64908,0.748434,0.589866,0.714292,0.509306,0.683546,0.412586,0.684708,0.316284,0.714745,0.260561,0.724354,0.215645,0.760386,0.171833,0.824105,0.192128,0.839339,0.267238,0.676022,0.314224,0.805637,0.340522,0.777466,0.3769,0.744041,0.428246,0.683872,0.459057,0.655513,0.509051,0.656664,0.562674,0.6873,0.6306,0.715687,0.700244,0.751674,0.748162,0.761746,0.774265,0.808915,0.767215,0.725996,0.763215,0.666667,0.744879,0.745161,0.706147,0.704396,0.637807,0.672893,0.564699,0.666667,0.468903,0.680003,0.386631,0.737601,0.32084,0.780905,0.275782,0.79552,0.261578,0.812683,0.236358,0.833334,0.274089,0.786147,0.303344,0.672767,0.32495,0.664024,0.345262,0.729481,0.377684,0.687119,0.441609,0.674697,0.527496,0.679298,0.60198,0.689008,0.643964,0.707118,1
0.574716,0.868341,0.576653,0.865621,0.575339,0.871065,0.573391,0.874217,0.573736,0.882538,0.560465,0.870249,0.533798,0.856683,0.495347,0.836534,0.446013,0.801282,0.400478,0.769964,0.360384,0.765482,0.344906,0.7541,0.364221,0.6301,0.324838,0.805637,0.254314,0.833796,0.24836,0.809522,0.280098,0.745161,0.290318,0.692298,0.320419,0.689999,0.370668,0.723127,0.469662,0.72876,0.566748,0.755038,0.640579,0.791943,0.68689,0.824847,0.693582,0.737296,0.691952,0.691253,0.674266,0.793545,0.646921,0.742134,0.58997,0.710279,0.517646,0.706787,0.42105,0.719999,0.343679,0.752186,0.283378,0.769668,0.227814,0.79552,0.206013,0.824211,0.197724,0.879627,0.261236,0.795178,0.288699,0.672767,0.31656,0.640207,0.336838,0.732527,0.332619,0.745399,0.369427,0.762047,0.427697,0.758016,0.475248,0.739944,0.513618,0.728228,1
0.482761,0.7116,0.487415,0.706253,0.486304,0.713834,0.479358,0.710695,0.45622,0.698411,0.413949,0.686704,0.35897,0.678338,0.279072,0.682691,0.19249,0.695513,0.116116,0.670936,0.066828,0.700331,0.020836,0.806549,0.099134,0.665817,0.154986,0.766197,0.17888,0.721123,0.215685,0.675589,0.263894,0.580638,0.302724,0.484952,0.374684,0.426669,0.450671,0.413678,0.556733,0.408504,0.667504,0.449668,0.733499,0.567113,0.747574,0.573254,0.738712,0.49435,0.712644,0.431689,0.660593,0.461294,0.596811,0.433965,0.507969,0.442373,0.428236,0.490747,0.342102,0.550763,0.284008,0.658884,0.236533,0.750009,0.177453,0.798316,0.180558,0.798279,0.197724,0.771601,0.26552,0.689754,0.315902,0.562822,0.352198,0.500002,0.383161,0.522803,0.41201,0.490797,0.47983,0.484941,0.560085,0.495628,0.617828,0.52815,0.651749,0.625334,1
0.632181,0.683392,0.638444,0.678119,0.639268,0.679246,0.621558,0.663529,0.548387,0.625396,0.460467,0.60126,0.386941,0.601912,0.313952,0.631406,0.244129,0.666671,0.189574,0.712466,0.145588,0.755703,0.150469,0.773774,0.200429,0.665817,0.235664,0.805637,0.254314,0.791545,0.274503,0.744041,0.287039,0.67742,0.277912,0.612038,0.286835,0.576672,0.309331,0.553747,0.387857,0.519609,0.493704,0.483228,0.584354,0.479871,0.64563,0.477705,0.71021,0.485881,0.756322,0.546451,0.783602,0.67742,0.781318,0.654092,0.767646,0.651091,0.734117,0.611107,0.653105,0.563072,0.570407,0.585999,0.49415,0.612363,0.419661,0.633055,0.374995,0.651298,0.324999,0.675921,0.323342,0.680724,0.309628,0.646598,0.287209,0.69047,0.267364,0.790276,0.248923,0.779137,0.271758,0.765066,0.32179,0.737612,0.370302,0.662196,0.424128,0.612135,1
0.590809,0.780572,0.594967,0.781246,0.593611,0.77987,0.591747,0.783022,0.589866,0.787306,0.551159,0.74367,0.487171,0.659242,0.386043,0.599352,0.269955,0.567312,0.154021,0.568692,0.054896,0.586322,0,0.672134,0,0.678568,0,0.873236,0,0.86479,0,0.809522,0,0.654831,0.002476,0.471573,0.051687,0.359997,0.122674,0.381102,0.253301,0.382359,0.423173,0.402685,0.542791,0.489932,0.633496,0.557323,0.695965,0.641243,0.710339,0.644807,0.7016,0.751613,0.690201,0.685527,0.649196,0.560749,0.58117,0.506173,0.45933,0.436928,0.348454,0.472306,0.257613,0.528098,0.165464,0.591041,0.101847,0.651298,0.018182,0.688267,0,0.737951,0,0.680627,0,0.666664,0,0.717322,0.006438,0.656441,0.067944,0.530119,0.183295,0.419832,0.293069,0.388741,0.404665,0.411614,1
0.627593,0.75235,0.631583,0.749993,0.630144,0.757862,0.626147,0.761014,0.619814,0.752376,0.595345,0.727853,0.552441,0.665598,0.476747,0.605763,0.380284,0.567312,0.274879,0.568692,0.181383,0.612383,0.129633,0.659018,0.122845,0.604588,0.061571,0.856333,0.038793,0.940847,0.050108,0.898802,0.050927,0.803216,0.042181,0.668892,0.093033,0.556671,0.165329,0.475565,0.269125,0.408504,0.423173,0.409397,0.559894,0.473159,0.660187,0.541405,0.722085,0.641243,0.740229,0.661202,0.728934,0.76775,0.706147,0.720127,0.669699,0.657322,0.625887,0.604933,0.545451,0.556917,0.479716,0.603493,0.414517,0.634837,0.345322,0.624645,0.305559,0.616713,0.247732,0.620374,0.239825,0.620478,0.217574,0.612559,0.178195,0.674607,0.143154,0.817627,0.118021,0.819011,0.144374,0.78314,0.219959,0.696792,0.281193,0.579086,0.334629,0.527707,1
0.740228,0.351101,0.734556,0.35312,0.737439,0.355341,0.745413,0.358493,0.74885,0.361905,0.727913,0.360762,0.650345,0.347128,0.548839,0.339739,0.460091,0.326918,0.386254,0.332266,0.322195,0.342025,0.296306,0.354098,0.321122,0.33418,0.34183,0.467607,0.35992,0.464784,0.398695,0.425596,0.460654,0.35806,0.511168,0.324419,0.586574,0.320009,0.666667,0.33551,0.765169,0.336604,0.851385,0.332217,0.911971,0.342283,0.944172,0.340758,0.926367,0.307905,0.871262,0.295079,0.790432,0.341936,0.699316,0.327053,0.587698,0.330229,0.489412,0.351853,0.392343,0.369231,0.324578,0.431487,0.281029,0.480335,0.254197,0.490192,0.273151,0.472621,0.293181,0.425922,0.368311,0.379522,0.435148,0.340309,0.496861,0.343911,0.547371,0.404259,0.585836,0.417172,0.645434,0.445788,0.710795,0.466471,0.756436,0.461126,0.785988,0.464377,2
