@relation autos-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1-weka.filters.unsupervised.attribute.AddExpression-Ea72+11-Nexpression-weka.filters.unsupervised.attribute.Remove-R72-weka.filters.unsupervised.attribute.AddExpression-Ea72-11-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Ea72+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R72-73

@attribute normalized-losses numeric
@attribute make=alfa-romero numeric
@attribute make=audi numeric
@attribute make=bmw numeric
@attribute make=chevrolet numeric
@attribute make=dodge numeric
@attribute make=honda numeric
@attribute make=isuzu numeric
@attribute make=jaguar numeric
@attribute make=mazda numeric
@attribute make=mercedes-benz numeric
@attribute make=mercury numeric
@attribute make=mitsubishi numeric
@attribute make=nissan numeric
@attribute make=peugot numeric
@attribute make=plymouth numeric
@attribute make=porsche numeric
@attribute make=renault numeric
@attribute make=saab numeric
@attribute make=subaru numeric
@attribute make=toyota numeric
@attribute make=volkswagen numeric
@attribute make=volvo numeric
@attribute fuel-type numeric
@attribute aspiration numeric
@attribute num-of-doors numeric
@attribute body-style=hardtop numeric
@attribute body-style=wagon numeric
@attribute body-style=sedan numeric
@attribute body-style=hatchback numeric
@attribute body-style=convertible numeric
@attribute drive-wheels=4wd numeric
@attribute drive-wheels=fwd numeric
@attribute drive-wheels=rwd numeric
@attribute engine-location numeric
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type=dohc numeric
@attribute engine-type=dohcv numeric
@attribute engine-type=l numeric
@attribute engine-type=ohc numeric
@attribute engine-type=ohcf numeric
@attribute engine-type=ohcv numeric
@attribute engine-type=rotor numeric
@attribute num-of-cylinders=eight numeric
@attribute num-of-cylinders=five numeric
@attribute num-of-cylinders=four numeric
@attribute num-of-cylinders=six numeric
@attribute num-of-cylinders=three numeric
@attribute num-of-cylinders=twelve numeric
@attribute num-of-cylinders=two numeric
@attribute engine-size numeric
@attribute fuel-system=1bbl numeric
@attribute fuel-system=2bbl numeric
@attribute fuel-system=4bbl numeric
@attribute fuel-system=idi numeric
@attribute fuel-system=mfi numeric
@attribute fuel-system=mpfi numeric
@attribute fuel-system=spdi numeric
@attribute fuel-system=spfi numeric
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute a72+1 {1,2,3,4,5}

@data
0.664921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.425656,0.532836,0.375,0.541667,0.351823,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.177358,0,0,0,0,0,1,0,0,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,0.28082,4
0.664921,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.425656,0.532836,0.375,0.541667,0.351823,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.177358,0,0,0,0,0,1,0,0,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,0.293109,2
0.643979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.425656,0.532836,0.375,0.541667,0.474011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.388679,0,0,0,0,0,1,0,0,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,0.393526,2
0.643979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.425656,0.532836,0.375,0.541667,0.495345,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.388679,0,0,0,0,0,1,0,0,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,0.396877,2
0.298429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.492711,0.714925,0.55,0.658333,0.607836,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.388679,0,0,0,0,0,1,0,0,0.55,0.533333,0.125,0.304167,0.040816,0.194444,0.236842,0.482771,3
0.298429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.492711,0.714925,0.55,0.658333,0.675718,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.558491,0,0,0,0,0,1,0,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,0.636562,2
0.298429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.492711,0.786567,0.633333,0.491667,0.733902,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.558491,0,0,0,0,0,1,0,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,0.89859,2
0.298429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.682216,0.834328,0.883333,0.708333,0.782389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.558491,0,0,0,0,0,1,0,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.055556,0.105263,0.788491,2
0.293194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.052478,0,0,0.45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.264286,0.457143,0.15625,0,0.387755,0.944444,0.973684,0.000819,4
0.172775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.230321,0.220896,0.275,0.35,0.149728,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.029219,3
0.08377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.230321,0.264179,0.275,0.35,0.163305,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.03617,2
0.277487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.206997,0.241791,0.291667,0.25,0.150504,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.307143,0.552381,0.150625,0.083333,0.55102,0.666667,0.657895,0.011271,3
0.277487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.206997,0.241791,0.291667,0.25,0.150504,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.031255,3
0.277487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.206997,0.241791,0.291667,0.25,0.248254,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.139623,0,0,0,0,0,1,0,0,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.070478,3
0.434555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.206997,0.241791,0.291667,0.233333,0.185803,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.027581,3
0.434555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.206997,0.241791,0.291667,0.233333,0.194337,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.039075,3
0.434555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.206997,0.241791,0.291667,0.233333,0.194337,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.061839,3
0.434555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.206997,0.241791,0.291667,0.233333,0.272692,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.139623,0,0,0,0,0,1,0,0,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.085398,3
0.235602,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.48688,0.5,0.358333,1,0.406129,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.230189,0,1,0,0,0,0,0,0,0.571429,0.661905,0.09375,0.166667,0.346939,0.305556,0.368421,0.094409,1
0.418848,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.271137,0.479104,0.5,0.2,0.513189,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.358491,0,0,0,0,1,0,0,0,0.757143,0.871429,0,0.404167,0.346939,0.166667,0.210526,0.194777,5
0.376963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.052239,0.3,0.25,0.087277,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.264286,0.638095,0.1625,0.041667,0.265306,1,1,0.033787,4
0.376963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.052239,0.3,0.25,0.128394,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.264286,0.638095,0.1375,0.116667,0.755102,0.5,0.578947,0.043121,4
0.188482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.206997,0.132836,0.308333,0.4,0.135376,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.067925,1,0,0,0,0,0,0,0,0.264286,0.47619,0.19375,0.05,0.55102,0.694444,0.684211,0.006976,3
0.188482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.206997,0.132836,0.308333,0.4,0.17533,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.035028,3
0.188482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.206997,0.132836,0.308333,0.4,0.181536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.049923,3
0.235602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.28863,0.332836,0.308333,0.558333,0.202483,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.054044,2
0.068063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.28863,0.238806,0.3,0.875,0.207913,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.116981,1,0,0,0,0,0,0,0,0.271429,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,0.054044,2
0.21466,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.28863,0.39403,0.408333,0.458333,0.290147,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,1,0,0,0,0,0,0,0,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.068939,2
0.21466,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.28863,0.39403,0.408333,0.458333,0.310706,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,1,0,0,0,0,0,0,0,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.098729,2
0.104712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.28863,0.51194,0.408333,0.525,0.316524,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,1,0,0,0,0,0,0,0,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.092523,2
0.104712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.28863,0.51194,0.183333,0.525,0.342901,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,1,0,0,0,0,0,0,0,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,0.128519,2
0.104712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.28863,0.51194,0.408333,0.525,0.378976,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,0,0,0,0,0,1,0,0,0.435714,0.719048,0.125,0.220833,0.673469,0.305556,0.315789,0.194305,2
0.219895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.28863,0.41791,0.475,0.266667,0.312258,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.184906,0,1,0,0,0,0,0,0,0.435714,0.719048,0.13125,0.216667,0.55102,0.333333,0.394737,0.12976,3
0.298429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.22449,0.441791,0.125,0.475,0.329325,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.188679,0,1,0,0,0,0,0,0,0.55,0.552381,0.09375,0.125,0.265306,0.305556,0.342105,0.041383,2
0.298429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.230321,0.220896,0.275,0.35,0.149728,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.200813,3
0.298429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.230321,0.220896,0.275,0.35,0.163305,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.109434,0,1,0,0,0,0,0,0,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.200813,2
0.298429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.274052,0.470149,0.408333,0.3,0.48332,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.218868,0,0,0,0,0,0,0,1,0.635714,0.552381,0.1375,0.175,0.346939,0.305556,0.342105,0.147212,4
0.418848,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.769679,0.873134,0.775,0.416667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.743396,0,0,0,0,0,1,0,0,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,0.673551,2
0.298429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.769679,0.873134,0.775,0.416667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.743396,0,0,0,0,0,1,0,0,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,0.755474,2
0.298429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.44898,0.755224,0.858333,0,0.955004,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.714286,0.328571,0.28125,0.891667,0.346939,0,0.026316,0.766645,2
0.204188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.189504,0.268657,0.325,0.525,0.155935,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.113208,0,1,0,0,0,0,0,0,0.35,0.514286,0.125,0.083333,0.346939,0.472222,0.394737,0.001912,3
0.204188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.189504,0.268657,0.325,0.525,0.159814,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.113208,0,1,0,0,0,0,0,0,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.024254,3
0.204188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.189504,0.268657,0.325,0.525,0.161753,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.113208,0,1,0,0,0,0,0,0,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.041631,3
0.251309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.189504,0.383582,0.325,0.525,0.177269,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.113208,0,1,0,0,0,0,0,0,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.039149,3
0.251309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.189504,0.383582,0.325,0.525,0.179209,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.113208,0,1,0,0,0,0,0,0,0.385714,0.514286,0.125,0.083333,0.346939,0.5,0.578947,0.056526,3
0.445026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.253644,0.416418,0.45,0.15,0.346005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.033962,0,0,1,0,0,0,0,0,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,0.144655,5
0.445026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.253644,0.416418,0.45,0.15,0.346005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.033962,0,0,1,0,0,0,0,0,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,0.166998,5
0.445026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.253644,0.416418,0.45,0.15,0.347944,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.033962,0,0,1,0,0,0,0,0,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,0.211683,5
0.445026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.253644,0.416418,0.45,0.15,0.392552,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.071698,0,0,0,0,0,1,0,0,0.564108,0.564487,0.15,0.3625,0.755102,0.083333,0.184211,0.261333,5
0.335079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.355685,0.547761,0.516667,0.491667,0.347944,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.230189,0,1,0,0,0,0,0,0,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,0.092523,3
