@relation 'abalone-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,2,22,23,24,25,26,27,28,29-weka.filters.unsupervised.attribute.AddExpression-Ea11-2-Nexpression-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.AddExpression-Ea11-1-Nexpression-weka.filters.unsupervised.attribute.Remove-R11'

@attribute Sex=M numeric
@attribute Sex=F numeric
@attribute Sex=I numeric
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute 'Whole weight' numeric
@attribute 'Shucked weight' numeric
@attribute 'Viscera weight' numeric
@attribute 'Shell weight' numeric
@attribute a11-1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}

@data
0,1,0,0.540541,0.563025,0.106195,0.187179,0.142905,0.151415,0.167912,8
0,0,1,0.317568,0.302521,0.061947,0.052771,0.041695,0.052666,0.043348,4
1,0,0,0.648649,0.621849,0.115044,0.270763,0.176866,0.22054,0.272546,11
0,1,0,0.439189,0.445378,0.097345,0.124314,0.093813,0.129032,0.098156,6
0,1,0,0.702703,0.705882,0.150442,0.440942,0.322125,0.295589,0.422023,18
1,0,0,0.668919,0.714286,0.154867,0.418984,0.31809,0.342989,0.37718,9
0,1,0,0.716216,0.663866,0.172566,0.388171,0.322798,0.380513,0.312407,11
0,1,0,0.709459,0.705882,0.132743,0.356118,0.296907,0.290323,0.277529,13
1,0,0,0.702703,0.705882,0.123894,0.333628,0.243107,0.24819,0.312407,7
0,1,0,0.709459,0.697479,0.132743,0.325837,0.243443,0.254773,0.302441,8
0,1,0,0.648649,0.621849,0.123894,0.278378,0.188971,0.209348,0.282511,9
0,1,0,0.72973,0.705882,0.150442,0.389764,0.315064,0.309414,0.342302,12
0,1,0,0.675676,0.655462,0.123894,0.332566,0.257902,0.331139,0.282511,7
1,0,0,0.736486,0.764706,0.154867,0.571277,0.342636,0.25214,0.671151,10
0,1,0,0.601351,0.621849,0.146018,0.349389,0.265636,0.295589,0.317389,14
1,0,0,0.702703,0.705882,0.141593,0.465911,0.273705,0.307439,0.576482,19
1,0,0,0.682432,0.663866,0.123894,0.358066,0.254876,0.283739,0.35725,12
0,1,0,0.668919,0.689076,0.159292,0.457942,0.227303,0.292298,0.436971,10
1,0,0,0.743243,0.689076,0.123894,0.422525,0.323806,0.269256,0.39711,11
1,0,0,0.655405,0.647059,0.141593,0.305472,0.221587,0.272548,0.257598,8
0,1,0,0.52027,0.504202,0.115044,0.182398,0.147613,0.14944,0.16293,7
0,1,0,0.675676,0.663866,0.141593,0.345493,0.210155,0.303489,0.327354,10
1,0,0,0.662162,0.621849,0.119469,0.286701,0.228648,0.219882,0.252616,13
1,0,0,0.648649,0.647059,0.132743,0.26669,0.205783,0.200132,0.257598,10
1,0,0,0.702703,0.689076,0.154867,0.394192,0.269334,0.333772,0.387145,11
0,1,0,0.743243,0.739496,0.146018,0.446255,0.340282,0.418038,0.387145,8
1,0,0,0.837838,0.848739,0.168142,0.528422,0.394755,0.450296,0.481814,13
1,0,0,0.797297,0.806723,0.172566,0.568089,0.386348,0.510204,0.476831,12
1,0,0,0.621622,0.638655,0.132743,0.256065,0.180229,0.181698,0.247633,7
1,0,0,0.533784,0.537815,0.115044,0.184523,0.143241,0.17314,0.143,6
1,0,0,0.533784,0.529412,0.115044,0.184346,0.134499,0.174457,0.16293,5
0,1,0,0.540541,0.537815,0.110619,0.204179,0.185945,0.111257,0.152965,8
0,0,1,0.385135,0.352941,0.084071,0.081282,0.069939,0.059908,0.073244,5
1,0,0,0.641892,0.638655,0.128319,0.297857,0.219906,0.251481,0.252616,13
1,0,0,0.614865,0.638655,0.141593,0.312024,0.211836,0.215273,0.332337,13
1,0,0,0.614865,0.605042,0.123894,0.255711,0.208137,0.219882,0.20279,8
1,0,0,0.716216,0.697479,0.141593,0.414911,0.333894,0.315997,0.342302,10
0,1,0,0.601351,0.596639,0.137168,0.256774,0.195024,0.240948,0.232686,10
0,1,0,0.635135,0.630252,0.146018,0.283336,0.196705,0.24029,0.277529,9
0,1,0,0.574324,0.579832,0.110619,0.2357,0.174849,0.172482,0.217738,8
0,1,0,0.587838,0.563025,0.119469,0.223659,0.154674,0.235023,0.197808,7
0,1,0,0.486486,0.571429,0.09292,0.128033,0.090787,0.128374,0.128052,7
1,0,0,0.567568,0.571429,0.110619,0.191075,0.159045,0.176432,0.152965,7
1,0,0,0.527027,0.512605,0.09292,0.151939,0.114997,0.140224,0.172895,7
0,0,1,0.486486,0.445378,0.070796,0.117053,0.099193,0.082949,0.103139,7
1,0,0,0.472973,0.495798,0.09292,0.138481,0.086752,0.082291,0.16293,7
0,1,0,0.635135,0.596639,0.110619,0.244909,0.199395,0.191573,0.207773,9
0,1,0,0.614865,0.605042,0.10177,0.208783,0.156019,0.208032,0.177877,9
0,1,0,0.560811,0.537815,0.119469,0.216221,0.17115,0.133641,0.217738,9
1,0,0,0.493243,0.478992,0.09292,0.141668,0.087088,0.125082,0.16293,8
0,1,0,0.655405,0.630252,0.132743,0.311847,0.232347,0.225806,0.307424,7
1,0,0,0.445946,0.420168,0.075221,0.091553,0.076328,0.077683,0.083209,6
0,1,0,0.533784,0.521008,0.09292,0.14822,0.108944,0.135616,0.138017,7
0,0,1,0.418919,0.403361,0.075221,0.089074,0.068594,0.075049,0.083209,5
0,1,0,0.594595,0.621849,0.123894,0.270586,0.203766,0.226465,0.252616,12
1,0,0,0.398649,0.352941,0.066372,0.075084,0.059852,0.066491,0.068261,4
0,0,1,0.385135,0.378151,0.070796,0.061449,0.0538,0.065833,0.068261,4
0,0,1,0.263514,0.235294,0.053097,0.025146,0.018494,0.030283,0.028401,3
0,0,1,0.405405,0.369748,0.079646,0.083584,0.071621,0.071099,0.068261,4
0,0,1,0.418919,0.394958,0.075221,0.088011,0.074647,0.079658,0.078226,6
1,0,0,0.844595,0.806723,0.141593,0.610413,0.422999,0.34628,0.536622,17
1,0,0,0.858108,0.815126,0.146018,0.693111,0.514795,0.342989,0.775785,16
1,0,0,0.702703,0.714286,0.146018,0.446255,0.324479,0.371955,0.407075,15
0,1,0,0.493243,0.495798,0.110619,0.142199,0.117014,0.082291,0.127055,7
0,1,0,0.337838,0.344538,0.079646,0.067115,0.05649,0.046741,0.060289,5
0,0,1,0.371622,0.344538,0.084071,0.074022,0.057162,0.073074,0.066268,5
0,0,1,0.256757,0.243697,0.057522,0.033823,0.026227,0.026333,0.026408,5
0,1,0,0.472973,0.462185,0.10177,0.143085,0.10928,0.105991,0.133533,6
0,1,0,0.310811,0.294118,0.070796,0.054542,0.044721,0.044766,0.046338,5
1,0,0,0.364865,0.336134,0.079646,0.070303,0.062542,0.038183,0.061286,7
0,1,0,0.445946,0.453782,0.097345,0.125199,0.100874,0.082291,0.115097,7
1,0,0,0.405405,0.386555,0.084071,0.088897,0.063887,0.075049,0.090683,7
0,1,0,0.662162,0.655462,0.137168,0.291836,0.228648,0.269914,0.245142,8
0,1,0,0.641892,0.663866,0.128319,0.261732,0.197714,0.188282,0.264076,8
1,0,0,0.777027,0.781513,0.168142,0.475474,0.348352,0.402238,0.443448,14
1,0,0,0.655405,0.672269,0.137168,0.281565,0.227976,0.249506,0.240159,9
1,0,0,0.540541,0.537815,0.115044,0.182575,0.13887,0.152732,0.167912,8
0,1,0,0.560811,0.546218,0.110619,0.193731,0.164089,0.140882,0.171898,8
1,0,0,0.52027,0.495798,0.106195,0.181689,0.149966,0.14154,0.154459,8
0,0,1,0.277027,0.252101,0.070796,0.044271,0.034297,0.050691,0.040359,7
0,0,1,0.135135,0.12605,0.048673,0.010448,0.006389,0.0079,0.010962,3
0,0,1,0.128378,0.12605,0.084071,0.009917,0.00807,0.009875,0.00847,2
1,0,0,0.695946,0.705882,0.128319,0.372233,0.296234,0.344305,0.322372,13
0,1,0,0.716216,0.747899,0.163717,0.395431,0.314728,0.339697,0.332337,7
0,1,0,0.756757,0.773109,0.168142,0.485036,0.339946,0.400922,0.446936,8
0,1,0,0.716216,0.722689,0.141593,0.373473,0.248151,0.309414,0.352267,8
0,1,0,0.662162,0.663866,0.119469,0.349389,0.259583,0.196182,0.307424,10
1,0,0,0.594595,0.588235,0.115044,0.255003,0.214526,0.171824,0.207773,8
0,1,0,0.675676,0.680672,0.168142,0.351337,0.262946,0.318631,0.337319,11
1,0,0,0.77027,0.722689,0.190265,0.535506,0.36651,0.343647,0.63129,14
0,1,0,0.682432,0.672269,0.150442,0.320701,0.250841,0.280448,0.282511,11
0,1,0,0.675676,0.680672,0.146018,0.397379,0.200067,0.234365,0.436971,11
1,0,0,0.716216,0.689076,0.146018,0.373296,0.282784,0.325214,0.337319,11
0,1,0,0.716216,0.722689,0.141593,0.432088,0.35575,0.338381,0.277529,11
1,0,0,0.722973,0.722689,0.154867,0.440057,0.365165,0.390388,0.342302,10
0,1,0,0.878378,0.848739,0.185841,0.75757,0.436449,0.523371,1,16
0,1,0,0.777027,0.823529,0.20354,0.619798,0.376261,0.380513,0.810663,14
1,0,0,0.878378,0.865546,0.168142,0.902426,0.719233,0.635286,0.720977,12
0,1,0,0.878378,0.87395,0.154867,0.751549,0.513786,0.593812,0.845541,18
0,1,0,0.817568,0.865546,0.181416,0.651673,0.419637,0.536537,0.646238,18
1,0,0,0.851351,0.848739,0.19469,0.700903,0.549092,0.40553,0.755855,12
0,1,0,0.817568,0.773109,0.154867,0.572516,0.343981,0.537854,0.616343,10
1,0,0,0.837838,0.831933,0.190265,0.692226,0.47848,0.711652,0.586447,12
0,1,0,0.614865,0.571429,0.128319,0.273774,0.206456,0.221856,0.252616,5
1,0,0,0.608108,0.638655,0.137168,0.376483,0.32616,0.306122,0.282511,6
0,1,0,0.601351,0.588235,0.10177,0.274128,0.214526,0.242265,0.217738,6
0,0,1,0.216216,0.176471,0.035398,0.016292,0.011769,0.023041,0.013453,3
0,0,1,0.385135,0.344538,0.079646,0.062511,0.042703,0.048058,0.073244,5
0,0,1,0.324324,0.260504,0.053097,0.043563,0.039677,0.048716,0.033383,3
0,0,1,0.324324,0.319328,0.075221,0.050115,0.03497,0.061883,0.048331,6
0,0,1,0.202703,0.176471,0.039823,0.015761,0.01614,0.019092,0.013453,2
1,0,0,0.682432,0.705882,0.132743,0.342837,0.258238,0.284398,0.347285,9
1,0,0,0.668919,0.714286,0.159292,0.332035,0.267653,0.262673,0.292476,12
1,0,0,0.763514,0.764706,0.154867,0.483797,0.345662,0.349572,0.566517,19
0,1,0,0.655405,0.663866,0.141593,0.361785,0.287828,0.352205,0.297459,8
0,1,0,0.736486,0.705882,0.154867,0.359306,0.292199,0.281106,0.322372,8
0,1,0,0.77027,0.764706,0.176991,0.554454,0.416947,0.482554,0.456901,10
1,0,0,0.736486,0.731092,0.168142,0.430671,0.366174,0.38973,0.352267,11
0,1,0,0.75,0.714286,0.132743,0.372056,0.262946,0.441738,0.282511,10
0,1,0,0.75,0.747899,0.163717,0.489109,0.362475,0.435813,0.37718,8
0,1,0,0.75,0.714286,0.141593,0.423942,0.353396,0.440421,0.312407,9
0,1,0,0.689189,0.680672,0.150442,0.329556,0.244788,0.356155,0.287494,7
1,0,0,0.72973,0.714286,0.159292,0.409952,0.325151,0.284398,0.322372,11
1,0,0,0.722973,0.722689,0.150442,0.361431,0.281103,0.315997,0.35725,10
1,0,0,0.682432,0.663866,0.132743,0.327608,0.184936,0.238315,0.35725,12
0,0,1,0.378378,0.369748,0.075221,0.077209,0.061197,0.078341,0.147982,6
0,1,0,0.587838,0.579832,0.123894,0.287763,0.308003,0.258065,0.192825,8
1,0,0,0.574324,0.588235,0.137168,0.272711,0.232011,0.201448,0.242651,10
0,1,0,0.581081,0.596639,0.132743,0.227377,0.190989,0.190257,0.207773,9
1,0,0,0.763514,0.747899,0.163717,0.460953,0.298252,0.34628,0.461883,14
1,0,0,0.655405,0.663866,0.141593,0.325837,0.289845,0.233706,0.257598,13
1,0,0,0.689189,0.680672,0.163717,0.325837,0.243779,0.279789,0.282511,8
0,1,0,0.506757,0.487395,0.106195,0.146804,0.110625,0.124424,0.133034,7
1,0,0,0.574324,0.579832,0.146018,0.291482,0.170141,0.269256,0.282511,11
0,1,0,0.574324,0.579832,0.128319,0.222419,0.156691,0.192232,0.227703,10
0,1,0,0.614865,0.638655,0.150442,0.288118,0.200067,0.203423,0.272546,11
1,0,0,0.466216,0.470588,0.10177,0.129981,0.114324,0.092824,0.118087,6
0,1,0,0.493243,0.478992,0.123894,0.170002,0.124412,0.142199,0.157947,7
0,0,1,0.439189,0.411765,0.097345,0.110855,0.072629,0.087558,0.118087,7
0,0,1,0.486486,0.478992,0.097345,0.133699,0.099866,0.111257,0.118087,6
0,1,0,0.608108,0.605042,0.150442,0.294138,0.1846,0.221198,0.307424,11
0,0,1,0.398649,0.378151,0.084071,0.093324,0.081372,0.067808,0.078226,5
0,1,0,0.560811,0.521008,0.128319,0.224013,0.13349,0.213298,0.217738,8
1,0,0,0.351351,0.327731,0.079646,0.063396,0.050101,0.053983,0.058296,5
0,1,0,0.459459,0.453782,0.09292,0.133876,0.10659,0.102699,0.118087,10
1,0,0,0.574324,0.588235,0.123894,0.217284,0.161399,0.177749,0.20279,7
0,1,0,0.554054,0.571429,0.141593,0.233044,0.16577,0.167874,0.232686,12
1,0,0,0.641892,0.588235,0.123894,0.283513,0.163416,0.214615,0.252616,8
1,0,0,0.506757,0.495798,0.115044,0.16221,0.116342,0.14549,0.133034,6
0,0,1,0.445946,0.411765,0.106195,0.114043,0.084398,0.091508,0.108122,5
1,0,0,0.533784,0.512605,0.119469,0.176731,0.111298,0.150757,0.16293,8
0,1,0,0.459459,0.420168,0.115044,0.112626,0.087088,0.098749,0.103139,6
0,1,0,0.5,0.453782,0.110619,0.160439,0.119368,0.147465,0.138017,7
0,1,0,0.533784,0.495798,0.128319,0.182575,0.125084,0.161949,0.177877,9
0,1,0,0.560811,0.537815,0.132743,0.203117,0.147276,0.18894,0.187843,7
0,1,0,0.5,0.504202,0.132743,0.171064,0.121049,0.163924,0.152965,9
0,0,1,0.472973,0.546218,0.09292,0.114928,0.085743,0.102699,0.098156,8
0,1,0,0.574324,0.529412,0.119469,0.158668,0.11466,0.138249,0.152965,7
0,1,0,0.425676,0.394958,0.110619,0.107491,0.080699,0.107307,0.088191,5
0,0,1,0.391892,0.361345,0.075221,0.071897,0.051782,0.063199,0.068261,5
0,1,0,0.682432,0.689076,0.146018,0.38941,0.271015,0.275181,0.347285,9
0,1,0,0.614865,0.605042,0.141593,0.276607,0.196705,0.207373,0.242651,13
1,0,0,0.648649,0.655462,0.119469,0.295378,0.225286,0.213298,0.272546,11
1,0,0,0.662162,0.647059,0.154867,0.31893,0.207801,0.253456,0.322372,12
0,0,1,0.27027,0.268908,0.066372,0.040198,0.031944,0.037525,0.033383,5
0,0,1,0.493243,0.495798,0.119469,0.153356,0.121385,0.108624,0.123069,10
0,0,1,0.297297,0.285714,0.070796,0.043209,0.031944,0.041475,0.038366,7
0,0,1,0.074324,0.07563,0.026549,0.003896,0.002354,0.003292,0.002491,1
0,0,1,0.047297,0.058824,0.026549,0.002125,0.001009,0.001975,0.001495,1
0,0,1,0.114865,0.109244,0.030973,0.006729,0.004371,0.005267,0.003488,3
1,0,0,0.662162,0.621849,0.141593,0.333097,0.234364,0.287031,0.272546,15
0,0,1,0.263514,0.243697,0.061947,0.034709,0.022192,0.0316,0.033383,3
0,0,1,0.209459,0.201681,0.057522,0.022136,0.016812,0.013167,0.018435,3
0,0,1,0.304054,0.294118,0.070796,0.044448,0.028581,0.034233,0.038366,6
0,0,1,0.344595,0.336134,0.075221,0.057907,0.041695,0.050691,0.058296,6
0,0,1,0.371622,0.344538,0.075221,0.060917,0.046738,0.044766,0.058296,8
0,0,1,0.331081,0.319328,0.070796,0.055428,0.042031,0.042133,0.048331,11
0,0,1,0.385135,0.369748,0.075221,0.06924,0.049428,0.053983,0.068261,7
0,0,1,0.310811,0.319328,0.066372,0.054542,0.044721,0.049375,0.043348,5
0,0,1,0.364865,0.361345,0.097345,0.074907,0.054472,0.071099,0.068261,5
0,0,1,0.344595,0.327731,0.09292,0.060032,0.043376,0.045425,0.058296,5
1,0,0,0.695946,0.697479,0.159292,0.397202,0.282112,0.368664,0.35725,11
0,1,0,0.702703,0.672269,0.137168,0.374889,0.344654,0.284398,0.297459,10
0,1,0,0.675676,0.680672,0.163717,0.386754,0.300941,0.285056,0.342302,13
1,0,0,0.709459,0.739496,0.146018,0.438994,0.325488,0.364714,0.337319,13
1,0,0,0.655405,0.663866,0.154867,0.357358,0.257229,0.271231,0.367215,13
1,0,0,0.655405,0.663866,0.163717,0.378254,0.255212,0.229756,0.407075,17
1,0,0,0.635135,0.680672,0.141593,0.31716,0.228648,0.217248,0.342302,8
0,1,0,0.756757,0.756303,0.150442,0.500443,0.406187,0.390388,0.362232,13
0,1,0,0.695946,0.705882,0.141593,0.38941,0.320444,0.335747,0.292476,11
0,1,0,0.628378,0.705882,0.137168,0.327962,0.264291,0.254773,0.257598,9
0,1,0,0.668919,0.647059,0.110619,0.305649,0.246469,0.226465,0.267564,10
1,0,0,0.614865,0.613445,0.146018,0.316097,0.213853,0.314022,0.242651,9
0,0,1,0.22973,0.235294,0.053097,0.032938,0.029254,0.0316,0.024415,2
1,0,0,0.263514,0.243697,0.070796,0.041969,0.030599,0.036208,0.038366,4
0,1,0,0.52027,0.546218,0.115044,0.225607,0.201076,0.200132,0.157947,9
1,0,0,0.601351,0.663866,0.132743,0.316274,0.242434,0.24424,0.232686,12
1,0,0,0.371622,0.369748,0.097345,0.102886,0.081708,0.082949,0.08869,6
1,0,0,0.533784,0.563025,0.132743,0.224367,0.146268,0.115866,0.252616,7
0,1,0,0.506757,0.512605,0.110619,0.1762,0.13618,0.131007,0.167912,11
1,0,0,0.695946,0.747899,0.176991,0.419692,0.276395,0.355497,0.367215,14
1,0,0,0.736486,0.722689,0.181416,0.431025,0.259919,0.329164,0.382162,12
1,0,0,0.75,0.756303,0.199115,0.539401,0.375925,0.438446,0.446936,13
1,0,0,0.75,0.773109,0.137168,0.445192,0.275387,0.258723,0.407075,11
0,1,0,0.790541,0.798319,0.163717,0.47689,0.330868,0.321922,0.486796,10
1,0,0,0.722973,0.747899,0.212389,0.580839,0.357095,0.439763,0.686099,16
1,0,0,0.756757,0.789916,0.181416,0.52488,0.3692,0.40948,0.427005,18
0,1,0,0.594595,0.621849,0.119469,0.251461,0.178547,0.210665,0.247633,9
0,1,0,0.621622,0.605042,0.163717,0.297326,0.210491,0.208032,0.297459,13
0,0,1,0.385135,0.386555,0.09292,0.084824,0.060861,0.074391,0.073244,5
0,1,0,0.513514,0.504202,0.106195,0.158491,0.118359,0.136274,0.147982,7
1,0,0,0.554054,0.571429,0.123894,0.222242,0.152993,0.166557,0.22272,12
1,0,0,0.594595,0.546218,0.154867,0.338056,0.217888,0.207373,0.307424,12
0,1,0,0.621622,0.605042,0.150442,0.310607,0.197714,0.258065,0.282511,8
1,0,0,0.614865,0.638655,0.137168,0.246857,0.193006,0.209348,0.20279,8
0,1,0,0.567568,0.579832,0.137168,0.227554,0.162071,0.173799,0.20279,15
1,0,0,0.493243,0.504202,0.110619,0.168408,0.088097,0.106649,0.187843,7
0,1,0,0.621622,0.638655,0.141593,0.286347,0.2115,0.235681,0.237668,8
1,0,0,0.628378,0.638655,0.159292,0.352045,0.257229,0.296906,0.322372,15
0,1,0,0.662162,0.756303,0.185841,0.45139,0.336247,0.366689,0.352267,10
1,0,0,0.722973,0.705882,0.146018,0.394546,0.287155,0.289664,0.312407,13
0,1,0,0.662162,0.672269,0.154867,0.358066,0.229321,0.271889,0.347285,17
0,0,1,0.297297,0.268908,0.075221,0.044625,0.03228,0.044108,0.038366,4
0,0,1,0.27027,0.252101,0.066372,0.038427,0.02959,0.036866,0.033383,4
0,0,1,0.277027,0.260504,0.075221,0.037011,0.025555,0.038183,0.028401,2
1,0,0,0.560811,0.571429,0.123894,0.193731,0.148285,0.167215,0.147982,9
1,0,0,0.398649,0.378151,0.09292,0.082168,0.060188,0.076366,0.073244,7
0,1,0,0.445946,0.420168,0.084071,0.12272,0.097176,0.117182,0.098156,7
0,1,0,0.628378,0.638655,0.154867,0.315212,0.215871,0.22844,0.332337,11
1,0,0,0.398649,0.378151,0.088496,0.088543,0.070948,0.077683,0.072247,6
1,0,0,0.385135,0.361345,0.088496,0.076147,0.058843,0.064516,0.069756,4
0,1,0,0.533784,0.512605,0.115044,0.16646,0.121722,0.14944,0.147982,8
0,0,1,0.168919,0.151261,0.053097,0.012396,0.007734,0.01185,0.009467,2
0,0,1,0.121622,0.109244,0.026549,0.006906,0.004035,0.005925,0.003488,1
1,0,0,0.77027,0.773109,0.212389,0.545245,0.316073,0.485188,0.531639,11
1,0,0,0.641892,0.596639,0.110619,0.268638,0.167787,0.214615,0.192825,12
1,0,0,0.668919,0.638655,0.128319,0.319993,0.263282,0.309414,0.272546,8
