@relation segment-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {1,2,3,4,5,6,7}

@data
0.051383,0.454167,0,0,0.011407,0.000134,0.009938,0.000214,0.011103,0,0.025773,0.006235,0.753731,0.204706,0.542694,0.025773,1,0.122293,3
0.01581,0.829167,0,0.5,0.074145,0.001684,0.099379,0.001885,0.357605,0.331442,0.426362,0.30943,0.539179,0.545882,0.210625,0.426362,0.317566,0.171788,6
0.3083,0.2125,0,0,0.019011,0.000388,0.019876,0.000438,0.768139,0.734201,0.842414,0.720966,0.354477,0.669412,0.199241,0.842414,0.208013,0.145389,2
0.067194,0.3,0,0.5,0.211027,0.010072,0.288199,0.020764,0.100181,0.06564,0.150221,0.08028,0.563433,0.395294,0.428842,0.150221,0.664785,0.129262,3
0.841897,0.979167,0,0,0.096958,0.001934,0.067081,0.001435,0.122128,0.103728,0.102356,0.160561,0.667911,0.065882,0.853889,0.151694,0.391548,0.885904,7
0.367589,0.5375,0,0,0.005703,0.000034,0.007453,0.000032,0.021172,0.012966,0.040501,0.008574,0.770522,0.229411,0.485768,0.040501,0.797884,0.177685,5
0.209486,0.545833,0,0,0.024715,0.000835,0.044721,0.001521,0.012652,0.006483,0.0243,0.006235,0.787313,0.190588,0.531309,0.0243,0.769444,0.159448,5
0.418972,0.5625,0,0,0.064639,0.001016,0.047205,0.000951,0.148981,0.122367,0.196613,0.123928,0.602612,0.395294,0.388994,0.196613,0.432786,0.147601,4
0.363636,0.9375,0.333333,0,0.060837,0.002719,0.044721,0.000673,0.087271,0.069692,0.071429,0.12081,0.684702,0.07647,0.819734,0.114138,0.447247,0.891671,7
0.964427,0.991667,0,0,0.068441,0.0013,0.03354,0.000441,0.102763,0.078606,0.10162,0.127046,0.634328,0.150588,0.751423,0.120029,0.406212,0.971642,7
0.185771,0.675,0,0,0.039924,0.001079,0.032298,0.001184,0.134005,0.119935,0.108983,0.173811,0.69403,0.043529,0.863378,0.164212,0.349656,0.863528,7
0.940711,0.4625,0,0,0.009506,0.000063,0.007453,0.000128,0.03873,0.051054,0.044183,0.021044,0.906716,0.167058,0.447818,0.047864,0.581349,0.350993,1
0.72332,0.558333,0,0,0.032319,0.000495,0.039752,0.000674,0.023754,0.017018,0.038292,0.014809,0.779851,0.207058,0.512334,0.038292,0.656614,0.169167,5
0.426877,0.5625,0,0,0.001901,0.000137,0.001242,0.000098,0.000258,0,0.000736,0,0.83209,0.134117,0.57685,0.000736,0.111111,0.159448,3
0.434783,0.979167,0,0,0.108365,0.002112,0.130435,0.002967,0.180481,0.153971,0.148748,0.239282,0.593284,0.022353,1,0.226068,0.388973,0.882741,7
0.608696,0.120833,0,0,0.064639,0.00209,0.001242,0.000098,0.008779,0.008914,0.010309,0.007015,0.83209,0.141176,0.565465,0.010309,0.116667,0.24735,5
0.754941,0.608333,0,0,0.036122,0.000512,0.017391,0.000118,0.127808,0.101297,0.114138,0.167576,0.610075,0.09647,0.863378,0.158321,0.418184,0.920449,7
0.822134,0.991667,0,0,0.08365,0.00366,0.062112,0.003035,0.073328,0.055105,0.053755,0.111457,0.684702,0.055294,0.853889,0.105302,0.533307,0.873134,7
0.462451,0.475,0,0,0.011407,0.000301,0.019876,0.000248,0.008004,0,0.020619,0.002338,0.77612,0.194117,0.537002,0.020619,1,0.145808,3
0.166008,0.5875,0,0,0.06654,0.001722,0.027329,0.000598,0.010586,0.007293,0.019146,0.004677,0.807836,0.175294,0.535104,0.019146,0.648677,0.186504,5
0.972332,0.3375,0,0,0.030418,0.000523,0.009938,0.000085,0.084173,0.055105,0.13623,0.056898,0.606343,0.401176,0.375711,0.13623,0.632127,0.152154,5
0.245059,0.791667,0,0,0.072243,0.001749,0.055901,0.001195,0.429642,0.400325,0.506627,0.375681,0.494404,0.602352,0.165086,0.506627,0.299213,0.169568,6
0.126482,0.441667,0,0,0.009506,0.000019,0.002484,0.000021,0.007488,0,0.020619,0.000779,0.779851,0.19647,0.529412,0.020619,1,0.153029,3
0.462451,0.308333,0,0,0.112167,0.004455,0.050932,0.004918,0.057062,0.025932,0.098675,0.042868,0.600746,0.344705,0.472486,0.098675,0.774121,0.120049,3
0.474308,0.204167,0,0,0.077947,0.002349,0.064596,0.002073,0.186419,0.179903,0.233431,0.142634,0.729478,0.401176,0.250475,0.233431,0.4223,0.212883,1
0.857708,0.433333,0,0,0.032319,0.000538,0.008696,0.000281,0.160083,0.141815,0.195139,0.140296,0.656716,0.337646,0.426945,0.195139,0.339149,0.150338,5
0.822134,0,0,0,0.028517,0.000258,0.048447,0.002781,0.986838,0.985413,0.994844,0.97817,0.509329,0.403529,0.470588,0.994844,0.099836,0.107878,2
0.213439,0.825,0.333333,0,0.062738,0.001306,0.031056,0.00072,0.087271,0.075364,0.068483,0.118472,0.723881,0.062352,0.802656,0.111929,0.407904,0.86347,7
0.193676,0.783333,0,0,0.110266,0.003004,0.125466,0.00333,0.388073,0.358185,0.462445,0.337489,0.503731,0.579999,0.19165,0.462445,0.312414,0.167669,6
0.628458,0.125,0,0,0.028517,0.000816,0.004969,0.000124,0.004906,0.004052,0.0081,0.002338,0.826493,0.148235,0.559772,0.0081,0.537037,0.201297,5
0.557312,0.5375,0,0,0.144487,0.001305,0.03354,0.000521,0.184353,0.170988,0.214285,0.165238,0.682836,0.318824,0.43074,0.214285,0.2851,0.158426,4
0.031621,0.345833,0,0,0.020913,0.000556,0.02236,0.000481,0.789054,0.77958,0.845363,0.737331,0.516791,0.588235,0.165086,0.845363,0.176789,0.172726,2
0.422925,0.5625,0,0,0,0,0,0,0,0,0,0,0.833955,0.131764,0.578747,0,0,0.511055,3
0.217391,0.4,0,0,0.038023,0.000209,0.10559,0.014568,0.347277,0.337115,0.386597,0.314886,0.652985,0.402353,0.326375,0.386597,0.230455,0.176733,4
0.209486,0.6875,0,0,0.072243,0.000694,0.059627,0.001941,0.353216,0.335495,0.415317,0.303974,0.598881,0.512941,0.203036,0.415317,0.308573,0.183453,6
0.158103,0.383333,0,0,0.08365,0.003122,0.039752,0.001079,0.427061,0.408428,0.486745,0.381137,0.56903,0.518824,0.223909,0.486745,0.259607,0.174806,4
0.26087,0.520833,0,0,0.230038,0.003739,0.059627,0.002306,0.108185,0.06564,0.167894,0.085736,0.505597,0.443529,0.409867,0.167894,0.660813,0.123672,3
0.980237,0.195833,0,0,0.045627,0.000951,0.006211,0.000236,0.061709,0.04376,0.096466,0.042089,0.690299,0.312941,0.432637,0.096466,0.607768,0.160969,5
0.351779,0.375,0.333333,0,0.030418,0.000388,0.038509,0.00136,0.139944,0.148298,0.165685,0.104442,0.847015,0.288235,0.313092,0.165685,0.404038,0.255858,1
0.70751,0.8875,0,0,0.127376,0.003738,0.080745,0.004053,0.105862,0.085089,0.088365,0.144193,0.656716,0.072941,0.853889,0.13623,0.443375,0.896885,7
0.375494,0.008333,0,0,0.028517,0.000482,0.012422,0.00015,0.918672,0.8906,0.9595,0.901007,0.347015,0.544706,0.40797,0.9595,0.156568,0.110453,2
0.438735,0.329167,0,0,0.252852,0.007004,0.028571,0.000635,0.45443,0.420584,0.528718,0.407637,0.455223,0.595294,0.216319,0.528718,0.278345,0.157029,4
0.84585,0.7125,0,0,0.087453,0.001483,0.06087,0.00143,0.377745,0.354134,0.445508,0.328136,0.550373,0.545882,0.199241,0.445508,0.30405,0.174611,6
0.885375,0.195833,0,0,0.011407,0.000425,0.009938,0.000248,0.058095,0.040519,0.09352,0.037412,0.69403,0.315293,0.425047,0.09352,0.622222,0.163786,5
0.343874,0.325,0,0,0.026616,0.000388,0.081988,0.002917,0.155694,0.158023,0.188512,0.118472,0.800373,0.325882,0.299811,0.188512,0.403687,0.238152,1
0.355731,0.454167,0,0,0.047529,0.000937,0.013665,0.000557,0.117481,0.081848,0.170839,0.09509,0.550373,0.415294,0.409867,0.170839,0.562158,0.136546,3
0.221344,0.129167,0,0,0.079848,0.000876,0.02236,0.000504,0.261038,0.23906,0.316642,0.222915,0.598881,0.46,0.288425,0.316642,0.334662,0.170335,4
0.83004,0.495833,0,0,0,0,0,0,0,0,0,0,0.833955,0.131764,0.578747,0,0,0.511055,5
0.142292,0.454167,0,0,0.028517,0.000347,0.023603,0.000334,0.013426,0.001621,0.029455,0.007794,0.748134,0.211764,0.537002,0.029455,0.962963,0.125255,3
0.209486,0.5375,0.333333,0,0.024715,0.000447,0.039752,0.000755,0.058095,0.027553,0.092783,0.050662,0.604477,0.311764,0.521821,0.092783,0.73447,0.10104,3
0.762846,0.254167,0,0,0.034221,0.000403,0.026087,0.000826,0.651435,0.577796,0.77614,0.589242,0.117537,0.883529,0.094877,0.77614,0.323421,0.137392,2
0.335968,0.320833,0.333333,0,0.070342,0.001901,0.038509,0.00245,0.147431,0.156402,0.174521,0.109899,0.848881,0.296471,0.297913,0.174521,0.405118,0.257127,1
0.27668,0.704167,0.333333,0,0.041825,0.000568,0.067081,0.001346,0.155694,0.133711,0.14212,0.190958,0.632463,0.103529,0.829222,0.180412,0.327383,0.923002,7
0.498024,0.454167,0.333333,0,0.057034,0.000851,0.07205,0.002907,0.164989,0.161264,0.201767,0.129384,0.755597,0.347058,0.311195,0.201767,0.394863,0.214766,1
0.549407,0.470833,0,0,0.034221,0.000448,0.024845,0.000759,0.017558,0.001621,0.040501,0.008574,0.718284,0.245882,0.512334,0.040501,0.973765,0.130395,3
0.185771,0.291667,0,0,0.020913,0.000243,0.019876,0.00031,0.787248,0.770668,0.854197,0.731095,0.468283,0.638823,0.132828,0.854197,0.19308,0.169674,2
0.051383,0.529167,0,0,0.01711,0.000123,0.01118,0.000056,0.034599,0.049433,0.036082,0.018706,0.925373,0.147058,0.4611,0.044919,0.603836,0.389696,1
0.379447,0.495833,0,0,0.024715,0.000512,0.023603,0.000494,0.040795,0.053485,0.045655,0.023383,0.908582,0.164705,0.449715,0.05081,0.570106,0.349379,1
0.43083,0.7125,0,0,0.081749,0.001809,0.057143,0.001124,0.323265,0.311184,0.373343,0.281371,0.647388,0.448235,0.258064,0.373343,0.287646,0.187039,6
0.964427,0.945833,0.333333,0,0.057034,0.00256,0.052174,0.00176,0.062226,0.046191,0.043446,0.097428,0.703358,0.05647,0.833017,0.092047,0.597015,0.867976,7
0.320158,0.529167,0,0,0.030418,0.000523,0.019876,0.000278,0.009812,0,0.025037,0.003118,0.76306,0.207058,0.529412,0.025037,1,0.146092,3
0.517787,0.304167,0,0,0.102662,0.00124,0.019876,0.000329,0.061968,0.053485,0.078056,0.053001,0.755597,0.223529,0.510436,0.078056,0.380483,0.152307,4
0.924901,0.770833,0,0,0.057034,0.001344,0.049689,0.000828,0.329462,0.304701,0.388071,0.290724,0.557837,0.490588,0.280836,0.388071,0.294238,0.162769,6
0.577075,0.316667,0,0,0.23384,0.006674,0.034783,0.001223,0.302092,0.276337,0.36377,0.261106,0.559702,0.498824,0.265655,0.36377,0.319706,0.166837,4
0.011858,0.829167,0,0,0.161597,0.004053,0.12795,0.001576,0.34676,0.322528,0.412371,0.300077,0.55597,0.528235,0.222011,0.412371,0.314278,0.172874,6
0.383399,0.125,0,0,0.058936,0.000781,0.024845,0.00063,0.956108,0.953002,0.975697,0.936867,0.507464,0.451764,0.394686,0.975697,0.112421,0.130216,2
0.873518,0.429167,0,0,0.009506,0.000063,0.009938,0.000053,0.037955,0.044571,0.048601,0.020265,0.867537,0.191764,0.447818,0.048601,0.603175,0.290372,1
0.478261,0.466667,0,0,0.020913,0.000377,0.01118,0.000152,0.008262,0,0.022091,0.001559,0.774254,0.2,0.529412,0.022091,1,0.151345,3
0.505929,0.608333,0,0,0.08365,0.00357,0.049689,0.00124,0.161374,0.132901,0.212076,0.13484,0.585821,0.412941,0.377609,0.212076,0.430239,0.146863,4
0.549407,0.625,0,0,0.009506,0.00033,0.017391,0.000448,0.109734,0.090761,0.094992,0.143413,0.667911,0.087058,0.819734,0.135493,0.390957,0.904754,7
0.687747,0.7375,0,0,0.102662,0.002595,0.052174,0.000937,0.388847,0.362237,0.458026,0.340607,0.52612,0.555294,0.208728,0.458026,0.296294,0.168636,6
0.754941,0.545833,0.333333,0,0.01711,0.000123,0.03354,0.000377,0.032533,0.049433,0.032401,0.016368,0.940298,0.138823,0.459203,0.044919,0.662037,0.409511,1
0.395257,0.254167,0,0,0.085551,0.004784,0.039752,0.004542,0.184612,0.171799,0.237113,0.141075,0.686567,0.427059,0.252372,0.237113,0.436895,0.201123,1
0.83004,0.4,0.333333,0,0.087453,0.002271,0.045963,0.002033,0.116705,0.0859,0.170839,0.088854,0.583955,0.418823,0.370019,0.170839,0.547173,0.148526,5
0.549407,0.475,0,0,0.009506,0.000063,0.014907,0.000224,0.043119,0.053485,0.05081,0.024941,0.891791,0.178823,0.444023,0.051546,0.545635,0.322724,1
0.869565,0.4,0,0,0.039924,0.000213,0.018634,0.000248,0.015492,0.002431,0.035346,0.007015,0.738806,0.230588,0.516129,0.035346,0.94709,0.137297,3
0.660079,0.008333,0.333333,0,0.045627,0.000448,0.029814,0.000289,0.909114,0.872775,0.963914,0.884642,0.292911,0.609411,0.358634,0.963914,0.177191,0.115659,2
0.786561,0.995833,0,0,0.077947,0.001433,0.032298,0.00074,0.064291,0.047812,0.048601,0.096648,0.699627,0.071764,0.812144,0.091311,0.56339,0.879204,7
0.086957,0.308333,0,0,0.04943,0.001061,0.039752,0.000695,0.125227,0.137764,0.145066,0.091972,0.880597,0.25647,0.33017,0.145066,0.399751,0.278228,1
0.252964,0.55,0,0,0.011407,0.000134,0.009938,0.000053,0.035115,0.047812,0.039028,0.018706,0.910448,0.158823,0.457305,0.044183,0.595238,0.358718,1
0.422925,0.4875,0,0,0.241445,0.004405,0.037267,0.00076,0.37129,0.337925,0.444771,0.325018,0.485075,0.571765,0.223909,0.444771,0.312927,0.159863,4
0.063241,0.220833,0,0,0.04943,0.001374,0.037267,0.001026,0.131681,0.128039,0.166421,0.098207,0.766791,0.329412,0.328273,0.166421,0.441092,0.216341,1
0.735178,0.5125,0.333333,0,0.102662,0.002062,0.024845,0.000278,0.186161,0.148298,0.248159,0.156663,0.51306,0.472941,0.354839,0.248159,0.457752,0.138957,5
0.774704,0.458333,0,0,0.741447,0.017508,0.021118,0.000653,0.286084,0.273096,0.327687,0.254091,0.652985,0.398823,0.332069,0.327687,0.280578,0.176045,4
0.73913,0.129167,0,0,0.026616,0.000549,0.037267,0.000912,0.759363,0.697732,0.836522,0.735774,0.166045,0.681176,0.371917,0.836522,0.241934,0.1064,2
0.387352,0.495833,0,0,0.019011,0.000459,0.012422,0.000393,0.009553,0.00081,0.022091,0.004677,0.770522,0.194117,0.542694,0.022091,0.977778,0.135168,3
0.371542,0.25,0,0,0.036122,0.001094,0.049689,0.002714,0.736643,0.705025,0.811484,0.68667,0.380597,0.664705,0.180266,0.811484,0.212264,0.151263,2
0.600791,0.754167,0,0,0.11597,0.001796,0.16646,0.002983,0.37258,0.345219,0.43078,0.33671,0.52612,0.498824,0.299811,0.43078,0.272721,0.14773,6
0.462451,0.65,0.333333,0,0.030418,0.000523,0.045963,0.000719,0.10173,0.094003,0.091311,0.120031,0.748134,0.105882,0.70778,0.113402,0.248449,0.898139,7
0.268775,0.266667,0.333333,0,0.072243,0.001419,0.03354,0.001595,0.158534,0.160454,0.194403,0.118472,0.796642,0.341176,0.278937,0.194403,0.423501,0.235417,1
0.383399,0.45,0.666667,0,0.04943,0.000523,0.057143,0.004029,0.15053,0.155591,0.181148,0.113016,0.820896,0.314117,0.297913,0.181148,0.408211,0.24598,1
0.229249,0.4375,0,0,0.102662,0.002836,0.017391,0.000329,0.153112,0.13047,0.195876,0.129384,0.628732,0.372941,0.398481,0.195876,0.395663,0.150991,5
0.051383,0.070833,0,0,0.019011,0.000075,0.027329,0.00031,0.770203,0.713939,0.868924,0.718623,0.199627,0.787059,0.166983,0.868924,0.253299,0.135195,2
0.897233,0.129167,0.333333,0,0.070342,0.001568,0.096894,0.001609,0.310613,0.288493,0.358615,0.280591,0.58209,0.435294,0.34535,0.358615,0.271572,0.155129,4
0.454545,0.1,0,0,0.028517,0.000788,0.019876,0.000393,0.87271,0.829824,0.936669,0.844889,0.259329,0.644705,0.335864,0.936669,0.194853,0.117103,2
0.173913,0.404167,0,0.5,0.872624,0.012902,0.609939,0.011491,0.347277,0.304701,0.405007,0.326578,0.429105,0.490588,0.411765,0.405007,0.358975,0.114777,3
0.498024,0.445833,0,0,0.395439,0.010315,0.018634,0.000499,0.23935,0.224474,0.276141,0.214341,0.65485,0.364706,0.3852,0.276141,0.293949,0.162257,4
0.596838,0.870833,0,0,0.032319,0.000691,0.032298,0.00156,0.101988,0.084279,0.086892,0.13484,0.679105,0.083529,0.814042,0.127393,0.416705,0.898332,7
0.106719,0.5,0,0,0.007605,0.000075,0.017391,0.00015,0.036148,0.048622,0.039764,0.020265,0.908582,0.157647,0.4611,0.044183,0.566138,0.364221,1
0.711462,0.016667,0,0,0.028517,0.000213,0.032298,0.000887,0.978054,0.976501,0.991166,0.96414,0.511195,0.425882,0.432637,0.991166,0.104639,0.119802,2
0.790514,0.475,0.333333,0,0.058935,0.001351,0.191304,0.00413,0.302351,0.30389,0.324742,0.276694,0.748134,0.310588,0.377609,0.324742,0.192484,0.20206,4
0.790514,0.475,0,0,0.034221,0.000448,0.22236,0.074839,0.298477,0.285251,0.343152,0.263445,0.647388,0.41647,0.309297,0.343152,0.270638,0.179826,4
0.229249,0.454167,0,0,0.074145,0.002003,0.032298,0.001349,0.132972,0.076986,0.21944,0.09509,0.40485,0.577647,0.296014,0.21944,0.681266,0.136472,3
0.079051,0.220833,0,0,0.557035,0.013057,0.452174,0.012716,0.216112,0.179903,0.251841,0.212782,0.514926,0.354117,0.544592,0.251841,0.400746,0.075606,3
0.770751,0.35,0,0,0.058935,0.001133,0.029814,0.000912,0.053189,0.049433,0.071429,0.037412,0.791045,0.231764,0.4611,0.071429,0.512566,0.21739,5
0.245059,0.033333,0,0,0.08365,0.001196,0.032298,0.000639,0.315002,0.277148,0.389543,0.272018,0.472014,0.563529,0.250475,0.389543,0.355227,0.152854,4
0.173913,0.404167,0,0.5,0.872624,0.012902,0.609939,0.011491,0.347277,0.304701,0.405007,0.326578,0.429105,0.490588,0.411765,0.405007,0.358975,0.114777,3
0.482213,0.716667,0,0,0.038023,0.000657,0.141615,0.026641,0.224891,0.214749,0.259204,0.197973,0.692164,0.349412,0.371917,0.259204,0.266436,0.180203,6
0.371542,0.408333,0,0,0.034221,0.000493,0.043478,0.001969,0.120321,0.140194,0.132548,0.088075,0.932836,0.218823,0.337761,0.135493,0.384997,0.32115,1
0.735178,0.325,0,0,0.102662,0.001619,0.024845,0.00077,0.058869,0.046191,0.086156,0.042089,0.727612,0.276471,0.45351,0.086156,0.548545,0.16793,5
0.450593,0.416667,0,0,0.019011,0.000407,0.043478,0.000751,0.125742,0.070503,0.199558,0.100545,0.412314,0.515294,0.388994,0.199558,0.679513,0.119339,3
0.422925,0.466667,0,0,0.020913,0.000243,0.014907,0.000192,0.046992,0.059968,0.053019,0.028059,0.908582,0.171764,0.43833,0.055965,0.524471,0.345571,1
0.810277,0.208333,0,0,0.019011,0.000407,0.01118,0.000331,0.049316,0.034036,0.081001,0.030397,0.712687,0.295293,0.43833,0.081001,0.645891,0.167117,5
0.130435,0.658333,0,0,0.028517,0.00051,0.036025,0.000635,0.089337,0.077796,0.064801,0.126266,0.725746,0.035294,0.844403,0.119293,0.463569,0.845669,7
0.011858,0.354167,0,0,0.076046,0.002988,0.034783,0.001624,0.024787,0.006483,0.051546,0.01403,0.699627,0.265882,0.499051,0.051546,0.910065,0.134253,3
0.110672,0.291667,0.333333,0,0.089354,0.003783,0.06087,0.002706,0.142784,0.146678,0.173048,0.10678,0.815299,0.310588,0.309297,0.173048,0.412662,0.248099,1
0.505929,0.720833,0.333333,0,0.076046,0.000918,0.080745,0.001312,0.31526,0.304701,0.360824,0.276694,0.660448,0.424706,0.282733,0.360824,0.275818,0.187014,6
0.343874,0.520833,0,0,0.062738,0.001159,0.045963,0.001524,0.055771,0.029984,0.087629,0.046765,0.638059,0.297647,0.510436,0.087629,0.695088,0.106017,3
0.079051,0.466667,0,0,0.030418,0.000388,0.02236,0.000256,0.134521,0.114263,0.174521,0.111457,0.651119,0.355294,0.404175,0.174521,0.408913,0.155868,4
0.284585,0.033333,0,0,0.032319,0.000393,0.021118,0.000491,0.888981,0.850085,0.948452,0.86204,0.281717,0.627059,0.341556,0.948452,0.185539,0.117514,2
0.272727,0.1125,0,0,0.041825,0.000274,0.02236,0.000548,0.404339,0.364668,0.492636,0.348401,0.43097,0.650588,0.151803,0.492636,0.336015,0.162118,4
0.529644,0.833333,0,0,0.064639,0.001339,0.048447,0.000829,0.125227,0.105348,0.108247,0.162119,0.656716,0.08,0.842504,0.153166,0.375552,0.901802,7
0.592885,0.633333,0,0,0.070342,0.002304,0.406212,0.030288,0.278854,0.252026,0.318115,0.262664,0.559702,0.385882,0.447818,0.318851,0.263846,0.08842,6
0.632411,0.595833,0,0,0,0,0,0,0,0,0,0,0.833955,0.131764,0.578747,0,0,0.511055,5
0.87747,0.683333,0,0,0.129278,0.003151,0.160249,0.003382,0.403307,0.370341,0.482327,0.350739,0.477613,0.605882,0.17647,0.482327,0.312834,0.165333,6
0.996047,0.266667,0,0,0.022814,0.000269,0.019876,0.000278,0.617353,0.525122,0.768041,0.545595,0,1,0.026566,0.768041,0.378682,0.136348,2
0.363636,0.745833,0,0,0.188213,0.001838,0.058385,0.002333,0.373613,0.345219,0.443299,0.326578,0.518657,0.554118,0.218217,0.443299,0.303602,0.166474,6
0.905138,0.425,0,0,0.038023,0.000506,0.012422,0.000393,0.15053,0.132091,0.184831,0.131722,0.658583,0.331765,0.434535,0.184831,0.350082,0.147826,5
