@relation german_credit-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0

@attribute checking_status=<0 numeric
@attribute checking_status=0<=X<200 numeric
@attribute checking_status=>=200 numeric
@attribute 'checking_status=no checking' numeric
@attribute duration numeric
@attribute 'credit_history=no credits/all paid' numeric
@attribute 'credit_history=all paid' numeric
@attribute 'credit_history=existing paid' numeric
@attribute 'credit_history=delayed previously' numeric
@attribute 'credit_history=critical/other existing credit' numeric
@attribute 'purpose=new car' numeric
@attribute 'purpose=used car' numeric
@attribute purpose=furniture/equipment numeric
@attribute purpose=radio/tv numeric
@attribute 'purpose=domestic appliance' numeric
@attribute purpose=repairs numeric
@attribute purpose=education numeric
@attribute purpose=retraining numeric
@attribute purpose=business numeric
@attribute purpose=other numeric
@attribute credit_amount numeric
@attribute savings_status=<100 numeric
@attribute savings_status=100<=X<500 numeric
@attribute savings_status=500<=X<1000 numeric
@attribute savings_status=>=1000 numeric
@attribute 'savings_status=no known savings' numeric
@attribute employment=unemployed numeric
@attribute employment=<1 numeric
@attribute employment=1<=X<4 numeric
@attribute employment=4<=X<7 numeric
@attribute employment=>=7 numeric
@attribute installment_commitment numeric
@attribute 'personal_status=male div/sep' numeric
@attribute 'personal_status=female div/dep/mar' numeric
@attribute 'personal_status=male single' numeric
@attribute 'personal_status=male mar/wid' numeric
@attribute other_parties=none numeric
@attribute 'other_parties=co applicant' numeric
@attribute other_parties=guarantor numeric
@attribute residence_since numeric
@attribute 'property_magnitude=real estate' numeric
@attribute 'property_magnitude=life insurance' numeric
@attribute property_magnitude=car numeric
@attribute 'property_magnitude=no known property' numeric
@attribute age numeric
@attribute other_payment_plans=bank numeric
@attribute other_payment_plans=stores numeric
@attribute other_payment_plans=none numeric
@attribute housing=rent numeric
@attribute housing=own numeric
@attribute 'housing=for free' numeric
@attribute existing_credits numeric
@attribute 'job=unemp/unskilled non res' numeric
@attribute 'job=unskilled resident' numeric
@attribute job=skilled numeric
@attribute 'job=high qualif/self emp/mgmt' numeric
@attribute num_dependents numeric
@attribute own_telephone numeric
@attribute foreign_worker numeric
@attribute class {1,2}

@data
1,0,0,0,0.029412,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.131892,0,0,1,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.666667,1,0,0,0,0.446429,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0.088235,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.109552,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.666667,1,0,0,0,0.517857,0,0,1,1,0,0,0.333333,0,1,0,0,1,0,1,1
0,1,0,0,0.117647,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.085507,0,1,0,0,0,0,1,0,0,0,0.666667,0,0,1,0,1,0,0,1,0,1,0,0,0.446429,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.088235,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.100088,0,0,0,0,1,0,0,1,0,0,0.333333,0,0,0,1,1,0,0,0,0,0,1,0,0.125,0,0,1,0,1,0,0.333333,0,0,1,0,0,0,1,1
1,0,0,0,0.029412,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.061847,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.333333,1,0,0,0,0.303571,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0.029412,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.009684,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0.357143,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0.117647,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.008749,0,0,0,1,0,0,0,1,0,0,0.666667,0,1,0,0,1,0,0,0.666667,1,0,0,0,0.410714,0,0,1,1,0,0,0.333333,0,0,1,0,0,0,0,1
0,1,0,0,0.044118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.119126,1,0,0,0,0,0,0,1,0,0,0.666667,0,0,1,0,0,0,1,0.333333,1,0,0,0,0.267857,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0.823529,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.362386,1,0,0,0,0,0,0,0,0,1,0.666667,0,0,1,0,1,0,0,1,0,0,0,1,0.785714,0,0,1,0,1,0,0.333333,0,0,1,0,0,1,0,2
0,1,0,0,0.205882,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.091504,0,0,0,1,0,0,1,0,0,0,0.666667,0,0,0,1,1,0,0,0.666667,1,0,0,0,0.303571,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0.294118,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.207439,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.142857,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0.205882,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.309013,0,1,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.196429,0,0,1,0,1,0,0.333333,0,0,1,0,0,1,0,1
0,0,0,1,0.117647,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.055794,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.678571,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0.117647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.067349,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.25,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0,1,0,0,0.602941,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.247386,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.333333,0,1,0,0,0.107143,0,0,1,0,1,0,0.333333,0,1,0,0,0,0,0,2
0,0,0,1,0.647059,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.322439,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.666667,0,0,0,1,0.214286,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0.205882,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.101794,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.333333,1,0,0,0,0.321429,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,1,0,0.088235,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.053648,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.321429,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0.073529,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.011445,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.666667,1,0,0,0,0.089286,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.382353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.114614,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.196429,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.049961,0,0,1,0,0,0,0,1,0,0,0.666667,1,0,0,0,1,0,0,0,0,0,1,0,0.125,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0.205882,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.327611,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,1,1,0,0,0,0.446429,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
1,0,0,0,0.382353,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.326675,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.089286,0,0,1,1,0,0,0.333333,0,0,1,0,0,0,0,1
1,0,0,0,0.647059,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.324254,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.696429,0,1,0,0,0,1,0.333333,0,1,0,0,0,0,0,2
0,0,0,1,0.102941,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.062892,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.285714,0,0,1,0,1,0,0.333333,0,0,0,1,0,0,0,1
0,0,0,1,0.470588,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.112743,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0.357143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0.029412,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.060636,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.333333,0,1,0,0,0.071429,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0.102941,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.383955,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.357143,0,0,1,0,1,0,0.333333,0,1,0,0,0,0,0,1
0,0,0,1,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.100308,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.333333,1,0,0,0,0.160714,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0.294118,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.114614,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.333333,0,1,0,0,0.178571,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0.338235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.31446,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.196429,0,0,1,0,1,0,0.333333,0,0,0,1,0,1,0,1
0,0,0,1,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.055684,1,0,0,0,0,0,0,1,0,0,0.666667,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.107143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.205882,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.172114,0,0,0,0,1,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0,0,1,0,0,0.214286,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0.470588,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.108672,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.678571,1,0,0,0,0,1,0.333333,0,0,1,0,0,1,0,2
0,0,0,1,0.029412,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.029328,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.333333,1,0,0,0,0.125,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.342137,0,0,0,0,1,1,0,0,0,0,0.333333,0,0,1,0,1,0,0,0,0,0,0,1,0.589286,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2
0,0,0,1,0.470588,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5126,1,0,0,0,0,0,0,1,0,0,0.333333,0,1,0,0,1,0,0,0.333333,0,0,1,0,0.214286,0,1,0,0,1,0,0.333333,0,0,1,0,0,0,0,1
0,0,1,0,0.205882,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.094145,1,0,0,0,0,0,0,0,0,1,0.666667,0,1,0,0,1,0,0,0.333333,0,0,1,0,0.071429,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.470588,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.328986,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.071429,0,0,1,1,0,0,0.333333,0,1,0,0,0,1,0,2
0,1,0,0,0.073529,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.062782,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,0,1,1,0,0,0,1,0,0,0,0.142857,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0.161765,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.070815,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0.553571,0,0,1,0,1,0,0.333333,0,0,1,0,0,1,0,1
0,1,0,0,0.470588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.093705,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.75,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2
0,1,0,0,0.647059,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.77974,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.107143,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2
0,0,0,1,0.294118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.161274,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0.125,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0.338235,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.271817,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0.517857,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
0,0,0,1,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1057,1,0,0,0,0,0,1,0,0,0,0.333333,0,1,0,0,1,0,0,0.333333,0,0,1,0,0.178571,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0.117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.041653,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.053571,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.470588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.086332,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.321429,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2
0,0,0,1,0.470588,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.117971,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.107143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.470588,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.433752,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.333333,0,1,0,0,0.196429,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.044118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.026411,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0.333333,0,1,0,0,0.482143,0,0,1,1,0,0,0.333333,0,1,0,0,0,1,0,1
1,0,0,0,0.058824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.050292,1,0,0,0,0,0,0,0,0,1,0.666667,0,0,1,0,1,0,0,1,0,0,0,1,0.571429,1,0,0,0,0,1,0.333333,0,0,0,1,1,1,0,1
0,1,0,0,0.558824,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.313855,1,0,0,0,0,0,0,0,1,0,0.333333,0,1,0,0,1,0,0,0,1,0,0,0,0.392857,1,0,0,0,1,0,0.333333,0,1,0,0,0,0,0,1
1,0,0,0,0.470588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.095026,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.375,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2
1,0,0,0,0.117647,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.07021,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0.839286,0,0,1,0,0,1,0.333333,0,0,0,1,0,0,0,1
1,0,0,0,0.558824,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.204413,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.666667,0,0,1,0,0.267857,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0.102941,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.248762,1,0,0,0,0,0,0,0,1,0,0.333333,0,0,1,0,1,0,0,1,0,1,0,0,0.571429,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.735294,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.505447,0,0,0,0,1,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,1,0,0,0.357143,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,1,0,0,0.382353,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.197095,1,0,0,0,0,0,1,0,0,0,0.333333,0,0,0,1,1,0,0,0,0,1,0,0,0.053571,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0.294118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.31325,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.446429,0,0,1,0,1,0,0.333333,0,0,1,0,0,1,0,2
0,0,0,1,0.161765,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.052988,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.666667,0,1,0,0,0.5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0.205882,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.072521,0,1,0,0,0,0,0,1,0,0,0.666667,0,1,0,0,1,0,0,1,0,1,0,0,0.089286,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0.294118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.082811,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0.696429,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0.088235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.113624,1,0,0,0,0,0,0,0,0,1,0.666667,0,0,1,0,1,0,0,1,1,0,0,0,0.589286,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0.117647,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.063937,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.333333,1,0,0,0,0.178571,0,0,1,0,1,0,0.333333,0,0,0,1,0,1,0,1
0,1,0,0,0.205882,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0575,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.142857,0,0,1,0,1,0,0.333333,0,0,1,0,0,0,0,1
0,1,0,0,0.470588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.680202,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.5,0,0,1,0,0,1,0,0,0,1,0,1,1,0,2
