@relation 'Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L4,6'

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {1,2,3,4,5}

@data
0.21115,0.309774,0.804009,0.41433,0.564286,0.10306,0.245353,0,0.509804,1
0.269974,0.243609,0.605791,0.417445,0.546429,0.112721,0.35316,0,0,2
0.240123,0.318797,0.781737,0.358255,0.571429,0.109501,0.260223,0.019048,0.490196,2
0.129061,0.529323,0.688196,0.557632,0.441071,0.177134,0.153346,0,0,2
0.299385,0.302256,0.775056,0.330218,0.5625,0.10306,0.302045,0,0,1
0.303336,0.341353,0.846325,0.246106,0.582143,0.090177,0.274164,0,0.235294,2
0.224759,0.341353,0.797327,0.389408,0.539286,0.098229,0.242565,0,0,2
0.208516,0.377444,0.743875,0.367601,0.5875,0.062802,0.259294,0,0,2
0.359526,0.437594,0.788419,0.143302,0.507143,0.025765,0.321561,0.047619,0.470588,3
0.280948,0.297744,0.761693,0.283489,0.605357,0.095008,0.298327,0,0,1
0.175154,0.493233,0.596882,1,0.014286,0.270531,0.040892,0.698413,0,4
0.285777,0.372932,0.821826,0.311526,0.5,0.091787,0.259294,0,0,1
0.293679,0.353383,0.777283,0.308411,0.544643,0.096618,0.284387,0,0,1
0.466198,0.371429,0.819599,0.267913,0.525,0.086957,0.287175,0,0,2
0.28007,0.276692,0.772829,0.339564,0.639286,0.096618,0.289963,0,0.117647,1
0.32309,0.371429,0.808463,0.242991,0.539286,0.091787,0.276952,0.028571,0.333333,2
0.27568,0.386466,0.801782,0.264798,0.585714,0.093398,0.254647,0,0,1
0.209833,0.354887,0.799555,0.383178,0.5875,0.10789,0.223048,0,0,2
0.230465,0.547368,0,0.76324,0.542857,0,0.373606,0.171429,0,5
0.272169,0.344361,0.788419,0.436137,0.521429,0.086957,0.27974,0,0.137255,1
0.496927,0.621053,0.489978,0.551402,0.080357,0.122383,0.402416,0,0,5
0.431958,0.445113,0.799555,0.258567,0.383929,0.014493,0.368959,0,0,1
0.287094,0.439098,0.815145,0.255452,0.528571,0.017713,0.29461,0,0,3
0.320896,0.403008,0.86637,0.323988,0.458929,0.082126,0.26487,0,0,2
0.321773,0.437594,0.861915,0.305296,0.383929,0.086957,0.268587,0,0.627451,2
0.346795,0.431579,0.806236,0.255452,0.505357,0.022544,0.30948,0,0,1
0.19842,0.384962,0.768374,0.286604,0.523214,0.090177,0.291822,0,0,1
0.482002,0.523308,0.85078,0.056075,0.35,0.017713,0.384758,0,0,1
0.528973,0.449624,0.828508,0.068536,0.346429,0.014493,0.430297,0,0.313725,1
0.193591,0.47218,0,0.700935,0.610714,0.022544,0.369888,0.257143,0.019608,5
0.356014,0.371429,0.741648,0.308411,0.455357,0.096618,0.344796,0,0.215686,1
0.481124,0.520301,0.841871,0.193146,0.276786,0.037037,0.344796,0,0.72549,3
0.882353,0,0,0.563863,0,0.093398,0.731413,1,0.54902,2
0.455224,0.348872,0.812918,0.180685,0.448214,0.030596,0.410781,0,0.333333,1
0.341089,0.410526,0.853007,0.302181,0.489286,0.091787,0.258364,0,0.27451,2
0.313433,0.377444,0.868597,0.34891,0.45,0.088567,0.267658,0,0.196078,2
0.520193,0.38797,0.797327,0.165109,0.389286,0.019324,0.44052,0,0.058824,1
0.235733,0.425564,0.7951,0.367601,0.471429,0.10306,0.23513,0,0,2
0.286655,0.275188,0.783964,0.35514,0.596429,0.091787,0.289033,0,0,1
0.043898,0.33985,0.772829,0.258567,0.566071,0.099839,0.271375,0,0.607843,1
0.233099,0.347368,0.757238,0.302181,0.571429,0.083736,0.292751,0,0,3
0.266023,0.321805,0.775056,0.323988,0.576786,0.090177,0.27881,0,0,1
0.28446,0.311278,0.815145,0.305296,0.571429,0.096618,0.290892,0,0,1
0.275241,0.381955,0.806236,0.29595,0.583929,0.088567,0.245353,0,0,1
0.444249,0.53985,0.868597,0.168224,0.301786,0,0.377323,0,0,3
0.291484,0.372932,0.755011,0.323988,0.526786,0.095008,0.29368,0,0,1
0.463565,0.124812,0.418708,0.395639,0.544643,0.075684,0.555762,0,0,4
0.300702,0.44812,0.875278,0.389408,0.357143,0.086957,0.258364,0,0.294118,2
0.729587,0.287218,0,0.11838,0.394643,0.009662,0.833643,0,0,2
0.278753,0.314286,0.790646,0.373832,0.525,0.086957,0.287175,0,0.372549,1
0.284899,0.338346,0.788419,0.286604,0.569643,0.10467,0.288104,0,0,1
0.466198,0.454135,0.224944,0.333333,0.425,0.05314,0.530669,0,0,2
0.23266,0.633083,0,0.492212,0.589286,0,0.301115,0.438095,0,5
0.294557,0.300752,0.76392,0.280374,0.560714,0.099839,0.30948,0,0.588235,1
0.455224,0.359398,0.797327,0.190031,0.426786,0.037037,0.407993,0,0.313725,1
0.175154,0.619549,0,0.663551,0.698214,0,0.275093,0.177778,0,5
0.464004,0.413534,0.832962,0.190031,0.392857,0.028986,0.388476,0,0.137255,1
0.270852,0.634586,0,0.470405,0.567857,0,0.295539,0.492063,0,5
0.397278,0.488722,0.300668,0.417445,0.348214,0.062802,0.476766,0,0.352941,2
0.215101,0.326316,0.766147,0.361371,0.580357,0.070853,0.263941,0,0,2
0.321335,0.356391,0.884187,0.280374,0.469643,0.096618,0.27881,0,0,2
0.283582,0.475188,0.801782,0.333333,0.521429,0.077295,0.223048,0,0,1
0.244952,0.386466,0.81069,0.386293,0.485714,0.10467,0.241636,0,0.568627,2
0.548727,0.760902,0.407572,0.317757,0.110714,0.049919,0.295539,0.533333,0,5
0.250219,0.630075,0,0.529595,0.580357,0,0.276022,0.504762,0,5
0.238367,0.61203,0,0.529595,0.589286,0,0.26487,0.542857,0,5
0.088235,0.344361,0,0.856698,0.119643,1,0.142193,0,0,4
0.260755,0.341353,0.772829,0.46729,0.519643,0.10628,0.255576,0,0,2
0.268657,0.596992,0,0.638629,0.619643,0,0.327138,0.209524,0,5
0.343723,0.428571,0.746102,0.292835,0.405357,0.095008,0.32342,0,0,1
0.37489,0.287218,0,0.423676,0.703571,0.061192,0.566914,0,0,4
0.309482,0.284211,0.614699,0.168224,0.714286,0.056361,0.370818,0,0.392157,2
0.220369,0.634586,0,0.616822,0.623214,0,0.304833,0.212698,0,5
0.349429,0.476692,0.830735,0.277259,0.4125,0.009662,0.321561,0,0,1
0.235294,0.548872,0,0.514019,0.678571,0,0.283457,0.498413,0,5
0.25417,0.320301,0.797327,0.317757,0.5,0.098229,0.312268,0,0,3
0.526778,0.407519,0.743875,0.292835,0.458929,0.096618,0.315985,0,0,5
0.418349,0.42406,0.465479,0.429907,0.423214,0.085346,0.384758,0.085714,0.333333,2
0.317384,0.53985,0.726058,0.601246,0.257143,0.235105,0.033457,0.51746,0,5
0.308604,0.449624,0,0.084112,0.828571,0,0.516729,0,0,2
0.287094,0.258647,0.603563,0.311526,0.694643,0.090177,0.337361,0,0.470588,1
0.239245,0.33985,0.708241,0.292835,0.564286,0.093398,0.314126,0,0.470588,2
0.208077,0.323308,0.76392,0.345794,0.619643,0.111111,0.243494,0,0.470588,1
0.568481,0.466165,0.64588,0.274143,0.239286,0.012882,0.498141,0,0,2
0.70676,0.461654,0.701559,0.115265,0.135714,0.012882,0.577138,0,0,2
0.440737,0.336842,0.073497,0.380062,0.639286,0.020934,0.542751,0,0.54902,4
0.277875,0.320301,0.792873,0.305296,0.607143,0.086957,0.274164,0,0.333333,1
0.236172,0.183459,0,0.280374,0.958929,0.434783,0.325279,0,0,5
0.223003,0.512782,0,0.806854,0.5,0.012882,0.348513,0.336508,0,5
0.432836,0.437594,1,0.252336,0.351786,0.009662,0.30855,0,0,1
0.28446,0.282707,0.799555,0.317757,0.621429,0.093398,0.285316,0,0,1
0.21115,0.344361,0.792873,0.389408,0.589286,0.115942,0.229554,0,0,2
0.245391,0.309774,0.783964,0.389408,0.633929,0.10628,0.229554,0,0,2
0.417032,0.545865,0,0.538941,0.644643,0,0.27974,0.520635,0,5
0.286655,0.288722,0.792873,0.314642,0.583929,0.098229,0.302974,0,0.27451,1
0.550483,0.407519,0,0.401869,0.430357,0.05153,0.6329,0,0,4
0.281387,0.36391,0.804009,0.23676,0.6125,0.091787,0.261152,0,0,1
0.280509,0.413534,0.832962,0.274143,0.567857,0.095008,0.241636,0,0,1
0.261633,0.324812,0.806236,0.398754,0.5625,0.098229,0.249071,0,0,2
0.480685,0.451128,0.855234,0.133956,0.348214,0.027375,0.400558,0,0,1
0.210272,0.354887,0.783964,0.392523,0.546429,0.109501,0.243494,0,0.176471,2
0.293679,0.293233,0.817372,0.271028,0.589286,0.098229,0.303903,0,0,1
0.348551,0.475188,0.786192,0.320872,0.357143,0.082126,0.311338,0.034921,0,1
0.378402,0.463158,0.797327,0.320872,0.341071,0.019324,0.301115,0.219048,0,1
0.241879,0.320301,0,0.479751,0.726786,0.1562,0.44052,0,0,4
0.226514,0.392481,0.7951,0.398754,0.546429,0.098229,0.228625,0,0,2
0.332309,0.330827,0.815145,0.395639,0.482143,0.093398,0.289963,0,0.235294,2
0.260316,0.449624,0.819599,0.47352,0.401786,0.10306,0.227695,0,0,2
0.424056,0.458647,0.507795,0.35514,0.389286,0.078905,0.410781,0,0.333333,2
0.201493,0.621053,0.817372,0.451713,0.367857,0.025765,0.179368,0,0.235294,2
0.306409,0.406015,0.886414,0.277259,0.478571,0.093398,0.252788,0,0,2
0.007024,0.445113,0.712695,0.47352,0.535714,0.283414,0,0.377778,0,5
0.488147,0.517293,0.848552,0.152648,0.275,0,0.395911,0,0,1
0.658033,0.446617,0,0.333333,0.255357,0.030596,0.744424,0,0.196078,2
0.305531,0.390977,0.857461,0.299065,0.530357,0.083736,0.25,0,0,2
0.23705,0.403008,0.755011,0.308411,0.505357,0.083736,0.299257,0,0,3
0.279192,0.312782,0.7951,0.330218,0.573214,0.099839,0.29368,0,0,1
0.17252,0.664662,0,0.610592,0.658929,0,0.270446,0.2,0,5
0.351185,0.300752,0.412027,0.489097,0.514286,0.096618,0.433086,0,0,4
0.373573,0.607519,0.835189,0,0.394643,0.004831,0.331784,0,0,1
0.320018,0.378947,0.837416,0.320872,0.4625,0.093398,0.277881,0,0,2
0.679982,0.075188,0,0.149533,0.607143,0,0.859665,0,0,2
0.464004,0.418045,0.859688,0.183801,0.353571,0.037037,0.38197,0,0.215686,1
0.213784,0.619549,0,0.65109,0.619643,0,0.30948,0.203175,0.176471,5
0.09043,0.341353,0,0.850467,0.158929,1,0.139405,0,0,4
0.712906,0.043609,0,0.143302,0.583929,0,0.885688,0,0,2
0.482002,0.523308,0.85078,0.056075,0.35,0.017713,0.384758,0,0,1
0.277436,0.317293,0.77951,0.264798,0.617857,0.090177,0.289963,0,0,1
0.317823,0.318797,0.817372,0.29595,0.492857,0.099839,0.302045,0,0.686275,2
0.233099,0.403008,0.790646,0.299065,0.535714,0.109501,0.248141,0,0,2
0.216857,0.643609,0,0.691589,0.578571,0.008052,0.315985,0.168254,0,5
0.242318,0.332331,0.804009,0.302181,0.525,0.090177,0.29461,0,0,2
0.207638,0.359398,0.759465,0.401869,0.616071,0.011272,0.275093,0,0.372549,2
0.681299,0.490226,0.824053,0.130841,0.314286,0.003221,0.407993,0,0.196078,1
0.314311,0.550376,0,0.476636,0.544643,0.227053,0.096654,0.914286,0,5
0.352502,0.497744,0.797327,0.336449,0.405357,0.090177,0.266729,0,0,1
0.218613,0.473684,0.396437,0.46729,0.5875,0,0.301115,0.24127,0,5
0.474539,0.545865,0.857461,0.186916,0.276786,0.024155,0.345725,0,0,1
0.311238,0.321805,0.775056,0.311526,0.560714,0.096618,0.27881,0,0,1
0.454785,0.045113,0.380846,0.395639,0.648214,0.093398,0.575279,0,0,4
0.220808,0.342857,0.77951,0.370717,0.55,0.096618,0.25,0,0,2
0.23266,0.401504,0.777283,0.383178,0.507143,0.10789,0.246283,0,0.196078,2
0.298946,0.416541,0.74833,0.417445,0.380357,0.091787,0.314126,0,0.176471,3
0.485953,0.556391,0,0.221184,0.510714,0.016103,0.565985,0,0.156863,2
0.29324,0.294737,0.788419,0.327103,0.560714,0.091787,0.30855,0,0,1
0.261633,0.526316,0,0.557632,0.633929,0,0.296468,0.530159,0,5
0.272608,0.308271,0.806236,0.311526,0.532143,0.095008,0.303903,0,0,1
0.304214,0.406015,0.639198,0.280374,0.541071,0.088567,0.334572,0,0,1
0.243635,0.377444,0.7951,0.339564,0.516071,0.090177,0.27974,0,0.196078,3
0.407375,0.398496,0,0.345794,0.435714,0.05314,0.657063,0,0,4
0.344601,0.415038,0.775056,0.330218,0.382143,0.088567,0.331784,0,0,1
0.291045,0.372932,0.625835,0.311526,0.566071,0.082126,0.333643,0,0.176471,1
0.182616,0.548872,0,0.738318,0.5875,0.006441,0.339219,0.203175,0,5
0.318701,0.344361,0.806236,0.239875,0.451786,0.10306,0.343866,0,0.294118,2
0.208516,0.344361,0.797327,0.380062,0.591071,0.111111,0.23513,0,0,2
0.209833,0.378947,0.768374,0.35514,0.6,0.098229,0.225836,0,0,2
0.230465,0.273684,0.775056,0.492212,0.610714,0.101449,0.246283,0,0.176471,2
0.240562,0.330827,0.788419,0.41433,0.5625,0.10306,0.241636,0,0.411765,2
0.252414,0.390977,0.788419,0.411215,0.4875,0.109501,0.249071,0,0,2
0.330992,0.369925,0.750557,0.277259,0.519643,0.091787,0.315985,0,0.313725,1
0.290167,0.421053,0.759465,0.383178,0.398214,0.093398,0.312268,0,0,3
0.289728,0.318797,0.775056,0.292835,0.564286,0.098229,0.290892,0.028571,0.431373,1
0.327041,0.395489,0.76392,0.35514,0.4375,0.082126,0.29461,0,0,2
0.265584,0.398496,0.77951,0.267913,0.542857,0.080515,0.27881,0,0,1
0.223003,0.521805,0,0.778816,0.651786,0.006441,0.335502,0.126984,0.176471,5
0.220808,0.421053,0.790646,0.389408,0.567857,0.062802,0.218401,0,0,1
0.283582,0.312782,0.788419,0.292835,0.6125,0.093398,0.275093,0,0,1
0.217296,0.404511,0.757238,0.28972,0.514286,0.095008,0.268587,0,0,3
0.209394,0.320301,0.783964,0.570093,0.508929,0.111111,0.236059,0,0,2
0.218613,0.479699,0.783964,0.299065,0.548214,0.059581,0.233271,0,0.27451,2
0.251975,0.291729,0.641425,0.442368,0.607143,0.117552,0.289033,0,0,2
