@relation spambase

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute MDS7 numeric
@attribute MDS8 numeric
@attribute MDS9 numeric
@attribute MDS10 numeric
@attribute MDS11 numeric
@attribute MDS12 numeric
@attribute MDS13 numeric
@attribute MDS14 numeric
@attribute MDS15 numeric
@attribute MDS16 numeric
@attribute MDS17 numeric
@attribute MDS18 numeric
@attribute MDS19 numeric
@attribute MDS20 numeric
@attribute MDS21 numeric
@attribute MDS22 numeric
@attribute MDS23 numeric
@attribute MDS24 numeric
@attribute MDS25 numeric
@attribute MDS26 numeric
@attribute MDS27 numeric
@attribute MDS28 numeric
@attribute MDS29 numeric
@attribute MDS30 numeric
@attribute MDS31 numeric
@attribute MDS32 numeric
@attribute MDS33 numeric
@attribute MDS34 numeric
@attribute MDS35 numeric
@attribute MDS36 numeric
@attribute MDS37 numeric
@attribute MDS38 numeric
@attribute MDS39 numeric
@attribute MDS40 numeric
@attribute MDS41 numeric
@attribute MDS42 numeric
@attribute MDS43 numeric
@attribute MDS44 numeric
@attribute MDS45 numeric
@attribute MDS46 numeric
@attribute MDS47 numeric
@attribute MDS48 numeric
@attribute MDS49 numeric
@attribute MDS50 numeric
@attribute MDS51 numeric
@attribute MDS52 numeric
@attribute MDS53 numeric
@attribute MDS54 numeric
@attribute MDS55 numeric
@attribute MDS56 numeric
@attribute class {1,2}

@data
0,0.075301,0.243902,0.020168,0.215556,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.049577,0.058207,0.181009,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.045335,0.196185,0.053009,0.003315,0.003004,0.006692,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.109792,0.05919,0.382022,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.030943,0.270482,0.053009,0.031286,0.009411,0.02904,1
0,0.075301,0.378049,0.020168,0.012222,0.204918,0.188198,0.098912,0.232941,0.058207,0.497462,0.11534,0.421978,0.108138,0.346041,0.052632,0.223127,0.169345,0.121127,0.058207,0.189911,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.13208,0.30238,0.046192,0.196185,0.053009,0.000291,0.0003,0.004356,1
0,0.122741,0.243902,0.020168,0.065556,0.268443,0.15949,0.098912,0.305882,0.058207,0.497462,0.188005,0.21978,0.108138,0.079179,0.085789,0.213355,0.269468,0.068732,0.058207,0.09001,0.05919,0.294382,0.141739,0.050429,0.063857,0.030931,0.161928,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.156915,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.142742,0.30238,0.033485,0.295783,0.053009,0.002278,0.009011,0.011679,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.194795,0.30238,0.054897,0.196185,0.053009,0.002572,0.000801,0.001389,1
0.011013,0.080572,0.268293,0.020168,0.195556,0.215164,0.183413,0.10089,0.362353,0.058207,0.548223,0.16955,0.224176,0.108138,0.293255,0.052632,0.166124,0.139679,0.061408,0.064028,0.05638,0.05919,0.235955,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.152466,0.186757,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.307624,0.122793,0.307744,0.03968,0.205422,0.056143,0.001424,0.006508,0.142551,1
0,0.075301,0.243902,0.020168,0.215556,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.102105,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.414598,0.157533,0.30238,0.057439,0.196185,0.053009,0.003502,0.001101,0.002083,1
0,0.075301,0.243902,0.020168,0.017778,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.182238,0.21978,0.108138,0.293255,0.008421,0.162866,0.019778,0.009014,0.058207,0.074184,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.126462,0.30238,0.052928,0.196185,0.053009,0.000119,0.0004,0.004293,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.021548,0.047506,0.513089,0.111111,0.295213,0.133685,0.30238,0.044191,0.235542,0.053009,0.004054,0.002103,0.005114,1
0.011013,0.080572,0.268293,0.020168,0.195556,0.215164,0.183413,0.10089,0.362353,0.058207,0.548223,0.16955,0.224176,0.108138,0.293255,0.052632,0.166124,0.139679,0.061408,0.064028,0.05638,0.05919,0.235955,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.152466,0.186757,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.307624,0.122793,0.307744,0.03968,0.205422,0.056143,0.001421,0.006508,0.142487,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.021548,0.047506,0.513089,0.111111,0.295213,0.133685,0.30238,0.044191,0.235542,0.053009,0.004054,0.002103,0.005114,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.105263,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.131268,0.058207,0.098912,0.05919,0.224719,0.202609,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.043429,0.196185,0.053009,0.001463,0.001101,0.002904,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.122632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.151571,0.30238,0.04292,0.196185,0.053009,0.002724,0.001001,0.00221,1
0,0.075301,0.243902,0.020168,0.183333,0.204918,0.263158,0.098912,0.232941,0.058207,0.827411,0.190311,0.21978,0.108138,0.293255,0.086842,0.04886,0.123609,0.016901,0.245634,0.029674,0.05919,0.224719,0.143478,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.163839,0.30238,0.034628,0.196185,0.053009,0.001532,0.006508,0.008081,1
0.257709,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.019608,0.21978,0.108138,0.293255,0.052632,0.027687,0.123609,0.141972,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.008325,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.059885,0.196185,0.053009,0.000877,0.000901,0.003662,1
0,0.075301,0.495122,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.106842,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.151571,0.30238,0.035296,0.196185,0.053009,0.002641,0.001001,0.002652,1
0,0.075301,0.243902,0.020168,0.098889,0.260246,0.15949,0.098912,0.232941,0.058207,0.497462,0.208766,0.21978,0.108138,0.293255,0.066842,0.162866,0.123609,0.141408,0.058207,0.16815,0.05919,0.224719,0.110435,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.116372,0.30238,0.031737,0.214458,0.053009,0.000354,0.001001,0.005556,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.473424,0.215775,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.031737,0.256827,0.053009,0.000635,0.0004,0.00101,1
0,0.126506,0.243902,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.097788,0.172589,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.058592,0.058207,0.166172,0.05919,0.224719,0.086957,0.08472,0.063857,0.030931,0.207664,0.074604,0.204918,0.030461,0.265957,0.057659,0.265957,0.087941,0.149477,0.061121,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.364398,0.031737,0.196185,0.053009,0.002566,0.002903,0.016604,1
0,0.075301,0.380488,0.020168,0.111111,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.232113,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.146526,0.30238,0.017219,0.196185,0.053009,0.001613,0.000501,0.001515,1
0,0.075301,0.243902,0.020168,0.215556,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.102105,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.424054,0.161202,0.30238,0.059472,0.196185,0.053009,0.002852,0.001101,0.001768,1
0,0.075301,0.360976,0.020168,0.051111,0.204918,0.236045,0.098912,0.232941,0.058207,0.497462,0.22722,0.21978,0.108138,0.293255,0.077895,0.320847,0.123609,0.080563,0.058207,0.141444,0.05919,0.332584,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.072478,0.047506,0.513089,0.111111,0.295213,0.1205,0.30238,0.047241,0.245181,0.053009,0.004023,0.007709,0.015025,1
0,0.111446,0.360976,0.020168,0.164444,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.22722,0.21978,0.108138,0.293255,0.077895,0.162866,0.243511,0.025915,0.058207,0.194857,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.120385,0.30238,0.062331,0.196185,0.053009,0.001906,0.006007,0.011679,1
0,0.106175,0.160976,0.020168,0.156667,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.16263,0.21978,0.108138,0.293255,0.074211,0.162866,0.226205,0.060845,0.058207,0.024728,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.06905,0.047506,0.513089,0.111111,0.295213,0.119009,0.30238,0.055564,0.196185,0.053009,0.002588,0.012014,0.017929,1
0.066079,0.075301,0.243902,0.020168,0.178889,0.393443,0.15949,0.143422,0.232941,0.058207,0.497462,0.149942,0.116484,0.108138,0.293255,0.052632,0.162866,0.160692,0.099155,0.058207,0.159248,0.05919,0.292135,0.14,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.220713,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.11706,0.30238,0.038314,0.237751,0.053009,0.001028,0.002903,0.014205,1
0,0.075301,0.243902,0.020168,0.215556,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.102105,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.394208,0.149622,0.30238,0.053055,0.196185,0.053009,0.002724,0.001101,0.001705,1
0,0.075301,0.243902,0.020168,0.215556,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.102105,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.400118,0.151915,0.30238,0.054325,0.196185,0.053009,0.002724,0.001101,0.001705,1
