@relation ecoli-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute mcg numeric
@attribute gvh numeric
@attribute lip numeric
@attribute aac numeric
@attribute alm1 numeric
@attribute alm2 numeric
@attribute class {1,2,3,4,5}

@data
0.460674,0.380952,0,0.579545,0.42268,0.515152,1
0.494382,0.142857,0,0.488636,0.247423,0.373737,1
0.325843,0.297619,0,0.545455,0.360825,0.464646,1
0.382022,0.142857,0,0.465909,0.329897,0.444444,1
0.460674,0.321429,0,0.511364,0.28866,0.414141,1
0.325843,0.369048,0,0.465909,0.206186,0.343434,1
0.382022,0.464286,0,0.659091,0.28866,0.414141,1
0.404494,0.47619,0,0.488636,0.43299,0.535354,1
0.449438,0.357143,0,0.590909,0.474227,0.565657,1
0.561798,0.392857,0,0.556818,0.443299,0.535354,1
0.58427,0.333333,0,0.420455,0.340206,0.424242,1
0.561798,0.416667,0,0.306818,0.206186,0.343434,1
0.595506,0.309524,0,0.181818,0.268041,0.393939,1
0.382022,0.357143,0,0.590909,0.329897,0.444444,1
0.449438,0.309524,0,0.420455,0.247423,0.272727,1
0.460674,0.321429,0,0.568182,0.216495,0.252525,1
0.337079,0.345238,0,0.409091,0.185567,0.323232,1
0.348315,0.369048,0,0.329545,0.257732,0.393939,1
0.719101,0.714286,0,0.511364,0.329897,0.383838,1
0.393258,0.25,0,0.340909,0.319588,0.434343,1
0.640449,0.452381,0,0.420455,0.257732,0.333333,1
0.730337,0.464286,0,0.386364,0.350515,0.282828,1
0.573034,0.357143,0,0.659091,0.28866,0.414141,1
0.426966,0.285714,0,0.715909,0.226804,0.353535,1
0.269663,0.488095,0,0.715909,0.319588,0.434343,1
0.426966,0.119048,0,0.613636,0.134021,0.282828,1
0.370787,0.369048,0,0.602273,0.154639,0.292929,1
0.269663,0.214286,0,0.431818,0.278351,0.40404,1
0.292135,0.404762,0,0.5,0.298969,0.414141,1
0.494382,0.392857,0,0.443182,0.360825,0.40404,1
0.483146,0.190476,0,0.375,0.43299,0.525253,1
0.550562,0.321429,0,0.556818,0.278351,0.40404,1
0.52809,0.142857,0,0.636364,0.175258,0.252525,1
0.359551,0.202381,0,0.681818,0.030928,0.20202,1
0.382022,0.22619,0,0.579545,0.474227,0.565657,1
0.393258,0.214286,0,0.522727,0.278351,0.272727,1
0.426966,0.166667,0,0.488636,0.268041,0.393939,1
0.426966,0.333333,0,0.488636,0.175258,0.313131,1
0.460674,0.416667,0,0.659091,0.175258,0.313131,1
0.382022,0.309524,0,0.465909,0.319588,0.434343,1
0.573034,0.392857,0,0.602273,0.113402,0.262626,1
0.280899,0.416667,0,0.420455,0.402062,0.505051,1
0.325843,0.142857,0,0.568182,0.402062,0.505051,1
0.280899,0.119048,0,0.443182,0.298969,0.424242,1
0.269663,0.297619,0,0.556818,0.206186,0.343434,1
0.191011,0.27381,0,0.602273,0.278351,0.393939,1
0.044944,0.178571,0,0.465909,0.268041,0.393939,1
0.685393,0.238095,0,0.556818,0.329897,0.444444,1
0.382022,0.416667,0,0.5,0.350515,0.464646,1
0.314607,0.202381,0,0.511364,0.195876,0.333333,1
0.449438,0.357143,0,0.477273,0.329897,0.444444,1
0.258427,0.214286,0,0.488636,0.237113,0.373737,1
0.41573,0.333333,0,0.477273,0.371134,0.474747,1
0,0.261905,0,0.477273,0.463918,0.555556,1
0.438202,0.178571,0,0.431818,0.319588,0.434343,1
0.337079,0.333333,0,0.556818,0.195876,0.333333,1
0.303371,0.166667,0,0.806818,0.257732,0.393939,1
0.191011,0.428571,0,0.556818,0.350515,0.464646,1
0.404494,0.309524,0,0.602273,0.298969,0.414141,1
0.337079,0.25,0,0.488636,0.154639,0.30303,1
0.292135,0.285714,0,0.409091,0.237113,0.373737,1
0.449438,0.297619,0,0.625,0.195876,0.333333,1
0.247191,0.214286,0,0.477273,0.268041,0.393939,1
0.494382,0.22619,0,0.5,0.505155,0.59596,1
0.303371,0.309524,0,0.420455,0.360825,0.434343,1
0.179775,0.321429,0,0.613636,0.247423,0.373737,1
0.067416,0.535714,0,0.556818,0.917526,0.373737,2
0.494382,0.428571,0,0.488636,0.453608,0.545455,2
0.707865,0.369048,0,0.579545,0.814433,0.848485,2
0.258427,0.380952,0,0.670455,0.876289,0.89899,2
0.382022,0.392857,0,0.659091,0.845361,0.808081,2
0.483146,0.285714,0,0.659091,0.742268,0.787879,2
0.516854,0.535714,0,0.545455,0.85567,0.878788,2
0.303371,0.22619,0,0.579545,0.762887,0.79798,2
0.58427,0.27381,0,0.738636,0.701031,0.737374,2
0.325843,0.369048,0,0.806818,0.639175,0.69697,2
0.617978,0.369048,0,0.647727,0.773196,0.808081,2
0.134831,0.607143,0,0.840909,0.56701,0.636364,2
0.449438,0.404762,0,0.738636,0.814433,0.848485,2
0.820225,0.238095,0,0.602273,0.907216,0.929293,2
0.94382,0.333333,0,0.545455,0.701031,0.747475,2
0.539326,0.345238,0,0.681818,0.773196,0.808081,2
0.606742,0.392857,0,0.454545,0.865979,0.888889,2
0.539326,0.297619,0,0.579545,0.896907,0.888889,2
0.561798,0.595238,0,0.352273,0.917526,0.929293,2
0.808989,0.357143,0,0.579545,0.649485,0.707071,2
0.52809,0.464286,0,0.659091,0.701031,0.757576,2
0.370787,0.47619,0,0.375,0.773196,0.808081,2
0.719101,0.5,0,0.545455,0.773196,0.737374,2
0.606742,0.488095,0,0.636364,0.804124,0.838384,2
0.52809,0.511905,0,0.590909,0.752577,0.79798,2
0.707865,0.404762,0,0.670455,0.845361,0.868687,2
0.550562,0.309524,0,0.602273,0.783505,0.818182,2
0.348315,0.404762,0,0.647727,0.835052,0.858586,2
0.831461,0.333333,0,0.625,0.876289,0.89899,2
0.370787,0.345238,0,0.511364,0.876289,0.89899,2
0.505618,0.285714,0,0.693182,0.731959,0.777778,2
0.797753,0.285714,0,0.806818,0.690722,0.747475,2
0.561798,0.25,0,0.75,0.628866,0.69697,2
0.741573,0.440476,0,0.670455,0.649485,0.666667,2
0.674157,0.535714,0,0.613636,0.659794,0.717172,2
0.932584,0.25,0,0.693182,0.701031,0.747475,2
0.382022,0.416667,0,0.761364,0.896907,0.909091,2
0.707865,0.452381,0,0.738636,0.783505,0.818182,2
0.786517,0.285714,0,0.636364,0.85567,0.838384,2
0.674157,0.404762,1,0.613636,0.762887,0.808081,2
0.179775,0.416667,0,0.375,0.371134,0.484848,2
0.831461,0.642857,0,0.75,0.639175,0.69697,2
0.224719,0.357143,0,0.647727,0.773196,0.818182,2
1,0.464286,0,0.579545,0.71134,0.767677,2
0.786517,0.357143,0,0.636364,0.773196,0.737374,2
0.134831,0.321429,0,0.715909,0.690722,0.747475,2
0.685393,0.428571,0,0.613636,0.659794,0.525253,2
0.370787,0.25,0,0.522727,0.639175,0.69697,2
0.707865,0.583333,0,0.75,0.659794,0.717172,2
0.460674,0.416667,0,0.602273,0.742268,0.787879,2
0.382022,0.607143,0,0.590909,0.752577,0.79798,2
0.651685,0.214286,0,0.636364,0.865979,0.818182,2
0.662921,0.47619,0,0.625,0.793814,0.828283,2
0.573034,0.285714,0,0.647727,0.608247,0.676768,2
0.561798,0.488095,0,0.806818,0.597938,0.666667,2
0.674157,0.357143,0,0.511364,0.804124,0.838384,2
0.41573,0.369048,0,0.443182,0.752577,0.79798,2
0.651685,0.464286,0,0.647727,0.690722,0.747475,2
0.404494,0.369048,0,0.579545,0.680412,0.727273,2
0.438202,0.297619,0,0.590909,0.71134,0.757576,2
0.393258,0.416667,0,0.693182,0.701031,0.747475,2
0.348315,0.333333,0,0.568182,0.783505,0.828283,2
0.685393,0.595238,0,0.522727,0.865979,0.888889,2
0.539326,0.392857,0,0.590909,0.762887,0.717172,2
0.123596,0.404762,0,0.659091,0.71134,0.686869,2
0.348315,0.238095,0,0.659091,0.938144,0.949495,2
0.764045,0.416667,0,0.806818,0.742268,0.787879,2
0.775281,0.27381,0,0.647727,0.752577,0.79798,2
0.58427,0.452381,0,0.704545,0.752577,0.79798,2
0.516854,0.511905,0,0.409091,0.752577,0.232323,2
0.404494,0.345238,0,0.431818,0.783505,0.171717,2
0,0.416667,0,0.397727,0.659794,0.444444,2
0.11236,0.392857,0,0.465909,0.659794,0.212121,2
0.337079,0.416667,0,0.477273,0.597938,0.343434,2
0.685393,0.369048,0,0,0.793814,0.323232,2
0.707865,0.702381,0,0.727273,0.721649,0.666667,2
0.797753,0.428571,0,0.727273,1,1,2
0.808989,0.309524,0,0.738636,0.762887,0.79798,4
0.88764,0.297619,0,0.75,0.804124,0.838384,4
0.932584,0.380952,0,0.738636,0.752577,0.79798,4
0.775281,0.321429,0,0.670455,0.731959,0.777778,4
0.88764,0.238095,0,0.522727,0.814433,0.707071,4
0.876404,0.202381,0,0.647727,0.762887,0.79798,4
0.842697,0.25,0,0.727273,0.690722,0.747475,4
0.662921,0.154762,0,0.727273,0.742268,0.777778,4
0.752809,0.25,0,0.613636,0.628866,0.686869,4
0.741573,0.380952,0,0.613636,0.690722,0.747475,4
0.719101,0.357143,0,0.545455,0.721649,0.767677,4
0.853933,0.654762,0,0.568182,0.701031,0.757576,4
0.94382,0.392857,0,0.625,0.773196,0.747475,4
0.865169,0.464286,0,0.579545,0.773196,0.747475,4
0.910112,0.333333,0,0.477273,0.659794,0.686869,4
0.651685,0.52381,0,0.670455,0.721649,0.767677,4
0.707865,0.309524,0,0.545455,0.762887,0.808081,4
0.696629,0.309524,0,0.659091,0.783505,0.818182,4
0.966292,0.27381,0,0.670455,0.886598,0.909091,4
0.910112,0.440476,0,0.647727,0.865979,0.888889,4
0.977528,0.392857,0,0.693182,0.752577,0.79798,4
0.52809,0.357143,0,0.704545,0.731959,0.777778,4
0.853933,0.297619,0,0.568182,0.57732,0.626263,4
0.786517,0.440476,0,0.795455,0.85567,0.878788,4
0.719101,0.345238,0,0.761364,0.597938,0.666667,4
0.910112,0.428571,0,0.647727,0.773196,0.808081,4
0.820225,0.119048,0,0.647727,0.742268,0.787879,4
0.550562,0.535714,1,0.636364,0.701031,0.747475,4
0.988764,0.309524,0,0.590909,0.721649,0.757576,4
0.94382,0.452381,0,0.852273,0.917526,0.707071,4
0.707865,0.416667,0,0.727273,0.71134,0.767677,4
0.966292,0.464286,0,0.715909,0.804124,0.838384,4
0.88764,0.452381,0,0.568182,0.649485,0.686869,4
0.640449,0.261905,0,0.068182,0.474227,0.333333,4
0.876404,0.333333,0,0.511364,0.721649,0.686869,4
0.876404,0.619048,0,0.943182,0.381443,0.292929,5
0.707865,0.630952,0,0.738636,0.391753,0.282828,5
0.752809,0.857143,0,0.829545,0.484536,0.252525,5
0.685393,0.702381,0,0.579545,0.309278,0.333333,5
0.752809,0.809524,0,0.840909,0.525773,0.373737,5
0.831461,0.880952,0,0.647727,0.515464,0.292929,5
0.820225,0.809524,0,0.977273,0.56701,0.292929,5
0.842697,0.714286,0,0.943182,0.556701,0.30303,5
0.865169,0.488095,0,1,0.515464,0.20202,5
0.831461,0.738095,0,0.852273,0.525773,0.151515,5
0.764045,0.714286,0,0.954545,0.43299,0.272727,5
0.629213,0.619048,0,0.875,0.340206,0.454545,5
0.730337,0.416667,0,0.75,0.525773,0.333333,5
0.58427,0.77381,0,0.818182,0.360825,0.383838,5
0.719101,0.488095,0,0.795455,0.309278,0.262626,5
0.674157,0.714286,1,0.875,0.57732,0.525253,5
0.775281,0.511905,0,0.875,0.371134,0.212121,5
0.707865,0.392857,0,0.897727,0.43299,0.282828,5
0.797753,0.654762,0,0.772727,0.412371,0.363636,5
0.764045,0.559524,0,0.829545,0.381443,0.30303,5
0.831461,0.392857,0,0.477273,0.525773,0.363636,3
0.786517,0.535714,0,0.636364,0.505155,0.434343,3
0.741573,0.833333,0,0.386364,0.391753,0.363636,3
0.820225,0.738095,0,0.659091,0.494845,0.313131,3
0.730337,0.488095,0,0.534091,0.453608,0.515152,3
0.808989,0.833333,0,0.193182,0.536082,0.212121,3
0.752809,0.642857,0,0.522727,0.43299,0.333333,3
0.752809,0.77381,0,0.613636,0.474227,0.232323,3
0.752809,0.535714,0,0.579545,0.350515,0.383838,3
0.707865,1,0,0.397727,0.494845,0.494949,3
0.640449,0.511905,0,0.443182,0.453608,0.333333,3
0.797753,0.654762,0,0.454545,0.525773,0.393939,3
0.741573,0.690476,0,0.352273,0.360825,0.434343,3
0.752809,0.77381,0,0.284091,0.402062,0.252525,3
0.719101,0.666667,0,0.556818,0.402062,0.191919,3
0.764045,0.785714,0,0.431818,0.639175,0.565657,3
0.359551,0.27381,0,0.602273,0.257732,0.383838,3
0.786517,0.571429,0,0.534091,0.494845,0.474747,3
0.707865,0.488095,0,0.556818,0.690722,0.20202,3
0.831461,0.785714,0,0.556818,0.474227,0.414141,3
0.707865,0.833333,0,0.443182,0.453608,0.343434,3
0.707865,0.797619,0,0.454545,0.371134,0.191919,3
0.707865,0.654762,0,0.681818,0.381443,0.393939,3
0.797753,0.833333,0,0.454545,0.525773,0.323232,3
0.764045,0.738095,0,0.488636,0.42268,0.424242,3
0.719101,0.809524,0,0.420455,0.43299,0.40404,3
0.831461,0.369048,0,0.568182,0.556701,0.424242,3
0.842697,0.809524,0,0.397727,0.505155,0.333333,3
0.707865,0.583333,0,0.443182,0.42268,0.353535,3
0.775281,0.607143,0,0.340909,0.371134,0.242424,3
0.786517,0.654762,0,0.477273,0.835052,0.858586,3
0.775281,0.761905,0,0.522727,0.556701,0.262626,3
0.719101,0.595238,0,0.465909,0.371134,0.20202,3
0.707865,0.761905,0,0.522727,0.28866,0.292929,3
0.741573,0.654762,0,0.465909,0.484536,0.353535,3
0.775281,0.511905,0,0.522727,0.42268,0.525253,3
0.764045,0.607143,0,0.556818,0.381443,0.343434,3
0.719101,0.738095,0,0.568182,0.340206,0.383838,3
0.696629,0.738095,0,0.534091,0.474227,0.545455,3
0.853933,0.678571,0,0.5,0.371134,0.393939,3
0.719101,0.77381,0,0.420455,0.371134,0.444444,3
0.325843,0.27381,0,0.590909,0.381443,0.484848,3
0.696629,0.797619,0,0.522727,0.340206,0.40404,3
0.629213,0.452381,0,0.488636,0.350515,0.30303,3
0.775281,0.595238,0,0.465909,0.484536,0.252525,3
0.775281,0.583333,0,0.715909,0.463918,0.414141,3
0.483146,0.511905,0,0.590909,0.474227,0.565657,3
0.831461,0.47619,0,0.534091,0.670103,0.30303,3
0.797753,0.488095,0,0.545455,0.329897,0.323232,3
0.685393,0.52381,0,0.5,0.371134,0.383838,3
0.662921,0.535714,0,0.477273,0.402062,0.373737,3
0.831461,0.690476,0,0.352273,0.515464,0.525253,3
