@relation WineCultivars-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute Alcohol numeric
@attribute Malicacid numeric
@attribute Ash numeric
@attribute Alkalinityash numeric
@attribute Magnesium numeric
@attribute Totalphenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoidphenols numeric
@attribute Proanthocyanins numeric
@attribute Colorintensity numeric
@attribute Hue numeric
@attribute diluted numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
0.621053,0.203557,0.673797,0.283505,0.25,0.644828,0.548523,0.396226,0.328076,0.271758,0.357724,0.714286,0.651079,1
0.597368,0.193676,0.417112,0.329897,0.26087,0.489655,0.390295,0.264151,0.29653,0.19627,0.439024,0.549451,0.715827,1
0.747368,0.229249,0.770053,0.453608,0.402174,0.67931,0.554852,0.45283,0.425868,0.245115,0.626016,0.78022,0.44964,1
0.786842,0.185771,0.454545,0.278351,0.282609,0.575862,0.419831,0.245283,0.495268,0.262877,0.455285,0.849817,0.535971,1
0.671053,0.181818,0.534759,0.438144,0.391304,0.648276,0.601266,0.169811,0.485804,0.458259,0.495935,0.589744,0.881295,1
0.697368,0.215415,0.534759,0.340206,0.369565,0.496552,0.495781,0.54717,0.492114,0.186501,0.609756,0.586081,0.503597,1
0.652632,0.209486,0.68984,0.43299,0.434783,0.472414,0.462025,0.301887,0.356467,0.218472,0.504065,0.586081,0.579137,1
0.644737,0.211462,0.561497,0.510309,0.326087,0.593103,0.556962,0.245283,0.457413,0.298401,0.455285,0.805861,0.453237,1
0.592105,0.177866,0.791444,0.252577,0.434783,0.558621,0.493671,0.396226,0.299685,0.253996,0.495935,0.553114,0.42446,1
0.531579,0.179842,0.636364,0.381443,0.304348,0.506897,0.440928,0.301887,0.324921,0.222913,0.520325,0.454212,0.586331,1
0.536842,0.150198,0.395722,0.252577,0.304348,0.489655,0.485232,0.283019,0.302839,0.174067,0.569106,0.520147,0.52518,1
0.665789,0.1917,0.508021,0.28866,0.51087,0.748276,0.622363,0.396226,0.608833,0.389876,0.382114,0.772894,0.363309,1
0.75,0.227273,0.657754,0.226804,0.336957,0.782759,0.679325,0.075472,0.40694,0.327709,0.325203,0.838828,0.579137,1
0.836842,0.652174,0.57754,0.427835,0.445652,0.644828,0.487342,0.320755,0.264984,0.310835,0.317073,0.754579,0.568345,1
0.881579,0.563241,0.491979,0.278351,0.347826,0.782759,0.597046,0.264151,0.561514,0.280639,0.455285,0.794872,0.557554,1
0.755263,0.185771,0.406417,0.278351,0.336957,0.731034,0.64346,0.150943,0.545741,0.387211,0.349593,0.754579,0.5,1
0.807895,0.252964,0.55615,0.42268,0.358696,0.610345,0.544304,0.358491,0.621451,0.396092,0.479675,0.542125,0.553957,1
0.531579,0.195652,0.363636,0.092784,0.23913,0.6,0.618143,0.075472,0.788644,0.484902,0.520325,0.600733,0.618705,1
0.736842,0.179842,0.663102,0.340206,0.26087,0.506897,0.559072,0.169811,0.59306,0.342806,0.617886,0.769231,0.701439,1
0.734211,0.199605,0.566845,0.175258,0.445652,1,0.7173,0.358491,0.460568,0.471581,0.430894,0.728938,0.647482,1
0.713158,0.183794,0.475936,0.298969,0.521739,0.558621,0.540084,0.150943,0.381703,0.365009,0.357724,0.70696,0.553957,1
0.665789,0.195652,0.588235,0.510309,0.5,0.682759,0.514768,0.132075,0.643533,0.400533,0.406504,0.644689,0.597122,1
0.707895,0.136364,0.609626,0.314433,0.413043,0.834483,0.702532,0.113208,0.514196,0.449378,0.333333,0.586081,0.715827,1
0.352632,0.039526,0,0,0.195652,0.344828,0.048523,0.283019,0.003155,0.01865,0.463415,0.201465,0.165468,2
0.342105,0.071146,0.491979,0.278351,0.336957,0.368966,0.158228,0.943396,0,0.135879,0.626016,0.14652,0.280576,2
0.423684,0.12253,0.352941,0.319588,0.326087,0.358621,0.225738,0.754717,0.066246,0.356128,0.406504,0.117216,0.115108,2
0.694737,0.100791,0.299465,0.381443,0.26087,0.386207,0.305907,0.358491,0.100946,0.182948,0.609756,0.435897,0.244604,2
0.352632,0.077075,0.427807,0.43299,0.184783,0.868966,0.582278,0.113208,0.460568,0.240675,0.601626,0.586081,0.093525,2
0.3,0.140316,0.625668,0.43299,0.369565,0.313793,0.297468,0.603774,0.195584,0.10746,0.788618,0.351648,0.046763,2
0.352632,0.092885,0.641711,0.386598,0.304348,0.496552,0.487342,0.45283,0.526814,0.253996,0.577236,0.377289,0.279137,2
0.547368,0.05336,0.181818,0.226804,0.086957,0.689655,0.599156,0.245283,0.589905,0.316163,0.520325,0.699634,0.152518,2
0.607895,0.039526,0.534759,0.329897,0.434783,0.534483,0.202532,0.792453,0.003155,0.126998,0.439024,0.241758,0.330935,2
0.310526,0.088933,0.208556,0.319588,0.880435,0.3,0.198312,0.018868,0.659306,0.098579,0.650407,0.659341,0.307914,2
0.331579,0.171937,0.454545,0.505155,0.358696,0.041379,0.14346,0.45283,0.33123,0.116341,0.349593,0.201465,0.417266,2
0.744737,0.152174,0.700535,0.742268,0.173913,0.67931,0.531646,0.150943,0.460568,0.145648,0.715447,0.692308,0.086331,2
0.647368,0.181818,0.470588,0.690722,0.184783,0.310345,0.316456,0.264151,0.195584,0.17762,0.406504,0.553114,0.130935,2
0.515789,0.183794,0.663102,1,0.75,0.8,0.537975,0.150943,0.488959,0.142984,0.674797,0.81685,0.5,2
0.244737,0.06917,0.502674,0.536082,0.336957,0.827586,0.379747,0,0.391167,0.130551,0.414634,0.681319,0.428777,2
0.165789,0.225296,0.299465,0.278351,0.293478,0.217241,0.259494,0.396226,0.233438,0.182948,0.609756,0.318681,0.099281,2
0.526316,0.031621,0.187166,0.278351,0.173913,0.334483,0.35654,0.207547,0.33123,0.253996,0.577236,0.443223,0.073381,2
0.213158,0.424901,0.465241,0.381443,0.456522,0.255172,0.206751,0.566038,0.170347,0.080817,0.390244,0.457875,0.151079,2
0.342105,0.049407,0.315508,0.216495,0.717391,0.317241,0.318565,0.415094,0.741325,0.147425,0.471545,0.380952,0.330935,2
0.439474,0.618577,0.55615,0.639175,0.336957,0.637931,0.466245,0.566038,0.485804,0.073712,0.577236,0.681319,0.12446,2
0.444737,0.211462,0.449198,0.42268,0.173913,0.42069,0.462025,0.245283,0.429022,0.191829,0.552846,0.684982,0.305036,2
0.213158,0.029644,0.652406,0.381443,0.26087,0.42069,0.394515,0.169811,0.611987,0.116341,0.252033,0.663004,0.165468,2
0.431579,0.047431,0.470588,0.381443,0.315217,0.42069,0.337553,0.320755,0.33123,0.078153,0.609756,0.692308,0.115108,2
0.297368,0.171937,0.508021,0.628866,0.217391,0.275862,0.28481,0.566038,0.362776,0.063055,0.691057,0.362637,0.147482,2
0.163158,0.183794,0.673797,0.793814,0.195652,0.324138,0.267932,0.509434,0.293375,0.076377,0.715447,0.710623,0.195683,2
0.276316,0.116601,0.502674,0.670103,0,0.42069,0.263713,0.54717,0.305994,0,0.479675,0.710623,0.241007,2
0.276316,0.215415,0.513369,0.407216,0.119565,0.213793,0.244726,0.735849,0.388013,0.058615,0.487805,0.3663,0.136691,2
0.255263,0.152174,0.566845,0.587629,0.173913,0.162069,0.191983,0.698113,0.384858,0.165187,0.463415,0.505495,0.115108,2
0.436842,0.156126,0.481283,0.520619,0.108696,0.137931,0.236287,0.849057,0.381703,0.116341,0.390244,0.289377,0.147482,2
0.331579,0.413043,0.459893,0.381443,0.195652,0.506897,0.402954,0.226415,0.498423,0.036412,0.544715,0.74359,0,2
0.155263,0.247036,0.491979,0.381443,0.304348,0.703448,0.405063,0.075472,0.29653,0.134103,0.552846,0.619048,0.039568,2
0.378947,0.15415,0.449198,0.43299,1,0.524138,0.407173,0.358491,0.905363,0.076377,0.552846,0.498168,0.465468,2
0.205263,0.272727,0.737968,0.561856,0.695652,0.213793,0.137131,0.018868,0.362776,0.067496,0.382114,0.362637,0.241007,2
0.331579,0.132411,0.331551,0.278351,0.163043,0.541379,0.455696,0.301887,0.429022,0.10302,0.609756,0.538462,0.099281,2
0.352632,0.065217,0.395722,0.407216,0.195652,0.875862,0.719409,0.207547,0.485804,0.245115,0.455285,0.549451,0.266187,2
0.331579,0.480237,0.454545,0.381443,0.195652,0.644828,0.559072,0.603774,0.757098,0.049734,0.764228,0.571429,0.083453,2
0.276316,0.264822,0.181818,0.35567,0.293478,0.431034,0.386076,0.245283,0.312303,0.138544,0.642276,0.619048,0.302158,2
0.413158,0.118577,0.28877,0.407216,0.195652,0.162069,0.21519,0.301887,0.29653,0.063055,0.455285,0.549451,0.195683,2
0.344737,0.337945,0.588235,0.536082,0.304348,0.544828,0.373418,0.396226,0.283912,0.094139,0.260163,0.772894,0.106475,2
0.207895,0.193676,0.278075,0.458763,0.173913,0.524138,0.274262,0.45283,0.318612,0.028419,0.373984,0.428571,0.089928,2
0.389474,0.195652,0.331551,0.510309,0.163043,0.42069,0.333333,0.358491,0.337539,0.106572,0.455285,0.842491,0.27482,2
0.365789,0.357708,0.486631,0.587629,0.217391,0.241379,0.316456,1,0.318612,0.085258,0.308943,0.74359,0.017986,2
0.444737,0.199605,0.491979,0.613402,0.152174,0.137931,0.299578,0.660377,0.384858,0.138544,0.325203,0.421245,0.142446,2
0.313158,0.108696,0.31016,0.43299,0.23913,0.475862,0.35865,0.490566,0.526814,0.085258,0.308943,0.641026,0.015827,2
0.152632,0.120553,0.716578,0.484536,0.26087,0.606897,0.544304,0.301887,0.656151,0.080817,0.390244,0.728938,0.280576,2
0.113158,0.592885,0.245989,0.458763,0.402174,0.758621,0.472574,0.207547,1,0.10302,0.219512,0.564103,0.195683,2
0.192105,0.383399,0.834225,0.484536,0.358696,0.265517,0.35654,0.886792,0.201893,0.182948,0.609756,0.450549,0.228058,2
0.1,0,0.609626,0.536082,0.195652,0.517241,0.352321,0.54717,0.324921,0.119005,0.504065,0.380952,0.103597,2
0.276316,0.128458,0.609626,0.613402,0.152174,0.544828,0.411392,0.566038,0.198738,0.10302,0.365854,0.703297,0.068345,2
0,0.152174,0.449198,0.561856,0.163043,0.510345,0.386076,0.735849,0.504732,0.01421,1,0.586081,0.084173,2
0.207895,0.144269,0.336898,0.525773,0.173913,0.344828,0.265823,0.320755,0.353312,0.01865,0.382114,0.754579,0.147482,2
0.457895,0.531621,0.331551,0.278351,0.108696,0.224138,0.191983,0.566038,0.132492,0.147425,0.178862,0.311355,0.058993,2
0.110526,0.328063,0.566845,0.484536,0.282609,0.662069,0.516878,0.358491,0.44795,0.134103,0.260163,0.776557,0.241007,2
0.139474,0.258893,1,0.92268,0.532609,0.758621,1,0.641509,0.460568,0.37833,0.365854,0.886447,0.125899,2
0.365789,0.729249,0.73262,0.819588,0.347826,0.42069,0.377637,0.566038,0.410095,0.030195,0.357724,0.677656,0.053957,2
0.531579,1,0.411765,0.561856,0.173913,0.565517,0.487342,0.320755,0.504732,0.076377,0.203252,0.67033,0.064748,2
0.221053,0.705534,0.550802,0.536082,0.130435,0.648276,0.567511,0.150943,0.788644,0.094139,0.219512,0.868132,0.064748,2
0.273684,0.280632,0.433155,0.536082,0.163043,0.558621,0.487342,0.45283,0.29653,0.090586,0.308943,0.736264,0.063309,2
0.368421,0.156126,0.497326,0.561856,0.173913,0.606897,0.592827,0.490566,0.429022,0.195382,0.170732,0.575092,0.044604,2
0.352632,0.175889,0.502674,0.716495,0.195652,0.427586,0.445148,0.509434,0.470032,0.033748,0.333333,0.553114,0.03741,2
0.265789,0.703557,0.545455,0.587629,0.108696,0.386207,0.297468,0.54717,0.29653,0.076377,0.252033,0.47619,0.208633,2
0.481579,0.120553,0.513369,0.381443,0.565217,0.182759,0.191983,0.150943,0.167192,0.209591,0.227642,0.007326,0.244604,3
0.486842,0.444664,0.55615,0.484536,0.369565,0.110345,0.185654,0.207547,0.132492,0.325044,0.211382,0.054945,0.172662,3
0.468421,0.310277,0.55615,0.690722,0.304348,0.058621,0.158228,0.264151,0.132492,0.351687,0.146341,0.032967,0.194245,3
0.439474,0.555336,0.534759,0.561856,0.391304,0.248276,0.181435,0.075472,0.135647,0.28952,0.243902,0.007326,0.223022,3
0.413158,0.339921,0.449198,0.407216,0.26087,0.22069,0.067511,0.943396,0.167192,0.476021,0.203252,0.113553,0.291367,3
0.321053,0.786561,0.631016,0.536082,0.206522,0.137931,0.027426,0.754717,0.123028,0.187389,0.219512,0,0.309353,3
0.394737,0.942688,0.684492,0.742268,0.282609,0.27931,0.054852,0.943396,0.217666,0.28952,0.276423,0.153846,0.161871,3
0.647368,0.563241,0.44385,0.458763,0.195652,0.22069,0.029536,0.849057,0.148265,0.351687,0.268293,0.201465,0.208633,3
0.476316,0.438735,0.668449,0.690722,0.336957,0.462069,0.054852,0.754717,0.126183,0.282416,0.333333,0.322344,0.215827,3
0.5,0.409091,0.716578,0.536082,0.282609,0.193103,0.033755,0.754717,0.107256,0.253996,0.235772,0.380952,0.223022,3
0.613158,0.359684,0.529412,0.484536,0.206522,0.144828,0.033755,0.45283,0.072555,0.342806,0.178862,0.43956,0.352518,3
0.655263,0.480237,0.727273,0.664948,0.293478,0.196552,0.037975,0.698113,0.044164,0.231794,0.333333,0.289377,0.165468,3
0.560526,0.559289,0.42246,0.536082,0.347826,0.17931,0.044304,0.566038,0.280757,0.20071,0.097561,0.150183,0.388489,3
0.75,0.849802,0.465241,0.484536,0.108696,0,0,0.509434,0.085174,0.280639,0.081301,0.021978,0.089928,3
0.484211,0.764822,0.59893,0.561856,0.173913,0.248276,0.065401,0.641509,0.141956,0.524867,0.04878,0.216117,0.241007,3
0.602632,0.494071,0.545455,0.561856,0.23913,0.327586,0.088608,0.603774,0.264984,0.59325,0.056911,0.128205,0.258993,3
0.539474,0.624506,0.534759,0.561856,0.467391,0.148276,0.221519,0.396226,0.230284,0.680284,0.073171,0.021978,0.18705,3
0.65,0.470356,0.673797,0.690722,0.576087,0.144828,0.259494,0.169811,0.264984,0.609236,0.089431,0.010989,0.151079,3
0.463158,0.381423,0.59893,0.587629,0.456522,0.172414,0.21519,0.207547,0.268139,0.804618,0,0.07326,0.136691,3
0.547368,0.229249,0.743316,0.768041,0.5,0.42069,0.198312,0.245283,0.362776,0.476021,0.105691,0.021978,0.097122,3
0.578947,0.505929,0.491979,0.407216,0.304348,0.282759,0.103376,0.90566,0.460568,0.779751,0.065041,0.087912,0.276978,3
0.407895,0.108696,0.395722,0.484536,0.358696,0.172414,0.050633,0.754717,0.312303,0.520426,0.081301,0.102564,0.251799,3
0.563158,0.879447,0.513369,0.587629,0.25,0.262069,0.061181,0.90566,0.359621,0.547069,0.097561,0.076923,0.31295,3
0.739474,0.667984,0.545455,0.458763,0.206522,0.282759,0.103376,0.660377,0.362776,0.645648,0.073171,0.135531,0.136691,3
0.373684,0.452569,0.684492,0.845361,0.293478,0.317241,0.050633,0.943396,0.230284,0.511545,0.154472,0.168498,0.42446,3
0.871053,0.185771,0.716578,0.742268,0.304348,0.627586,0.204641,0.754717,0.722397,1,0.073171,0.252747,0.266187,3
0.644737,0.183794,0.684492,0.613402,0.206522,0.558621,0.160338,0.735849,0.59306,0.888988,0.073171,0.186813,0.23741,3
0.35,0.610672,0.545455,0.536082,0.195652,0.455172,0.122363,0.698113,0.198738,0.524867,0.065041,0.113553,0.165468,3
0.7,0.498024,0.631016,0.484536,0.402174,0.293103,0.046414,0.698113,0.123028,0.367673,0.390244,0.201465,0.280576,3
0.478947,0.5,0.652406,0.587629,0.391304,0.231034,0.054852,0.886792,0.173502,0.34103,0.317073,0.307692,0.201439,3
0.507895,0.535573,0.529412,0.407216,0.391304,0.141379,0.075949,0.509434,0.167192,0.314387,0.162602,0.175824,0.276978,3
0.723684,0.399209,0.502674,0.587629,0.217391,0.127586,0.07173,0.528302,0.195584,0.69627,0.178862,0.150183,0.233813,3
0.710526,0.715415,0.481283,0.613402,0.195652,0.103448,0.027426,0.735849,0.233438,0.433393,0.243902,0.175824,0.165468,3
0.636842,0.58498,0.663102,0.639175,0.445652,0.248276,0.122363,0.566038,0.33123,0.793961,0.300813,0.106227,0.291367,3
0.471053,0.519763,0.502674,0.458763,0.195652,0.172414,0.067511,0.509434,0.176656,0.756661,0.195122,0.175824,0.284173,3
0.671053,0.363636,0.71123,0.716495,0.380435,0.196552,0.105485,0.490566,0.356467,0.614565,0.211382,0.194139,0.330935,3
0.623684,0.762846,0.802139,0.742268,0.456522,0.344828,0.130802,0.264151,0.22082,0.600355,0.154472,0.238095,0.244604,3
0.307895,0.452569,0.513369,0.43299,0.282609,0.093103,0.031646,0.509434,0.100946,0.333925,0.146341,0.205128,0.158273,3
0.457895,0.326087,0.491979,0.458763,0.173913,0.141379,0.035865,0.660377,0.072555,0.724689,0.073171,0.131868,0.129496,3
0.823684,0.349802,0.59893,0.484536,0.228261,0.241379,0.075949,0.584906,0.26183,0.706927,0.113821,0.161172,0.266187,3
0.705263,0.970356,0.582888,0.510309,0.271739,0.241379,0.056962,0.735849,0.205047,0.529307,0.130081,0.172161,0.323741,3
0.623684,0.626482,0.59893,0.639175,0.347826,0.282759,0.086498,0.566038,0.315457,0.493783,0.178862,0.106227,0.330935,3
0.589474,0.699605,0.481283,0.484536,0.543478,0.210345,0.07384,0.566038,0.29653,0.751332,0.089431,0.106227,0.392086,3
0.563158,0.365613,0.540107,0.484536,0.543478,0.231034,0.07173,0.754717,0.33123,0.671403,0.097561,0.128205,0.395683,3
0.815789,0.664032,0.737968,0.716495,0.282609,0.368966,0.088608,0.811321,0.29653,0.662522,0.105691,0.120879,0.194245,3
