@relation horse-colic-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.1minalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.1rmalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea61+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R61

@attribute surgery numeric
@attribute Age numeric
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities=1rmal numeric
@attribute temp_extremities=warm numeric
@attribute temp_extremities=cool numeric
@attribute temp_extremities=cold numeric
@attribute peripheral_pulse=1rmal numeric
@attribute peripheral_pulse=increased numeric
@attribute peripheral_pulse=reduced numeric
@attribute peripheral_pulse=absent numeric
@attribute 'mucous_membranes=1rmal pink' numeric
@attribute 'mucous_membranes=bright pink' numeric
@attribute 'mucous_membranes=pale pink' numeric
@attribute 'mucous_membranes=pale cya1tic' numeric
@attribute 'mucous_membranes=bright red' numeric
@attribute 'mucous_membranes=dark cya1tic' numeric
@attribute capillary_refill_time=<3 numeric
@attribute capillary_refill_time=>=3 numeric
@attribute 'capillary_refill_time=meaning unk1wn' numeric
@attribute 'pain=alert 1 pain' numeric
@attribute pain=depressed numeric
@attribute 'pain=intermittent mild pain' numeric
@attribute 'pain=intermittent severe pain' numeric
@attribute 'pain=continuous severe pain' numeric
@attribute peristalsis=hypermotile numeric
@attribute peristalsis=1rmal numeric
@attribute peristalsis=hypomotile numeric
@attribute peristalsis=absent numeric
@attribute abdominal_distension=1ne numeric
@attribute abdominal_distension=slight numeric
@attribute abdominal_distension=moderate numeric
@attribute abdominal_distension=severe numeric
@attribute nasogastric_tube=1ne numeric
@attribute nasogastric_tube=slight numeric
@attribute nasogastric_tube=significant numeric
@attribute nasogastric_reflux=1ne numeric
@attribute nasogastric_reflux=>1l numeric
@attribute nasogastric_reflux=<1l numeric
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination=1rmal numeric
@attribute rectal_examination=increased numeric
@attribute rectal_examination=decreased numeric
@attribute rectal_examination=absent numeric
@attribute abdomen=1rmal numeric
@attribute abdomen=other numeric
@attribute 'abdomen=firm feces in large intestine' numeric
@attribute 'abdomen=distended small intestine' numeric
@attribute 'abdomen=distended large intestine' numeric
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdomi1centesis_appearance=clear numeric
@attribute abdomi1centesis_appearance=cloudy numeric
@attribute abdomi1centesis_appearance=serosangui1us numeric
@attribute abdomcentesis_total_protein numeric
@attribute outcome=lived numeric
@attribute outcome=died numeric
@attribute outcome=euthanized numeric
@attribute a61+1 {1,2}

@data
1,0,0.685185,0.272727,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,1,0,0.647887,0.052509,0,1,0,0.284812,1,0,0,1
0,0,0.333333,0.077922,0.045455,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.043174,0,1,0,0.284812,1,0,0,2
1,1,0.481481,0.402597,0.227273,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0.826667,1,0,0,0,1,0,0,0,0,0.464789,0.032672,1,0,0,0.284812,0,1,0,2
0,0,0.518519,0.298701,0.227273,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.528309,0,0,0,1,0,0,0,1,0,0.591549,0.906651,1,0,0,0.19,1,0,0,1
0,0,0.407407,0.428571,0.454545,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.466667,0,0,0,1,0,0,0,0,1,0.577465,0.04084,0,1,0,0.284812,0,1,0,1
0,1,0.506379,0.636364,0.318182,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.690141,0.052509,0,0,1,0.46,0,1,0,2
1,0,0.388889,0.116883,0.181818,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,1,0,0.284812,1,0,0,2
0,0,0.407407,0.220779,0.147727,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.528309,0,1,0,0,0,0,0,0,1,0.507042,0.043174,1,0,0,0.284812,1,0,0,1
1,0,0.740741,0.519481,0.306818,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.71831,0.063011,0,1,0,0.284812,1,0,0,2
0,0,0.833333,0.272727,0.590909,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.528309,0,0,0,1,0,0,0,1,0,0.591549,0.032672,0,1,0,0.284812,1,0,0,1
1,0,0.555556,0.116883,0.090909,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.6,0,0,0,1,0,0,1,0,0,0.633803,0.04084,0,1,0,0.284812,1,0,0,2
0,0,0.592593,0.077922,0.295455,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,1,0,0,0,0,0,0,0,1,0.619718,0.045508,0,1,0,0.284812,1,0,0,1
0,1,0.537037,0.649351,0.590909,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.647887,0.778296,0,1,0,0.284812,1,0,0,1
0,0,0.5,0.194805,0.045455,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.133333,0,0,0,1,0,0,0,0,1,0.661972,0.719953,0,1,0,0.284812,1,0,0,1
1,0,0.444444,0.194805,0.386364,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,1,0,0.284812,1,0,0,2
0,0,0.537037,0.272727,0.25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.549296,0.043174,0,1,0,0.38,1,0,0,1
0,0,0.444444,0.116883,0.045455,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.528309,1,0,0,0,0,0,1,0,0,0.464789,0.025671,0,1,0,0.12,1,0,0,2
0,0,0.506379,0.264658,0.255931,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,1,0,0.284812,0,1,0,2
1,0,0.425926,0.116883,0.255931,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.577465,0.848308,0,1,0,0.284812,1,0,0,2
1,0,0.425926,0.428571,0.25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.4,0,0,0,1,0,0,0,0,1,0.873239,0.049008,0,1,0,0.284812,0,1,0,1
1,0,0.333333,0.506494,0.045455,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.666667,0,0,1,0,0,0,1,0,0,0.676056,0.057176,0,0,1,0.73,0,0,1,1
0,0,0.333333,0.194805,0.255931,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.549296,0.038506,0,1,0,0.284812,1,0,0,1
0,0,0.518519,0.220779,0.227273,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,1,0,0.633803,0.061844,0,1,0,0.65,1,0,0,1
0,0,0.506379,0.454545,0.25,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.528309,0,0,0,1,0,0,0,1,0,0.676056,0.038506,0,1,0,0.284812,1,0,0,1
1,0,0.506379,0.480519,0.181818,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.528309,0,0,0,1,0,1,0,0,0,0.971831,0.05951,0,1,0,0.284812,0,0,1,1
1,0,0.537037,0.532468,0.090909,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.528309,0,0,0,1,0,0,0,0,1,0.661972,0.031505,0,1,0,0.09,0,0,1,2
0,0,0.444444,0.272727,0.255931,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,1,0,0,0,1,0,0,0,0,0.732394,0.894982,1,0,0,0.19,1,0,0,1
1,0,0.592593,0.142857,0.255931,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.528309,1,0,0,0,0,0,1,0,0,0.394366,0.038506,1,0,0,0.49,1,0,0,2
0,1,0.703704,0.753247,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,1,0,0.284812,0,1,0,1
0,0,0.506379,0.376623,0.255931,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.528309,0,0,0,1,0,0,0,0,1,0.830986,0.03734,0,0,1,0.284812,0,1,0,1
1,1,0.666667,0.779221,0.727273,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.605634,0.060677,0,1,0,0,1,0,0,1
1,0,0.481481,0.194805,0.045455,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.528309,0,1,0,0,0,1,0,0,0,0.605634,0.043174,0,1,0,0.284812,1,0,0,2
0,0,0.506379,0.584416,0.255931,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.676056,0.743291,0,1,0,0.19,0,0,1,1
0,0,0,0.714286,0.181818,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.746479,0.766628,0,0,1,0.19,0,0,1,1
1,0,0.506379,0.584416,0.255931,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.788732,0.03734,0,0,1,0.284812,0,1,0,1
0,0,0.462963,0.194805,0.079545,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.528309,0,0,0,1,0,0,0,0,1,0.859155,0.049008,0,1,0,0.284812,1,0,0,1
1,0,0.388889,0.116883,0.090909,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.528309,1,0,0,0,0,0,0,0,1,0.464789,0.03734,0,1,0,0.284812,1,0,0,2
0,0,0.648148,0.324675,0.409091,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.8,0,0,1,0,1,0,0,0,0,0.704225,0.03734,0,0,1,0.284812,0,1,0,1
1,0,0.333333,0.350649,0.454545,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.528309,0,1,0,0,1,0,0,0,0,0.971831,0.025671,0,1,0,0.4,0,1,0,2
1,0,0.592593,0.103896,0.255931,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.528309,0,0,0,1,0,1,0,0,0,0.633803,0.067678,1,0,0,0.15,1,0,0,2
0,0,0.37037,0.350649,0.318182,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,0,1,0.284812,0,1,0,1
1,0,0.506379,0.264658,0.255931,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,1,0,0,0,1,0,0,0,0.549296,0.051342,0,1,0,0.284812,1,0,0,2
1,0,0.592593,0.064935,0.136364,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.521127,0.036173,0,1,0,0.284812,1,0,0,2
1,0,0.907407,0.545455,0.318182,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.8,1,0,0,0,0,0,0,0,1,0.746479,0.056009,0,0,1,0.44,0,0,1,1
0,1,0.592593,0.844156,0.136364,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.478873,0.250538,0,1,0,0.284812,0,1,0,1
0,0,0.506379,0.264658,0.255931,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.28169,0.039673,0,1,0,0.284812,1,0,0,1
0,0,0.506379,0.220779,0.318182,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.528309,0,0,0,1,0,0,0,0,1,0.535211,0.051342,0,1,0,0.284812,0,1,0,1
0,0,0.506379,0.264658,0.136364,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,1,0,0.690141,0.030338,0,0,1,0.284812,0,1,0,1
1,0,0.506379,0.428571,0.255931,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.528309,0,0,0,1,0,0,0,0,1,0.788732,0.250538,0,1,0,0.284812,0,1,0,1
1,0,0.444444,0.116883,0.272727,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.464789,0.039673,0,1,0,0.284812,1,0,0,2
1,0,0.574074,0.194805,0.255931,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.528309,1,0,0,0,1,0,0,0,0,0.56338,0.051342,0,1,0,0.284812,1,0,0,2
0,0,0.444444,0.376623,0.159091,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.84507,0.054842,1,0,0,0.59,0,1,0,1
1,0,0.518519,0.649351,0.090909,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.859155,0.91832,0,1,0,0.19,0,0,1,2
0,0,0.666667,0.220779,0.318182,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.8,0,0,0,1,0,0,0,0,1,0.56338,0.049008,0,0,1,0.49,1,0,0,1
0,0,0.506379,0.194805,0.318182,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.528309,0,0,1,0,0,0,0,1,0,0.309859,0.801634,0,1,0,0.09,1,0,0,1
1,0,0.462963,0.272727,0.255931,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.133333,0,0,1,0,0,0,0,1,0,0.760563,0.824971,1,0,0,0.19,1,0,0,1
1,0,0.555556,0.155844,0.181818,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,1,0,0,0,0.633803,0.045508,1,0,0,0.284812,1,0,0,2
1,0,0.506379,0.142857,0.090909,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.6,0,0,0,1,0,0,0,0,1,0.71831,0.045508,0,1,0,0.284812,1,0,0,2
1,0,0.481481,0.116883,0.045455,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.528309,0,0,1,0,0,1,0,0,0,0.535211,0.035006,0,1,0,0.4,1,0,0,2
1,0,0.296296,0.194805,0.136364,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.466667,0,0,0,1,0,0,0,1,0,0.549296,0.050175,0,1,0,0.284812,0,0,1,1
0,0,0.444444,0.116883,0.227273,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0.528309,1,0,0,0,1,0,0,0,0,0.591549,0.030338,0,1,0,0.69,1,0,0,2
0,0,0.425926,0.168831,0.255931,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.586715,0.250538,0,1,0,0.284812,0,1,0,1
0,0,0.5,0.142857,0.181818,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.8,1,0,0,0,0,0,0,0,1,0.704225,0.049008,0,1,0,0.25,0,1,0,1
0,1,0.506379,0.264658,0.255931,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.464789,0.01867,0,1,0,0.284812,0,1,0,1
0,1,0.796296,0.454545,0.255931,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.619718,0.626604,0,1,0,0.19,0,0,1,1
0,0,0.407407,0.051948,0.136364,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.464789,0.754959,0,1,0,0.284812,1,0,0,1
1,0,0.611111,0.142857,0.136364,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.528309,1,0,0,0,1,0,0,0,0,0.408451,0.859977,0,1,0,0.284812,1,0,0,2
0,0,0.506379,0.264658,0.255931,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.528309,0,0,0,1,0,0,0,0,1,0.591549,0.030338,0,1,0,0.284812,0,1,0,1
