@relation credit1rating1weka.filters.unsupervised.attribute.ReplaceMissingValues1weka.filters.unsupervised.attribute.NominalToBinary1Rfirst1last1weka.filters.unsupervised.attribute.Normalize1S1.01T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0-weka.filters.unsupervised.attribute.AddExpression-Ea43+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R43

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4=u numeric
@attribute A4=y numeric
@attribute A4=l numeric
@attribute A5=g numeric
@attribute A5=p numeric
@attribute A5=gg numeric
@attribute A6=c numeric
@attribute A6=d numeric
@attribute A6=cc numeric
@attribute A6=i numeric
@attribute A6=j numeric
@attribute A6=k numeric
@attribute A6=m numeric
@attribute A6=r numeric
@attribute A6=q numeric
@attribute A6=w numeric
@attribute A6=x numeric
@attribute A6=e numeric
@attribute A6=aa numeric
@attribute A6=ff numeric
@attribute A7=v numeric
@attribute A7=h numeric
@attribute A7=bb numeric
@attribute A7=j numeric
@attribute A7=n numeric
@attribute A7=z numeric
@attribute A7=dd numeric
@attribute A7=ff numeric
@attribute A7=o numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13=g numeric
@attribute A13=p numeric
@attribute A13=s numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute a43+1 {1,2}

@data
1,0.368421,0.214286,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.035088,0,1,0,0,1,0,0,0,0,1
0,0.516241,0.215714,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001404,1,1,0,1,1,0,0,0,0.0269,1
1,0.482406,0.375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175439,0,0,0.104478,0,1,0,0,0,0,1
0,0.344662,0.157679,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,0,0.149254,0,1,0,0,0.16,0,1
0,0.218045,0.03125,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.033684,0,0,0.044776,0,1,0,0,0.198,0,1
1,0.142857,0.209821,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.111228,0,0,0.149254,1,1,0,0,0.06,0.00245,1
0,0.121504,0.008929,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.023333,0,1,0,0,1,0,0,0,0,1
1,0.081504,0.306607,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.026316,0,0,0.104478,1,1,0,0,0.048,0,1
0,0.169173,0.401786,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.087719,0,0,0.253731,1,1,0,0,0.1,0.01208,1
0,0.142857,0.035714,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.029298,0,1,0,1,0,0,1,0.15,0,1
1,0.511278,0.285714,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.276316,0,0,0.089552,0,1,0,0,0,0.0126,1
1,0.205564,0.517857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.108246,0,0,0.014925,1,1,0,0,0.06,0.00011,1
1,0.412331,0.232143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017544,0,0,0.044776,0,1,0,0,0.0725,0,1
1,0.031278,0.020893,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.052632,0,0,0.029851,1,1,0,0,0.05,0,1
1,0.5,0.464286,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.181228,0,0,0.134328,0,1,0,0,0,0,1
0,0.64406,0.660714,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.526316,0,0,0.253731,0,1,0,0,0,0,1
0,0.656692,0.303571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.245614,0,0,0.044776,1,1,0,0,0,0,1
0,0.426015,0.037143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175439,0,0,0.089552,0,1,0,0,0.25,0.1,1
0,0.233083,0.528214,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.176842,0,0,0.074627,0,1,0,0,0.084,0,1
0,0.424812,0.349643,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.279298,0,0,0.119403,1,1,0,0,0,0,1
0,0.537594,0.270893,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.26614,0,0,0.223881,0,1,0,0,0,0.05,1
1,0.345865,0.183036,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.175439,0,1,0,0,1,0,0,0,0.04,1
1,0.132782,0.383929,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.014561,0,0,0.074627,0,1,0,0,0,0.0056,1
0,0.211729,0.053571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.070175,0,0,0.164179,0,1,0,0,0.217,0.00035,1
0,0.203008,0.056607,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.064386,0,0,0.179104,0,1,0,0,0.2915,0.00713,1
1,0.139098,0.419643,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.017544,0,0,0.029851,0,1,0,0,0.15,0.00551,1
0,0.210526,0.020893,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,0,0.029851,1,1,0,0,0.13,0.005,1
0,0.613985,0.33625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.505789,0,0,0.164179,0,1,0,0,0.015,0.003,1
0,0.307068,0.3275,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.157895,0,0,0.179104,0,1,0,0,0,0.00221,1
0,0.22812,0.535714,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.187193,0,0,0.164179,1,1,0,0,0,0.02283,1
0,0.239398,0.050536,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.026316,0,0,0.014925,1,1,0,0,0.12,0.001,1
0,0.388421,0.496964,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.302632,0,0,0.089552,0,1,0,0,0.035,0,1
0,0.641654,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.597015,1,1,0,0,0,0.00015,1
0,0.610226,0.241071,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.092105,0,0,0.164179,0,1,0,0,0,0.00284,1
1,0.409774,0.072857,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.004386,0,0,0.343284,0,1,0,0,0.2275,0.01236,1
0,0.273233,0.159286,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.21193,0,0,0.044776,1,1,0,0,0.1555,0.003,1
0,0.417293,0.055,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.122807,1,1,0,1,1,0,0,0.108,0,1
0,0.152932,0.02375,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005789,1,1,0,1,1,0,0,0.05,0,1
1,0.180451,0.017857,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.030702,0,1,0,0,1,0,0,0.2455,0,1
0,0.184211,0.035714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.061404,0,1,0,0,1,0,0,0.14,0,1
0,0.35594,0.072857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001404,0,1,0,0,1,0,0,0.2,0.058,1
0,0.318346,0.089286,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.1195,0.002,1
0,0.308271,0.107143,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.260175,0,1,0,0,1,0,0,0,0,1
0,0.14406,0.415179,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.029298,0,1,0,0,1,0,0,0.08,0.003,1
0,0.141654,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,1,0,0,0,0,1
0,0.45985,0.017857,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.175439,0,1,0,0,1,0,0,0.16,0,1
0,0.322105,0.160714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.201754,1,1,0,0,0,0,1,0.3555,0,1
0,0.443609,0.107143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.210526,0,0,0.164179,1,1,0,0,0.04,0,1
0,0.646617,0.4375,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04386,0,0,0.059701,0,1,0,0,0.1,0,1
0,0.269474,0.577321,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,0,0.134328,1,1,0,0,0.125,0.0073,1
1,0.145414,0.028214,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.052632,0,0,0.029851,0,1,0,0,0.04,0.004,1
1,0.100301,0.029821,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.055614,0,0,0.014925,1,1,0,0,0,0,1
0,0.194286,0.151786,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.150526,0,0,0.014925,0,1,0,0,0.06,0,1
0,0.307068,0.055,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.054035,0,0,0.014925,0,1,0,0,0.26,0.5,1
1,0.334586,0.035714,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.070175,0,0,0.164179,1,1,0,0,0,0.00456,1
0,0.176692,0.013393,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,0,0.044776,1,1,0,0,0.13,0.15108,1
0,0.085263,0.232143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.051228,0,0,0.104478,1,1,0,0,0.04,0.02954,1
0,0.322105,0.897321,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.057018,0,0,0.014925,0,1,0,0,0.2575,0.005,1
0,0.279398,0.267857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.055614,0,1,0,0,0,0,1,0.21,0,2
0,0.316992,0.142857,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.438596,0,1,0,0,1,0,0,0.092007,0,2
1,0.373383,0.178571,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.473684,0,1,0,0,1,0,0,0.49,0,2
0,0.458647,0.017857,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.377193,0,1,0,1,0,0,1,0.2,0,2
0,0.467368,0.25,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.057018,1,1,0,1,1,0,0,0.08,0.00002,2
0,0.10406,0.188929,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.013158,0,0,0.014925,1,1,0,0,0.08,0,2
0,0.305714,0.232143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.004386,0,1,0,0,1,0,0,0.2215,0,2
1,0.081504,0.020893,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.020526,0,1,0,0,1,0,0,0.08,0,2
0,0.119098,0.041607,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.087719,0,0,0.014925,1,1,0,0,0.09,0.0002,2
0,0.116541,0.348214,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,1,0,0,0.07,0,2
0,0.538797,0.678571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.014925,1,1,0,0,0.047,0,2
1,0.209323,0.053571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.070175,0,1,0,1,0,0,1,0.184,0,2
0,0.39218,0.017857,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,0,1,0.144,0,2
1,0.267942,0.125,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,1,0,0,1,0,0,0.15,0,2
0,0.203008,0.022321,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.015965,0,1,0,0,1,0,0,0.1,0,2
0,0.35218,0.142857,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.175439,0,1,0,0,0,0,1,0.14,0,2
0,0.267942,0.013393,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.030702,0,1,0,0,0,0,1,0.464,0,2
0,0.179248,0.078929,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.140351,0,1,0,1,1,0,0,0.094,0,2
0,0.304511,0.160714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035088,0,1,0,0,1,0,0,0.12,0,2
1,0.530075,0.053571,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.05,0.00027,2
0,0.733083,0.455357,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.175439,0,1,0,1,1,0,0,0.056,0,2
0,0.265714,0.553571,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,1,0,0,0.06,0,2
0,0.267942,0.178571,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.298246,0,1,0,1,1,0,0,0,0,2
0,0.58015,0.049107,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.33193,0,1,0,0,1,0,0,0.1,0.001,2
0,0.225564,0.053571,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.052632,0,1,0,0,1,0,0,0,0.00225,2
1,0.223008,0.126429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.017544,0,1,0,0,1,0,0,0.0855,0,2
0,0.139098,0.022321,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,1,0,0,0.09,0.00001,2
0,0.267942,0.017857,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.029298,0,1,0,0,0,0,1,0.16,0,2
1,0.131579,0.392857,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,1,0,0,1,0,0,0.134,0,2
1,0.221805,0.035714,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.035088,0,0,0.029851,0,1,0,0,0.0835,0.005,2
0,0.357143,0.0625,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.008772,0,1,0,0,1,0,0,0.082,0.004,2
0,0.323308,0.589286,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.140351,0,1,0,1,1,0,0,0.04,0,2
0,0.073985,0.178571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.013158,0,0,0.029851,1,1,0,0,0,0.00038,2
0,0.169173,0.428571,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.078947,0,0,0.029851,0,1,0,0,0.06,0.00005,2
0,0.211729,0.142857,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.201754,0,0,0.029851,0,1,0,0,0.0375,0,2
0,0.617744,0.553571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.298507,1,1,0,0,0.076,0.0013,2
0,0.225564,0.041607,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,0,1,0.14,0,2
1,0.169173,0.392857,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.157895,0,1,0,1,1,0,0,0.06,0,2
0,0.408571,0.080357,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.350877,0,1,0,0,1,0,0,0.088,0,2
1,0.090226,0.026786,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.027895,0,0,0.074627,0,1,0,0,0.07,0.00005,2
0,0.23188,0.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.122807,0,0,0.044776,0,1,0,0,0.1645,0,2
1,0.161654,0.037143,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.017544,0,0,0.044776,1,1,0,0,0.09,0.00147,2
0,0.162857,0.446429,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.030702,0,1,0,0,1,0,0,0.13,0,2
1,0.300752,0.026786,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.035088,0,0,0.044776,0,1,0,0,0.106,0,2
0,0.10406,0.044643,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.048246,0,0,0.044776,0,1,0,0,0.07,0.0021,2
1,0.175489,0.040179,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.045263,0,0,0.029851,1,1,0,0,0.1,0,2
0,0.360902,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.403509,0,0,0.104478,0,1,0,0,0.15,0.00005,2
0,0.582707,0.232143,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.220702,0,0,0.223881,1,1,0,0,0,0.11202,1
0,0.662857,0.251429,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.491228,0,0,0.089552,0,1,0,0,0.18,0.01332,1
1,0.105263,0.369107,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.011754,0,0,0.014925,0,1,0,0,0.04,0.0005,1
0,0.393534,0.221786,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001404,0,0,0.014925,1,1,0,0,0.1,0.003,1
0,0.179248,0.446429,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.042456,0,0,1,0,1,0,0,0.07,0.00258,1
1,0.165414,0.446429,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.052632,0,0,0.179104,0,1,0,0,0.06,0.00567,1
1,0.457444,0.238036,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.258772,0,0,0.044776,0,1,0,0,0,0,1
1,0.146617,0.321429,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.298246,0,0,0.074627,0,1,0,0,0.06,0,1
0,0.318346,0.178571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.263158,0,0,0.089552,0,1,0,0,0,0.01,1
