@relation ringnorm-weka.filters.unsupervised.attribute.AddExpression-Ea21+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute class {1,2}

@data
0.609407,0.551798,0.579211,0.638013,0.585472,0.501885,0.556063,0.471467,0.533222,0.496435,0.537236,0.563877,0.473313,0.509818,0.583234,0.546927,0.520644,0.604756,0.582672,0.524448,2
0.575573,0.714864,0.483255,0.406222,0.546434,0.412622,0.614441,0.688385,0.6045,0.592153,0.561365,0.431781,0.554712,0.557968,0.477063,0.460808,0.456367,0.568127,0.518691,0.481713,2
0.533702,0.528374,0.593007,0.417423,0.628445,0.507963,0.585294,0.531078,0.528342,0.574528,0.526224,0.706462,0.492959,0.440125,0.620681,0.570091,0.347649,0.730732,0.605256,0.528782,2
0.327778,0.469742,0.552159,0.381107,0.674318,0.436503,0.5372,0.364179,0.241793,0.288215,0.650274,0.423879,0.409982,0.648479,0.38617,0.417738,0.545233,0.315122,0.526726,0.368576,1
0.459439,0.516832,0.454195,0.348478,0.541489,0.298419,0.309773,0.646177,0.432212,0.444049,0.301035,0.464574,0.625095,0.546592,0.427382,0.120804,0.44307,0.638232,0.537827,0.514475,1
0.742155,0.464586,0.462739,0.649381,0.801731,0.262675,0.717425,0.730314,0.317052,0.587616,0.65116,0.934075,0.48967,0.260183,0.393836,0.582532,0.391887,0.539308,0.643264,0.300697,1
0.612552,0.434947,0.53743,0.529863,0.630364,0.526182,0.565136,0.716438,0.500416,0.578058,0.557202,0.585589,0.59436,0.516572,0.55244,0.482696,0.535945,0.505334,0.611176,0.548408,2
0.525178,0.742192,0.498602,0.41939,0.59206,0.519169,0.703757,0.514854,0.572641,0.515081,0.601683,0.567289,0.469809,0.567389,0.620035,0.554406,0.59483,0.585239,0.643234,0.657997,2
0.296222,0.564072,0.633973,0.446284,0.454912,0.682295,0.544435,0.616764,0.297809,0.75031,0.35756,0.404726,0.690397,0.293882,0.894325,0.748745,0.83825,0.357008,0.448031,0.531696,1
0.544595,0.638746,0.359327,0.857312,0.62414,0.41412,0.641159,0.434176,0.482128,0.409909,0.400695,0.462932,0.18217,0.819407,0.578449,0.432725,0.572934,0.368818,0.514414,0.519681,1
0.623734,0.501358,0.585024,0.478528,0.691922,0.571372,0.68802,0.566859,0.539793,0.590229,0.569393,0.542137,0.637622,0.555409,0.45155,0.454477,0.531929,0.516639,0.614233,0.64732,2
0.480633,0.83692,0.30609,0.662933,0.504864,0.560188,0.461888,0.503365,0.476552,0.541339,0.575948,0.644471,0.571291,0.367336,0.579931,0.52474,0.519672,0.296881,0.388358,0.461774,1
0.408376,0.400486,0.439161,0.525435,0.443794,0.580504,0.563681,0.658889,0.543938,0.61064,0.474182,0.63924,0.501085,0.662766,0.652222,0.601768,0.534231,0.562002,0.500505,0.555669,2
0.623841,0.520814,0.561537,0.347687,0.553058,0.505326,0.56726,0.613962,0.583274,0.559481,0.519343,0.640897,0.508879,0.677264,0.538141,0.555019,0.460902,0.496363,0.622931,0.483086,2
0.45931,0.611809,0.517736,0.636881,0.635054,0.533984,0.696696,0.648919,0.697453,0.328458,0.588785,0.452886,0.507041,0.489612,0.517962,0.585299,0.46074,0.658298,0.665863,0.442421,1
0.563563,0.519193,0.619401,0.518082,0.532248,0.521697,0.608732,0.52465,0.517763,0.496318,0.527537,0.489091,0.641726,0.556536,0.551183,0.500834,0.430779,0.620311,0.580352,0.535577,2
0.386604,0.405329,0.628805,0.59568,0.670777,0.454247,0.655447,0.540573,0.503926,0.51324,0.596054,0.608407,0.429709,0.708235,0.66992,0.632839,0.599946,0.538153,0.708954,0.528399,2
0.556012,0.506052,0.53906,0.515157,0.419436,0.659327,0.455266,0.569102,0.496006,0.552938,0.512827,0.621469,0.505041,0.590079,0.510867,0.50899,0.483284,0.597974,0.508495,0.460471,2
0.644488,0.496693,0.508912,0.597073,0.609416,0.463971,0.601588,0.51437,0.383837,0.48072,0.634206,0.493906,0.641156,0.511691,0.591144,0.574205,0.565138,0.627622,0.630447,0.496362,2
0.523264,0.504836,0.547336,0.63524,0.349836,0.522142,0.599074,0.409416,0.536856,0.382037,0.549208,0.575621,0.562609,0.540721,0.395589,0.315607,0.728514,0.700879,0.659297,0.50775,1
0.7069,0.587958,0.533442,0.426039,0.506602,0.513347,0.690074,0.560914,0.659207,0.431768,0.625839,0.518113,0.559957,0.453652,0.572502,0.444261,0.469812,0.580384,0.632487,0.537424,2
0.346093,0.331252,0.704291,0.235188,0.247022,0.776014,0.291627,0.185458,0.427754,0.498111,0.447961,0.39136,0.623717,0.63468,0.262478,0.442343,0.465519,0.489868,0.476135,0.337104,1
0.459834,0.412412,0.507165,0.26021,0.648259,0.551538,0.514159,0.415602,0.396127,0.521397,0.277685,0.595838,0.366378,0.472894,0.821422,0.598952,0.708947,0.814401,0.528474,0.399233,1
0.356545,0.573757,0.53629,0.267933,0.661303,0.582893,0.803001,0.629469,0.73206,0.629761,0.184433,0.511261,0.291009,0.202686,0.255722,0.439969,0.490756,0.65907,0.697357,0.520482,1
0.555974,0.626906,0.446909,0.55177,0.58521,0.606006,0.529603,0.492753,0.483259,0.626458,0.491363,0.457398,0.496655,0.621519,0.559073,0.533573,0.607857,0.516907,0.567731,0.573489,2
0.479752,0.549764,0.530763,0.405721,0.589595,0.509051,0.621161,0.605985,0.485543,0.636767,0.598059,0.511649,0.502085,0.535495,0.530515,0.509511,0.530208,0.631087,0.557437,0.552944,2
0.379152,0.437898,0.472853,0.489482,0.5498,0.497151,0.508526,0.466489,0.379434,0.518149,0.534012,0.641165,0.572106,0.68207,0.451624,0.430593,0.466545,0.698136,0.506047,0.483372,2
0.575155,0.523189,0.52205,0.518387,0.608551,0.564447,0.468934,0.448935,0.535349,0.391463,0.462284,0.450475,0.437317,0.631965,0.578069,0.409454,0.611704,0.568791,0.616756,0.534727,2
0.478232,0.573601,0.525491,0.451656,0.560263,0.417151,0.575532,0.498795,0.513019,0.548338,0.549254,0.334205,0.661417,0.727179,0.596636,0.513389,0.480456,0.580683,0.694247,0.534344,2
0.659772,0.602813,0.52699,0.466486,0.551989,0.481562,0.513101,0.448799,0.329341,0.534264,0.542812,0.40873,0.550971,0.535156,0.429081,0.6039,0.563801,0.505532,0.59939,0.504732,2
0.516739,0.609867,0.397458,0.532534,0.43661,0.383204,0.56625,0.529809,0.572559,0.530658,0.560353,0.5869,0.52605,0.547828,0.520253,0.42002,0.500219,0.560784,0.533685,0.494292,2
0.734255,0.279014,0.488149,0.706987,0.729128,0.258226,0.70948,0.616583,0.483552,0.472562,0.436883,0.34836,0.438458,0.509356,0.46504,0.232718,0.782856,0.607608,0.519964,0.533654,1
0.760857,0.395103,0.572518,0.276949,0.338501,0.430812,0.73016,0.458521,0.333158,0.449379,0.480398,0.534411,0.649816,0.544251,0.500985,0.673114,0.383551,0.423866,0.659297,0.506593,1
0.608549,0.532306,0.540356,0.403355,0.534545,0.524553,0.676517,0.444041,0.512562,0.524176,0.538109,0.520453,0.542274,0.490243,0.46432,0.504171,0.599528,0.51722,0.617644,0.463956,2
0.565052,0.575641,0.646362,0.48893,0.504523,0.594844,0.436013,0.480803,0.55909,0.531768,0.616632,0.581415,0.550815,0.558715,0.511975,0.42516,0.691047,0.65232,0.71714,0.449655,2
0.575322,0.519492,0.542383,0.585241,0.509845,0.602157,0.481336,0.517762,0.46159,0.626679,0.421221,0.463404,0.483306,0.35765,0.486897,0.538407,0.573156,0.490417,0.652587,0.540219,2
0.433619,0.491239,0.298367,0.436485,0.488868,0.584149,0.603196,0.624378,0.335374,0.314246,0.440227,0.54017,0.574299,0.704414,0.5783,0.661693,0.429172,0.647924,0.777664,0.53203,1
0.495514,0.490485,0.515227,0.484691,0.583465,0.589365,0.647593,0.500699,0.550434,0.517687,0.571944,0.586695,0.502256,0.512363,0.617602,0.508684,0.548912,0.530957,0.58332,0.547453,2
0.477237,0.440849,0.457565,0.539445,0.607729,0.45012,0.516826,0.589481,0.409494,0.465791,0.538302,0.714146,0.574276,0.436962,0.532996,0.59409,0.424258,0.662139,0.613947,0.519304,2
0.570795,0.633562,0.562293,0.517102,0.538552,0.585354,0.498687,0.520164,0.534129,0.462778,0.606226,0.596141,0.494722,0.416531,0.576607,0.553586,0.683156,0.567993,0.531471,0.606509,2
0.582881,0.632986,0.499475,0.492131,0.452047,0.636491,0.571681,0.471928,0.529637,0.595111,0.575715,0.607399,0.533273,0.52171,0.529672,0.585327,0.381945,0.551781,0.566873,0.520231,2
0.619359,0.634088,0.38288,0.460816,0.592896,0.619696,0.694739,0.55185,0.543331,0.653289,0.631574,0.680662,0.609168,0.38985,0.460786,0.567482,0.655476,0.591817,0.586249,0.59232,2
0.528095,0.641157,0.711467,0.354147,0.624293,0.55346,0.530307,0.295224,0.497233,0.263867,0.54174,0.353203,0.610153,0.510442,0.398097,0.295302,0.481212,0.581698,0.445455,0.507311,1
0.558291,0.602991,0.394656,0.26569,0.514993,0.507955,0.364523,0.449071,0.435307,0.629244,0.556063,0.5078,0.649668,0.519829,0.378803,0.494353,0.504647,0.648275,0.837857,0.433194,1
0.595149,0.573551,0.491551,0.631901,0.585312,0.517043,0.454096,0.541487,0.453084,0.574735,0.642327,0.682199,0.498278,0.640361,0.550992,0.484664,0.561729,0.577219,0.746999,0.625786,2
0.241953,0.617213,0.185552,0.40668,0.396343,0.155003,0.318476,0.556564,0.480744,0.48092,0.350805,0.469001,0.656572,0.370716,0.64421,0.668879,0.542108,0.488796,0.495052,0.68119,1
0.468661,0.534333,0.608459,0.590286,0.582637,0.544314,0.636647,0.472668,0.491793,0.438553,0.524099,0.577595,0.661743,0.595353,0.622774,0.495858,0.38187,0.619226,0.61842,0.537403,2
0.278621,0.494987,0.501352,0.361021,0.481408,0.284371,0.792494,0.718213,0.457582,0.544877,0.559007,0.560803,0.530014,0.416362,0.58636,0.757344,0.566555,0.494117,0.553415,0.387755,1
0.548013,0.34556,0.555815,0.153141,0.627776,0.517547,0.554984,0.688529,0.417428,0.62579,0.800758,0.63757,0.477143,0.394425,0.547533,0.549323,0.523067,0.631827,0.483636,0.423674,1
0.557744,0.520772,0.577204,0.468395,0.568007,0.568837,0.524555,0.592805,0.522357,0.615715,0.606413,0.717952,0.536466,0.607795,0.557965,0.598995,0.476751,0.589131,0.699443,0.526148,2
0.472041,0.661829,0.62526,0.532926,0.373613,0.359162,0.548334,0.258688,0.783979,0.328224,0.525178,0.356925,0.49504,0.435428,0.604587,0.466277,0.586312,0.673527,0.674524,0.436344,1
0.500103,0.568544,0.539216,0.450799,0.532677,0.150283,0.416126,0.161159,0.731058,0.439229,0.607785,0.362649,0.436258,0.304444,0.448484,0.441715,0.642078,0.573601,0.647473,0.642073,1
0.62757,0.39969,0.612741,0.500399,0.64394,0.482767,0.524806,0.489051,0.488603,0.47992,0.591017,0.453711,0.538222,0.699602,0.480087,0.558171,0.566893,0.596978,0.505866,0.442644,2
0.626423,0.611595,0.539112,0.374203,0.570167,0.436634,0.376897,0.501462,0.590861,0.411412,0.559007,0.605841,0.493425,0.512974,0.595589,0.604584,0.758071,0.552458,0.487793,0.485455,2
0.641198,0.606397,0.406465,0.484125,0.481953,0.499774,0.595655,0.493485,0.4432,0.639567,0.535624,0.492771,0.649283,0.633139,0.50212,0.604485,0.518599,0.608105,0.662015,0.536365,2
0.465569,0.564804,0.671504,0.537601,0.493565,0.520374,0.500762,0.575704,0.599517,0.554779,0.638696,0.560317,0.485728,0.550027,0.579394,0.576836,0.444413,0.611034,0.603336,0.535445,2
0.716175,0.513234,0.607827,0.407362,0.588032,0.479144,0.478557,0.64447,0.532323,0.463998,0.352011,0.545605,0.511471,0.408801,0.545637,0.512798,0.517087,0.550741,0.660984,0.64001,2
0.547838,0.791707,0.474216,0.407413,0.652265,0.406617,0.425638,0.621183,0.511192,0.5227,0.50977,0.358779,0.482136,0.442643,0.515523,0.590297,0.439195,0.449278,0.62821,0.547083,1
0.631057,0.552331,0.607136,0.483682,0.576551,0.459229,0.538502,0.693559,0.598488,0.551455,0.511668,0.551364,0.678322,0.51387,0.620919,0.603586,0.588067,0.47254,0.66984,0.438191,2
0.499685,0.575741,0.638841,0.382435,0.589559,0.611719,0.465794,0.614641,0.532998,0.539912,0.5414,0.454423,0.570676,0.55285,0.600299,0.579695,0.493935,0.490596,0.686121,0.617932,2
0.449267,0.533465,0.480928,0.514859,0.49627,0.495288,0.476984,0.53836,0.501363,0.572942,0.56874,0.587492,0.514316,0.516558,0.572421,0.556509,0.553117,0.657826,0.695738,0.399254,2
0.34291,0.636997,0.816514,0.338555,0.473511,0.514852,0.702016,0.259459,0.575783,0.341884,0.473629,0.29069,0.706517,0.339521,0.261159,0.665721,0.637285,0.59033,0.56392,0.742233,1
0.514893,0.589032,0.526143,0.411848,0.347873,0.546001,0.63398,0.590191,0.568006,0.501634,0.450712,0.571723,0.570291,0.486931,0.519498,0.633744,0.583956,0.551641,0.592492,0.54792,2
0.545635,0.685744,0.466108,0.528709,0.518483,0.518585,0.558834,0.592623,0.477847,0.627886,0.497558,0.699081,0.575677,0.581758,0.493741,0.61068,0.426925,0.590809,0.534235,0.481769,2
0.580587,0.518461,0.404171,0.507114,0.377838,0.506801,0.623326,0.426268,0.502917,0.688408,0.491629,0.435432,0.348288,0.581025,0.678062,0.712541,0.464284,0.499279,0.552436,0.698739,1
0.193625,0.453543,0.580482,0.545717,0.754395,0.226039,0.490993,0.683083,0.501472,0.446656,0.346029,0.530104,0.419575,0.366461,0.316719,0.465963,0.629645,0.255723,0.658167,0.429598,1
0.547299,0.523033,0.497592,0.424566,0.505184,0.617724,0.539964,0.492473,0.558238,0.51437,0.548881,0.620313,0.502463,0.547054,0.499327,0.455055,0.731356,0.591517,0.610754,0.552331,2
0.553027,0.532398,0.232552,0.394231,0.58164,0.435129,0.625269,0.794888,0.744015,0.498097,0.754012,0.28087,0.750876,0.522144,0.433709,0.559589,0.607789,0.511459,0.350395,0.654624,1
0.476356,0.519598,0.553247,0.303015,0.554555,0.568881,0.549859,0.600215,0.533727,0.525548,0.653505,0.602803,0.589144,0.52792,0.514503,0.566355,0.702825,0.651937,0.559967,0.540205,2
0.278758,0.655244,0.236248,0.490404,0.605352,0.345823,0.563242,0.596317,0.57487,0.366867,0.638789,0.185811,0.232374,0.429319,0.606334,0.341074,0.625507,0.464335,0.817087,0.515855,1
0.548993,0.72824,0.492176,0.399675,0.750156,0.496092,0.601295,0.600449,0.61435,0.474121,0.627671,0.488471,0.529465,0.589536,0.564578,0.578875,0.486794,0.552062,0.505671,0.492034,2
0.467673,0.705249,0.559406,0.545593,0.604181,0.608797,0.591909,0.650565,0.511622,0.482754,0.56461,0.578948,0.632355,0.519402,0.534593,0.439569,0.472134,0.537069,0.60665,0.492027,2
0.479106,0.460028,0.398723,0.578628,0.579001,0.403242,0.756411,0.397814,0.448919,0.493091,0.259465,0.484037,0.36786,0.782374,0.161642,0.466184,0.507057,0.506661,0.559703,0.202948,1
0.787399,0.64009,0.456444,0.589909,0.540558,0.49035,0.402172,0.606733,0.733661,0.386719,0.63352,0.59249,0.446251,0.582742,0.463592,0.604413,0.656907,0.50349,0.501484,0.373915,1
0.425756,0.608623,0.402437,0.327964,0.438821,0.587137,0.372684,0.38804,0.631881,0.366515,0.521581,0.46272,0.702717,0.51894,0.426913,0.49409,0.733131,0.409127,0.301649,0.23709,1
0.41721,0.465895,0.488194,0.341909,0.597862,0.672002,0.542262,0.259466,0.546146,0.671556,0.472377,0.560359,0.761173,0.383918,0.297744,0.230073,0.510182,0.644453,0.741856,0.348115,1
0.6051,0.472181,0.468207,0.515106,0.487908,0.526277,0.61786,0.555559,0.502188,0.584968,0.505466,0.678145,0.520546,0.451636,0.511635,0.440496,0.534292,0.530771,0.559598,0.469169,2
0.427663,0.562948,0.559992,0.450835,0.634509,0.503886,0.357539,0.559139,0.525397,0.215791,0.629116,0.788931,0.802888,0.51575,0.603921,0.483844,0.499058,0.61788,0.555885,0.46806,1
0.595893,0.475708,0.460465,0.573554,0.540064,0.656909,0.591066,0.578733,0.557577,0.577906,0.517377,0.570066,0.69379,0.659053,0.37448,0.565935,0.539948,0.756501,0.573296,0.576626,2
0.471722,0.502155,0.631164,0.573932,0.567687,0.366124,0.628827,0.283713,0.545492,0.497566,0.519662,0.329066,0.693812,0.351352,0.491389,0.522729,0.50107,0.437621,0.585948,0.368165,1
0.456081,0.533422,0.254997,0.653598,0.570981,0.412469,0.785781,0.306025,0.423303,0.719232,0.390729,0.433388,0.534688,0.532325,0.535993,0.603087,0.582869,0.712293,0.455185,0.43764,1
0.39278,0.665214,0.445697,0.554159,0.42462,0.642978,0.544205,0.358861,0.411191,0.603813,0.558734,0.548911,0.926327,0.634361,0.627837,0.545722,0.593102,0.555086,0.656683,0.491484,1
0.650648,0.55637,0.520486,0.563131,0.531986,0.537571,0.493263,0.521032,0.539105,0.514867,0.551826,0.599349,0.509345,0.563371,0.515781,0.662142,0.539233,0.597106,0.506845,0.353781,2
0.653596,0.587425,0.430623,0.439417,0.555995,0.588401,0.48364,0.47606,0.590983,0.514412,0.52729,0.59115,0.706406,0.482933,0.407122,0.729681,0.560676,0.633122,0.598283,0.61343,2
0.462652,0.44016,0.425312,0.548562,0.344936,0.468982,0.544595,0.686731,0.606777,0.324224,0.713495,0.478637,0.639593,0.3473,0.171361,0.660901,0.413094,0.607148,0.455938,0.610377,1
0.506977,0.480444,0.519072,0.456882,0.744659,0.447081,0.442941,0.472517,0.370525,0.534506,0.594854,0.581162,0.541703,0.500669,0.471075,0.518181,0.543566,0.570137,0.569523,0.666792,2
0.645308,0.61929,0.684636,0.380932,0.517204,0.532077,0.472945,0.483764,0.67376,0.470183,0.497878,0.475296,0.535525,0.664063,0.525683,0.478711,0.511464,0.511956,0.656525,0.510656,2
0.530412,0.554464,0.571834,0.568836,0.469061,0.591725,0.469617,0.471376,0.499387,0.557758,0.563804,0.692328,0.602723,0.59591,0.500768,0.598945,0.479707,0.585379,0.523835,0.476862,2
0.598339,0.703664,0.533696,0.406505,0.427383,0.386732,0.687456,0.462139,0.35174,0.450228,0.567734,0.605214,0.434161,0.354705,0.724358,0.499537,0.515683,0.456564,0.404646,0.191059,1
0.502807,0.523723,0.576154,0.546689,0.643467,0.626688,0.561675,0.694632,0.53965,0.550234,0.629283,0.546507,0.526154,0.550889,0.519363,0.53219,0.610786,0.567132,0.718337,0.564311,2
0.46781,0.508349,0.61566,0.377354,0.608245,0.218682,0.418431,0.479436,0.333342,0.542022,0.786748,0.593018,0.505197,0.546226,0.550544,0.244168,0.498397,0.354596,0.69582,0.272716,1
0.591168,0.440572,0.600932,0.624809,0.575933,0.605444,0.492769,0.54716,0.530939,0.538643,0.492409,0.45682,0.391136,0.560222,0.498165,0.510309,0.505248,0.549331,0.671948,0.486222,2
0.399344,0.455299,0.689726,0.407834,0.65766,0.316448,0.489406,0.309311,0.557038,0.598448,0.640661,0.512812,0.379268,0.474252,0.514245,0.606438,0.408754,0.440767,0.65471,0.342993,1
0.575079,0.426279,0.572954,0.532948,0.555457,0.577399,0.661421,0.41876,0.472646,0.51204,0.633766,0.604481,0.480069,0.499033,0.660949,0.497982,0.621565,0.725487,0.640568,0.591003,2
0.739838,0.633285,0.389299,0.699308,0.374624,0.378572,0.465585,0.582154,0.438265,0.527679,0.575389,0.461536,0.332857,0.821416,0.703378,0.416077,0.490493,0.642903,0.645237,0.383866,1
0.511026,0.549593,0.524416,0.620977,0.625115,0.615744,0.564871,0.673792,0.364384,0.494077,0.60953,0.624409,0.567105,0.604245,0.533254,0.462719,0.582262,0.596678,0.572581,0.454659,2
0.484211,0.542539,0.457134,0.504152,0.551458,0.588313,0.483257,0.583159,0.411791,0.535188,0.558761,0.573562,0.598441,0.465564,0.374392,0.515029,0.561601,0.615704,0.652489,0.529549,2
0.492681,0.432074,0.569116,0.506359,0.611896,0.392416,0.584688,0.498561,0.572839,0.57732,0.519516,0.390656,0.524035,0.488634,0.334144,0.658506,0.319969,0.484796,0.613427,0.40876,1
0.757135,0.786793,0.380684,0.468874,0.459114,0.803869,0.552589,0.433111,0.377996,0.547849,0.402001,0.420128,0.692879,0.642003,0.385755,0.504142,0.546259,0.334499,0.44776,0.48678,1
0.376258,0.540391,0.642745,0.588588,0.486345,0.410986,0.485374,0.233407,0.41616,0.454317,0.627817,0.601781,0.664358,0.335768,0.571707,0.70924,0.392265,0.377584,0.294495,0.229814,1
0.637924,0.514144,0.506846,0.394826,0.630837,0.536249,0.486941,0.601763,0.593335,0.548152,0.50444,0.673239,0.60719,0.529237,0.549973,0.489862,0.533171,0.57919,0.418036,0.48595,2
0.488761,0.618657,0.56054,0.507644,0.655232,0.572526,0.613856,0.486581,0.522685,0.537078,0.667082,0.412459,0.515724,0.516707,0.696942,0.494353,0.595707,0.633677,0.661134,0.59409,2
0.684885,0.615201,0.615706,0.335731,0.581291,0.458031,0.60188,0.525821,0.285929,0.720459,0.44978,0.500025,0.38152,0.526393,0.646412,0.573307,0.799818,0.4528,0.645357,0.530741,1
0.575763,0.53035,0.600313,0.606183,0.587188,0.545417,0.596351,0.674721,0.452068,0.449924,0.58257,0.568713,0.458089,0.543565,0.458387,0.419713,0.486565,0.556445,0.701717,0.555105,2
0.479463,0.582546,0.601994,0.697152,0.302414,0.534539,0.54621,0.478492,0.777108,0.82017,0.580811,0.496084,0.711399,0.373553,0.395447,0.665186,0.417914,0.545127,0.523443,0.573455,1
0.596972,0.63972,0.631777,0.516042,0.508994,0.659123,0.588191,0.507814,0.602387,0.658364,0.429788,0.573196,0.58204,0.558891,0.519865,0.446628,0.566825,0.602893,0.567716,0.432518,2
0.590477,0.549074,0.475252,0.355091,0.650702,0.462086,0.513268,0.693461,0.522276,0.498338,0.631428,0.36432,0.594737,0.501938,0.579944,0.523827,0.514184,0.525061,0.630801,0.588752,2
0.618189,0.590283,0.589475,0.652691,0.531877,0.552817,0.568207,0.630738,0.511397,0.560736,0.517151,0.568572,0.462786,0.550298,0.51345,0.460138,0.576896,0.60318,0.682092,0.514872,2
