@relation transfusion-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute class {1,2}

@data
0.027027,0.122449,0.122449,0.270833,1
0.027027,0.306122,0.306122,0.822917,2
0.040541,0.102041,0.102041,0.197917,2
0.027027,0.122449,0.122449,0.28125,2
0.027027,0.142857,0.142857,0.34375,1
0.027027,0.183673,0.183673,0.489583,2
0.054054,0.081633,0.081633,0.145833,1
0.027027,0.040816,0.040816,0.072917,1
0.040541,0.306122,0.306122,0.75,2
0.027027,0.061224,0.061224,0.125,1
0,0.020408,0.020408,0.020833,2
0.054054,0.122449,0.122449,0.239583,2
0.013514,0.163265,0.163265,0.510417,2
0.027027,0.061224,0.061224,0.145833,2
0.027027,0.061224,0.061224,0.145833,2
0.054054,0.326531,0.326531,0.71875,1
0.027027,0.020408,0.020408,0.020833,2
0.027027,0.020408,0.020408,0.020833,1
0.027027,0.020408,0.020408,0.020833,1
0.027027,0.061224,0.061224,0.145833,1
0.027027,0.020408,0.020408,0.020833,2
0.027027,0.020408,0.020408,0.020833,2
0.027027,0.020408,0.020408,0.020833,2
0.054054,0.102041,0.102041,0.21875,1
0.027027,0.061224,0.061224,0.145833,2
0.027027,0.061224,0.061224,0.145833,2
0.027027,0.061224,0.061224,0.145833,2
0.027027,0.102041,0.102041,0.270833,1
0.027027,0.102041,0.102041,0.270833,2
0.054054,0.020408,0.020408,0.020833,2
0.054054,0.020408,0.020408,0.020833,2
0.054054,0.020408,0.020408,0.020833,2
0.027027,0.122449,0.122449,0.34375,1
0.054054,0.020408,0.020408,0.020833,1
0.054054,0.020408,0.020408,0.020833,2
0.054054,0.020408,0.020408,0.020833,2
0.054054,0.020408,0.020408,0.020833,2
0.162162,0.204082,0.204082,0.21875,2
0.054054,0.122449,0.122449,0.270833,2
0.040541,0.326531,0.326531,0.875,2
0.054054,0.163265,0.163265,0.375,1
0.054054,0.061224,0.061224,0.125,1
0.067568,0.122449,0.122449,0.25,1
0.054054,0.142857,0.142857,0.333333,1
0.027027,0.244898,0.244898,0.770833,1
0.054054,0.163265,0.163265,0.395833,2
0.027027,0.081633,0.081633,0.25,2
0.027027,0.081633,0.081633,0.25,2
0.081081,0.326531,0.326531,0.708333,2
0,0.142857,0.142857,0.59375,2
0.040541,0.081633,0.081633,0.25,2
0.027027,0.040816,0.040816,0.125,2
0.027027,0.183673,0.183673,0.645833,2
0.054054,0.081633,0.081633,0.21875,1
0.054054,0.163265,0.163265,0.458333,2
0.054054,0.081633,0.081633,0.21875,2
0.054054,0.142857,0.142857,0.395833,1
0.027027,0.22449,0.22449,0.833333,2
0.148649,0.469388,0.469388,0.645833,2
0.027027,0.122449,0.122449,0.458333,1
0.054054,0.204082,0.204082,0.614583,2
0.013514,0.122449,0.122449,0.572917,2
0.027027,0.204082,0.204082,0.802083,1
0.027027,0.040816,0.040816,0.145833,1
0.054054,0.081633,0.081633,0.25,1
0.027027,0.102041,0.102041,0.40625,1
0.027027,0.081633,0.081633,0.322917,1
0.027027,0.061224,0.061224,0.25,2
0.027027,0.081633,0.081633,0.333333,2
0.054054,0.142857,0.142857,0.458333,1
0.027027,0.061224,0.061224,0.25,2
0.054054,0.142857,0.142857,0.479167,1
0.027027,0.020408,0.020408,0.083333,1
0.054054,0.081633,0.081633,0.270833,2
0.027027,0.22449,0.22449,0.96875,2
0.027027,0.020408,0.020408,0.083333,2
0.054054,0.102041,0.102041,0.34375,2
0.027027,0.204082,0.204082,0.895833,2
0.027027,0.040816,0.040816,0.177083,2
0.027027,0.081633,0.081633,0.364583,2
0.027027,0.22449,0.22449,1,2
0.121622,0.081633,0.081633,0.177083,2
0.027027,0.020408,0.020408,0.09375,2
0.027027,0.163265,0.163265,0.75,2
0.067568,0.265306,0.265306,0.875,2
0.054054,0.040816,0.040816,0.145833,2
0.054054,0.040816,0.040816,0.145833,2
0.054054,0.020408,0.020408,0.072917,1
0.054054,0.040816,0.040816,0.145833,1
0.081081,0.040816,0.040816,0.125,2
0.027027,0.020408,0.020408,0.09375,2
0.027027,0.020408,0.020408,0.09375,1
0.027027,0.020408,0.020408,0.09375,2
0.027027,0.122449,0.122449,0.583333,1
0.054054,0.102041,0.102041,0.385417,2
0.054054,0.204082,0.204082,0.791667,2
0.027027,0,0,0,1
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,1
0.027027,0,0,0,1
0.027027,0,0,0,1
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.148649,0.183673,0.183673,0.34375,2
0.148649,0.061224,0.061224,0.145833,1
0.054054,0.081633,0.081633,0.322917,1
0.054054,0.102041,0.102041,0.40625,1
0.027027,0.040816,0.040816,0.208333,2
0.054054,0.061224,0.061224,0.25,1
0.135135,0.061224,0.061224,0.145833,2
0.027027,0.061224,0.061224,0.34375,2
0.054054,0.22449,0.22449,0.895833,2
0.175676,0.142857,0.142857,0.25,2
0.148649,0.163265,0.163265,0.322917,2
0.054054,0.081633,0.081633,0.333333,2
0.054054,0.061224,0.061224,0.25,2
0.108108,0.285714,0.285714,0.78125,2
0.054054,0.081633,0.081633,0.34375,1
0.054054,0.122449,0.122449,0.520833,2
0.054054,0.122449,0.122449,0.520833,2
0.027027,0.061224,0.061224,0.34375,2
0.148649,0.204082,0.204082,0.416667,2
0.027027,0.020408,0.020408,0.125,2
0.027027,0.081633,0.081633,0.46875,1
0.121622,0.142857,0.142857,0.375,1
0.054054,0.102041,0.102041,0.46875,2
0.148649,0.122449,0.122449,0.28125,2
0.121622,0.163265,0.163265,0.447917,2
0.054054,0.102041,0.102041,0.520833,2
0.054054,0.122449,0.122449,0.583333,2
0.081081,0.020408,0.020408,0.09375,1
0.054054,0.122449,0.122449,0.583333,2
0.148649,0.163265,0.163265,0.375,2
0.148649,0.102041,0.102041,0.25,2
0.027027,0.020408,0.020408,0.145833,2
0.027027,0.122449,0.122449,0.770833,2
0.148649,0.102041,0.102041,0.260417,2
0.148649,0.040816,0.040816,0.125,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.054054,0.040816,0.040816,0.229167,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.135135,0.142857,0.142857,0.385417,2
0.189189,0.122449,0.122449,0.25,2
0.108108,0.183673,0.183673,0.635417,2
0.148649,0.040816,0.040816,0.135417,2
0.054054,0.020408,0.020408,0.125,2
0.027027,0.061224,0.061224,0.427083,2
0.108108,0.163265,0.163265,0.583333,2
0.108108,0.142857,0.142857,0.520833,1
0.148649,0.428571,0.428571,1,2
0.054054,0.040816,0.040816,0.239583,1
0.148649,0.326531,0.326531,0.802083,1
0.121622,0.020408,0.020408,0.09375,2
0.054054,0.081633,0.081633,0.458333,2
0.148649,0.22449,0.22449,0.583333,2
0.094595,0.22449,0.22449,0.875,2
0.148649,0.020408,0.020408,0.09375,2
0.148649,0.020408,0.020408,0.09375,2
0.148649,0.020408,0.020408,0.09375,2
0.027027,0.102041,0.102041,0.760417,2
0.148649,0.142857,0.142857,0.40625,1
0.148649,0.040816,0.040816,0.145833,1
0.162162,0.244898,0.244898,0.59375,2
0.027027,0.040816,0.040816,0.34375,2
0.216216,0.142857,0.142857,0.270833,2
0.148649,0.122449,0.122449,0.364583,2
0.054054,0.040816,0.040816,0.270833,2
0.162162,0.22449,0.22449,0.583333,2
0.054054,0.061224,0.061224,0.40625,2
0.148649,0.265306,0.265306,0.739583,1
0.027027,0.020408,0.020408,0.21875,2
0.027027,0.040816,0.040816,0.375,1
0.054054,0.081633,0.081633,0.583333,2
0.054054,0.061224,0.061224,0.427083,1
0.040541,0.020408,0.020408,0.21875,2
0.148649,0.142857,0.142857,0.458333,2
0.054054,0.122449,0.122449,0.833333,2
0.175676,0.061224,0.061224,0.197917,2
0.216216,0.204082,0.204082,0.395833,2
0.216216,0.122449,0.122449,0.270833,2
0.094595,0.020408,0.020408,0.145833,2
0.054054,0.081633,0.081633,0.583333,2
0.054054,0.081633,0.081633,0.583333,2
0.054054,0.061224,0.061224,0.458333,2
0.189189,0.244898,0.244898,0.572917,2
0.054054,0.040816,0.040816,0.333333,2
0.189189,0.346939,0.346939,0.791667,2
0.148649,0.142857,0.142857,0.479167,2
0.189189,0.306122,0.306122,0.708333,2
0.189189,0.061224,0.061224,0.208333,1
0.189189,0.081633,0.081633,0.25,2
0.108108,0.020408,0.020408,0.145833,2
0.148649,0.081633,0.081633,0.322917,2
0.148649,0.020408,0.020408,0.125,2
0.054054,0.020408,0.020408,0.21875,2
0.121622,0.020408,0.020408,0.145833,1
0.189189,0.081633,0.081633,0.270833,1
0.189189,0.040816,0.040816,0.177083,1
0.189189,0.061224,0.061224,0.21875,1
0.216216,0.22449,0.22449,0.5,2
0.148649,0.061224,0.061224,0.270833,2
0.148649,0.081633,0.081633,0.34375,2
0.148649,0.081633,0.081633,0.34375,2
0.027027,0.061224,0.061224,0.708333,2
0.189189,0.081633,0.081633,0.270833,2
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.027027,0.040816,0.040816,0.520833,2
0.189189,0.102041,0.102041,0.333333,2
0.148649,0.081633,0.081633,0.364583,1
0.054054,0.081633,0.081633,0.75,2
0.148649,0.040816,0.040816,0.21875,2
0.216216,0.061224,0.061224,0.21875,2
0.216216,0.040816,0.040816,0.177083,2
0.148649,0.081633,0.081633,0.375,2
0.148649,0.020408,0.020408,0.145833,2
0.162162,0.163265,0.163265,0.604167,2
0.121622,0,0,0.072917,2
0.121622,0,0,0.072917,2
0.054054,0.020408,0.020408,0.28125,2
0.148649,0.020408,0.020408,0.15625,2
0.189189,0.061224,0.061224,0.25,2
0.148649,0.163265,0.163265,0.729167,1
0.148649,0.081633,0.081633,0.40625,2
0.202703,0.306122,0.306122,0.833333,2
0.121622,0.081633,0.081633,0.510417,1
0.148649,0.061224,0.061224,0.333333,2
0.189189,0.142857,0.142857,0.5,1
0.216216,0.122449,0.122449,0.375,2
0.189189,0.020408,0.020408,0.145833,2
0.027027,0.020408,0.020408,0.40625,2
0.189189,0.306122,0.306122,1,2
0.189189,0.061224,0.061224,0.270833,1
0.216216,0.122449,0.122449,0.385417,2
0.189189,0.122449,0.122449,0.46875,2
0.216216,0.102041,0.102041,0.34375,2
0.216216,0.102041,0.102041,0.34375,1
0.148649,0.122449,0.122449,0.625,1
0.216216,0.020408,0.020408,0.145833,2
0.216216,0.040816,0.040816,0.197917,1
0.148649,0.040816,0.040816,0.270833,2
0.148649,0.122449,0.122449,0.645833,2
0.148649,0,0,0.09375,1
0.121622,0.040816,0.040816,0.333333,2
0.189189,0.061224,0.061224,0.291667,2
0.310811,0.755102,0.755102,1,2
0.148649,0.102041,0.102041,0.583333,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0.020408,0.020408,0.197917,2
0.148649,0.081633,0.081633,0.5,2
0.148649,0.020408,0.020408,0.197917,2
0.216216,0.061224,0.061224,0.270833,2
0.054054,0.020408,0.020408,0.40625,2
0.216216,0.102041,0.102041,0.395833,2
0.189189,0.040816,0.040816,0.25,2
0.121622,0.020408,0.020408,0.25,2
0.283784,0.306122,0.306122,0.645833,2
0.189189,0.102041,0.102041,0.510417,2
0.148649,0.020408,0.020408,0.229167,2
0.054054,0.040816,0.040816,0.71875,2
0.283784,0.244898,0.244898,0.572917,2
0.148649,0.102041,0.102041,0.71875,2
0.189189,0.020408,0.020408,0.197917,1
0.310811,0.285714,0.285714,0.572917,2
0.189189,0.061224,0.061224,0.375,2
0.148649,0.020408,0.020408,0.25,2
0.216216,0.081633,0.081633,0.395833,1
0.054054,0.020408,0.020408,0.510417,1
0.189189,0.040816,0.040816,0.302083,2
0.054054,0.020408,0.020408,0.520833,2
0.121622,0.061224,0.061224,0.65625,2
0.189189,0.061224,0.061224,0.395833,2
0.148649,0.040816,0.040816,0.395833,1
0.189189,0.081633,0.081633,0.5,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.189189,0.122449,0.122449,0.729167,2
0.189189,0,0,0.125,2
0.189189,0,0,0.125,2
0.121622,0.040816,0.040816,0.520833,2
0.189189,0.122449,0.122449,0.739583,2
0.148649,0.061224,0.061224,0.583333,2
0.148649,0.061224,0.061224,0.59375,2
0.054054,0.020408,0.020408,0.59375,2
0.148649,0.061224,0.061224,0.614583,2
0.216216,0.061224,0.061224,0.395833,2
0.216216,0.183673,0.183673,0.90625,2
0.283784,0.020408,0.020408,0.197917,1
0.283784,0.040816,0.040816,0.25,2
0.216216,0.142857,0.142857,0.770833,2
0.283784,0.040816,0.040816,0.25,1
0.243243,0.020408,0.020408,0.21875,2
0.310811,0.081633,0.081633,0.322917,2
0.310811,0.142857,0.142857,0.458333,2
0.216216,0.040816,0.040816,0.333333,2
0.189189,0.081633,0.081633,0.645833,2
0.189189,0.040816,0.040816,0.40625,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0.061224,0.061224,0.447917,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0,0,0.145833,2
0.216216,0.020408,0.020408,0.25,2
0.283784,0.020408,0.020408,0.21875,2
0.216216,0.020408,0.020408,0.260417,2
0.283784,0.020408,0.020408,0.21875,2
0.283784,0.020408,0.020408,0.21875,2
0.189189,0.061224,0.061224,0.572917,2
0.216216,0.081633,0.081633,0.604167,2
0.310811,0.020408,0.020408,0.21875,2
0.189189,0.081633,0.081633,0.75,2
0.310811,0.040816,0.040816,0.270833,2
0.216216,0.040816,0.040816,0.395833,2
0.121622,0.020408,0.020408,0.520833,2
0.121622,0.020408,0.020408,0.520833,2
0.216216,0.122449,0.122449,0.885417,1
0.189189,0.061224,0.061224,0.645833,2
0.189189,0.020408,0.020408,0.34375,2
0.216216,0.122449,0.122449,0.947917,2
0.283784,0.020408,0.020408,0.239583,2
0.189189,0.040816,0.040816,0.520833,2
0.310811,0.265306,0.265306,0.947917,2
0.243243,0.142857,0.142857,0.96875,2
0.216216,0.040816,0.040816,0.458333,2
0.148649,0.040816,0.040816,0.770833,2
0.148649,0.020408,0.020408,0.520833,2
0.148649,0.040816,0.040816,0.770833,2
0.310811,0.22449,0.22449,0.875,2
0.283784,0.040816,0.040816,0.34375,2
0.310811,0.020408,0.020408,0.25,2
0.310811,0.020408,0.020408,0.25,2
0.310811,0.142857,0.142857,0.645833,2
0.216216,0.040816,0.040816,0.5,2
0.310811,0.040816,0.040816,0.322917,2
0.283784,0.040816,0.040816,0.375,2
0.310811,0.020408,0.020408,0.270833,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,1
0.283784,0,0,0.197917,2
0.283784,0,0,0.197917,2
0.283784,0.081633,0.081633,0.604167,2
0.310811,0.061224,0.061224,0.447917,2
0.283784,0.061224,0.061224,0.520833,2
0.297297,0,0,0.208333,1
0.148649,0.020408,0.020408,0.708333,2
0.310811,0.081633,0.081633,0.583333,2
0.310811,0.040816,0.040816,0.395833,2
0.310811,0.040816,0.040816,0.40625,2
0.189189,0.040816,0.040816,0.84375,2
0.283784,0.020408,0.020408,0.34375,2
0.351351,0.081633,0.081633,0.489583,1
0.310811,0.102041,0.102041,0.708333,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0,0,0.21875,2
0.310811,0.061224,0.061224,0.53125,2
0.283784,0.102041,0.102041,0.875,2
0.310811,0.040816,0.040816,0.479167,2
0.283784,0.020408,0.020408,0.40625,2
0.283784,0.040816,0.040816,0.645833,2
0.216216,0.020408,0.020408,0.708333,2
0.283784,0.040816,0.040816,0.708333,2
0.310811,0.061224,0.061224,0.885417,2
0.310811,0.040816,0.040816,0.90625,2
0.310811,0.020408,0.020408,0.885417,2
0.472973,0.040816,0.040816,0.645833,2
0.513514,0,0,0.375,2
0.513514,0,0,0.375,2
0.540541,0,0,0.395833,2
1,0,0,0.75,2
0.027027,0.857143,0.857143,0.875,1
0.081081,0.428571,0.428571,0.270833,1
0.027027,0.673469,0.673469,0.78125,1
0.027027,0.877551,0.877551,1,2
0,0.510204,0.510204,0.770833,1
0.027027,0.816327,0.816327,1,1
0.040541,0.408163,0.408163,0.416667,1
0.027027,0.204082,0.204082,0.21875,2
0.027027,0.408163,0.408163,0.520833,1
0.027027,0.244898,0.244898,0.3125,1
0.054054,0.061224,0.061224,0.020833,1
0.027027,0.204082,0.204082,0.25,2
0.027027,0.204082,0.204082,0.270833,2
0.040541,0.265306,0.265306,0.34375,2
0.054054,0.306122,0.306122,0.375,1
0.054054,0.102041,0.102041,0.125,2
0.040541,0.081633,0.081633,0.104167,1
0.054054,0.653061,0.653061,1,1
0.040541,0.183673,0.183673,0.322917,1
0.054054,0.183673,0.183673,0.270833,1
0.027027,0.204082,0.204082,0.395833,1
0.027027,0.204082,0.204082,0.40625,1
0.054054,0.244898,0.244898,0.385417,1
0.013514,0.183673,0.183673,0.427083,1
0.054054,0.163265,0.163265,0.270833,2
0.027027,0.061224,0.061224,0.09375,2
0.027027,0.081633,0.081633,0.145833,1
0.027027,0.285714,0.285714,0.645833,2
0.067568,0.469388,0.469388,0.802083,2
0.027027,0.102041,0.102041,0.208333,1
0.054054,0.081633,0.081633,0.145833,1
0.027027,0.061224,0.061224,0.125,1
0.054054,0.142857,0.142857,0.270833,2
0.027027,0.061224,0.061224,0.125,2
0.027027,0.102041,0.102041,0.25,2
0.054054,0.081633,0.081633,0.145833,1
0.027027,0.122449,0.122449,0.3125,1
0.027027,0.102041,0.102041,0.25,1
0.027027,0.142857,0.142857,0.375,1
0.027027,0.020408,0.020408,0.020833,1
0.027027,0.102041,0.102041,0.270833,1
0.027027,0.183673,0.183673,0.520833,2
0.054054,0.306122,0.306122,0.708333,1
0.054054,0.020408,0.020408,0.020833,1
0.013514,0.265306,0.265306,0.96875,2
0.054054,0.020408,0.020408,0.020833,1
0.094595,0.265306,0.265306,0.479167,2
0.027027,0.040816,0.040816,0.09375,2
0.027027,0.22449,0.22449,0.708333,1
0.054054,0.122449,0.122449,0.3125,1
0.054054,0.061224,0.061224,0.145833,2
0.027027,0.102041,0.102041,0.34375,1
0.054054,0.102041,0.102041,0.270833,1
0.027027,0.040816,0.040816,0.125,2
0.027027,0.061224,0.061224,0.21875,2
0.054054,0.061224,0.061224,0.166667,2
0.067568,0.102041,0.102041,0.270833,2
0.054054,0.102041,0.102041,0.291667,2
0.189189,0.081633,0.081633,0.125,2
0.040541,0.142857,0.142857,0.5,2
0.054054,0.204082,0.204082,0.645833,1
0.054054,0.163265,0.163265,0.520833,2
0.054054,0.306122,0.306122,1,1
0.094595,0.183673,0.183673,0.46875,2
0.054054,0.265306,0.265306,0.875,2
0.027027,0.163265,0.163265,0.760417,2
0.054054,0.102041,0.102041,0.34375,2
0.054054,0.163265,0.163265,0.552083,2
0.054054,0.102041,0.102041,0.34375,1
0.027027,0.102041,0.102041,0.447917,2
0.027027,0.102041,0.102041,0.46875,2
0.054054,0.020408,0.020408,0.072917,2
0.027027,0.020408,0.020408,0.09375,1
0.027027,0.020408,0.020408,0.09375,2
0.027027,0.020408,0.020408,0.09375,1
0.054054,0.102041,0.102041,0.375,1
0.040541,0.061224,0.061224,0.28125,1
0.121622,0.163265,0.163265,0.375,2
0.148649,0.081633,0.081633,0.166667,2
0.027027,0.040816,0.040816,0.197917,2
0.027027,0,0,0,2
0.027027,0,0,0,1
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,1
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.027027,0,0,0,2
0.148649,0.204082,0.204082,0.375,2
0.027027,0.040816,0.040816,0.208333,2
0.121622,0.204082,0.204082,0.489583,1
0.067568,0.204082,0.204082,0.760417,2
0.040541,0.081633,0.081633,0.375,2
0.040541,0,0,0.010417,1
0.054054,0.102041,0.102041,0.427083,2
0.027027,0.040816,0.040816,0.229167,2
0.162162,0.204082,0.204082,0.385417,2
0.027027,0.020408,0.020408,0.125,2
0.054054,0.102041,0.102041,0.458333,2
0.121622,0.040816,0.040816,0.125,2
0.189189,0.142857,0.142857,0.25,2
0.054054,0.020408,0.020408,0.114583,2
0.054054,0.204082,0.204082,0.96875,2
0.027027,0.122449,0.122449,0.78125,2
0.027027,0.122449,0.122449,0.78125,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,2
0.054054,0,0,0.020833,1
0.054054,0,0,0.020833,2
0.054054,0.122449,0.122449,0.625,2
0.054054,0,0,0.020833,2
0.054054,0.061224,0.061224,0.333333,1
0.148649,0.102041,0.102041,0.270833,2
0.175676,0.040816,0.040816,0.125,1
0.094595,0.081633,0.081633,0.34375,2
0.121622,0.163265,0.163265,0.541667,2
0.148649,0.020408,0.020408,0.09375,2
0.027027,0.081633,0.081633,0.635417,2
0.094595,0.204082,0.204082,0.90625,2
0.108108,0.163265,0.163265,0.645833,2
0.027027,0.020408,0.020408,0.208333,2
0.081081,0.040816,0.040816,0.25,2
0.162162,0.285714,0.285714,0.71875,2
0.175676,0.040816,0.040816,0.145833,2
0.148649,0.306122,0.306122,0.90625,2
0.054054,0.081633,0.081633,0.583333,2
0.189189,0.122449,0.122449,0.34375,2
0.148649,0.061224,0.061224,0.260417,2
0.094595,0.163265,0.163265,0.90625,1
0.148649,0.142857,0.142857,0.520833,1
0.094595,0.081633,0.081633,0.520833,2
0.148649,0.102041,0.102041,0.40625,2
0.135135,0.081633,0.081633,0.375,2
0.189189,0.020408,0.020408,0.125,1
0.189189,0.020408,0.020408,0.125,2
0.189189,0.020408,0.020408,0.125,2
0.027027,0.020408,0.020408,0.322917,2
0.148649,0.040816,0.040816,0.21875,2
0.189189,0.142857,0.142857,0.458333,2
0.121622,0,0,0.072917,2
0.216216,0.081633,0.081633,0.260417,2
0.189189,0.061224,0.061224,0.25,2
0.054054,0.020408,0.020408,0.291667,2
0.189189,0.040816,0.040816,0.197917,2
0.216216,0.306122,0.306122,0.78125,2
0.054054,0.020408,0.020408,0.302083,2
0.189189,0.142857,0.142857,0.5,2
0.148649,0.040816,0.040816,0.25,2
0.189189,0.122449,0.122449,0.447917,2
0.202703,0.081633,0.081633,0.322917,2
0.216216,0.020408,0.020408,0.145833,2
0.216216,0.040816,0.040816,0.197917,2
0.148649,0.142857,0.142857,0.729167,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,2
0.148649,0,0,0.09375,1
0.148649,0,0,0.09375,2
0.027027,0.040816,0.040816,0.760417,1
0.027027,0.040816,0.040816,0.78125,2
0.216216,0.061224,0.061224,0.270833,2
0.216216,0.285714,0.285714,0.885417,2
0.216216,0.265306,0.265306,0.84375,2
0.216216,0.183673,0.183673,0.625,2
