@relation sonar-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attribute_1 numeric
@attribute attribute_2 numeric
@attribute attribute_3 numeric
@attribute attribute_4 numeric
@attribute attribute_5 numeric
@attribute attribute_6 numeric
@attribute attribute_7 numeric
@attribute attribute_8 numeric
@attribute attribute_9 numeric
@attribute attribute_10 numeric
@attribute attribute_11 numeric
@attribute attribute_12 numeric
@attribute attribute_13 numeric
@attribute attribute_14 numeric
@attribute attribute_15 numeric
@attribute attribute_16 numeric
@attribute attribute_17 numeric
@attribute attribute_18 numeric
@attribute attribute_19 numeric
@attribute attribute_20 numeric
@attribute attribute_21 numeric
@attribute attribute_22 numeric
@attribute attribute_23 numeric
@attribute attribute_24 numeric
@attribute attribute_25 numeric
@attribute attribute_26 numeric
@attribute attribute_27 numeric
@attribute attribute_28 numeric
@attribute attribute_29 numeric
@attribute attribute_30 numeric
@attribute attribute_31 numeric
@attribute attribute_32 numeric
@attribute attribute_33 numeric
@attribute attribute_34 numeric
@attribute attribute_35 numeric
@attribute attribute_36 numeric
@attribute attribute_37 numeric
@attribute attribute_38 numeric
@attribute attribute_39 numeric
@attribute attribute_40 numeric
@attribute attribute_41 numeric
@attribute attribute_42 numeric
@attribute attribute_43 numeric
@attribute attribute_44 numeric
@attribute attribute_45 numeric
@attribute attribute_46 numeric
@attribute attribute_47 numeric
@attribute attribute_48 numeric
@attribute attribute_49 numeric
@attribute attribute_50 numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_53 numeric
@attribute attribute_54 numeric
@attribute attribute_55 numeric
@attribute attribute_56 numeric
@attribute attribute_57 numeric
@attribute attribute_58 numeric
@attribute attribute_59 numeric
@attribute attribute_60 numeric
@attribute Class {1,2}

@data
0.017699,0.024432,0.045007,0.066096,0.061628,0.048912,0.098214,0.04785,0.036724,0.048477,0.028782,0.111372,0.178494,0.094978,0.059886,0.075819,0.085794,0.109506,0.076688,0.047945,0.140704,0.357428,0.404684,0.560189,0.657172,0.721996,0.753546,0.851276,0.971591,0.917013,0.765123,0.764435,0.764465,0.61929,0.490744,0.445464,0.393177,0.405324,0.427577,0.395643,0.186682,0.055556,0.102548,0.163489,0.217941,0.094624,0.0728,0.159928,0.115093,0.088485,0.061753,0.077033,0.298701,0.122807,0.113379,0.228205,0.110795,0,0.143251,0.069284,1
0.079646,0.129876,0.050591,0.060628,0.073802,0,0.040314,0.115546,0.155042,0.103246,0.036722,0.089537,0.26515,0.235537,0.184472,0.190311,0.115428,0.257039,0.560699,0.756849,0.773609,0.848175,0.503232,0.349759,0.587398,0.810001,1,0.863421,0.624696,0.423778,0.376894,0.24399,0.245721,0.257446,0.25918,0.263911,0.398316,0.435999,0.376239,0.261983,0.164679,0.158486,0.066727,0.043417,0.127097,0.118075,0.157914,0.133273,0.067643,0.26303,0.187251,0.178317,0.675325,0.625731,0.154195,0.292308,0.065341,0.203661,0.022039,0.08776,1
0.047198,0.034291,0.013141,0.045649,0.070251,0.119323,0.133929,0.199118,0.138309,0.161161,0.114561,0.143464,0.24327,0.320718,0.320594,0.260635,0.372397,0.629299,0.712918,0.857984,0.965641,0.984357,0.944898,0.798791,0.675512,0.464258,0.274083,0.056402,0.393162,0.184404,0.155095,0.09335,0.130211,0.226709,0.231768,0.359778,0.331402,0.125403,0.065149,0.105882,0.079097,0.095604,0.179878,0.105514,0.096389,0.090922,0.217675,0.207248,0.076729,0.322424,0.173307,0.239658,0.316883,0.22807,0.208617,0.038462,0.159091,0.125858,0.15978,0.060046,1
0.05531,0.024003,0.078187,0.102473,0.286584,0.399624,0.367695,0.205513,0.130312,0.254826,0.227846,0.338658,0.55981,0.279984,0.287892,0.525544,0.380582,0.12426,0.266148,0.347924,0.319351,0.431346,0.620006,0.44688,0.591086,0.855711,0.826137,0.760086,0.500913,0.426867,0.533842,0.558414,0.353565,0.359194,0.734274,0.774294,0.383446,0.029531,0.349252,0.653268,0.364794,0.275458,0.283848,0.393069,0.275377,0.215304,0.086744,0.161126,0.0737,0.082424,0.186255,0.072753,0.233766,0.538012,0.1678,0.379487,0.440341,0.114416,0.517906,0.221709,1
0.080383,0.183026,0.193495,0.092962,0.134415,0.067992,0.13474,0.063506,0.144676,0.287001,0.19155,0.243992,0.409097,0.180056,0.056274,0.226745,0.342762,0.356779,0.571744,0.603917,0.557441,0.445251,0.411783,0.353652,0.635861,0.883247,0.892636,0.483326,0.323559,0.185043,0.11673,0.366435,0.405649,0.304187,0.286489,0.406149,0.563088,0.389519,0.540586,0.533878,0.321019,0.335287,0.304022,0.296058,0.164202,0.099287,0.112459,0.095238,0.227158,0.202424,0.077689,0.10699,0.135065,0.479532,0.412698,0.128205,0.315341,0.441648,0.402204,0.12933,1
0.208702,0.261037,0.208607,0.205183,0.392594,0.589089,0.579816,0.436163,0.204946,0.105677,0.310081,0.49956,0.373255,0.263277,0.321597,0.42469,0.548026,0.434286,0.405428,0.618258,0.360455,0.180963,0.31546,0.914455,0.935553,0.407424,0.240571,0.6514,0.799919,0.382124,0.513351,0.736688,0.558122,0.919661,0.781426,0.710988,0.794227,0.417802,0.278094,0.331808,0.283613,0.347009,0.06802,0.240531,0.220785,0.223944,0.226729,0.224019,0.228168,0.077576,0.153386,0.03281,0.384416,0.178363,0.46712,0.184615,0.423295,0.105263,0.548209,0.154734,1
0.248525,0.04715,0.057819,0.097718,0.169921,0.291051,0.446429,0.327674,0.205983,0.400257,0.289097,0.29323,0.329063,0.132721,0.347076,0.320171,0.202052,0.189922,0.210288,0.371575,0.278879,0.610572,0.560665,0.323328,0.237807,0.515255,0.805127,0.685159,0.694095,0.857249,0.593787,0.36621,0.658721,0.899311,0.778766,0.753226,0.594577,0.450244,0.092874,0.650327,0.806254,0.722955,0.443683,0.232285,0.338072,0.469556,0.417059,0.206349,0.109036,0.568485,0.424303,0.482168,0.397403,0.421053,0.23356,0.112821,0.261364,0.02746,0.198347,0.140878,1
0.130531,0.257608,0.119251,0.170233,0.335024,0.190003,0.144751,0.036163,0.142455,0.153439,0.134411,0.200029,0.480207,0.433742,0.374962,0.569815,0.629676,0.666494,0.700926,0.514769,0.515072,0.628054,0.772067,0.770106,0.567623,0.434079,0.388696,0.223652,0.058036,0,0.145395,0.459335,0.577444,0.378696,0.232382,0.57369,0.929477,0.834564,0.337234,0.32854,0.664273,0.771917,0.350317,0.182814,0.17913,0.176632,0.143064,0.248278,0.262494,0.261818,0.358566,0.46077,0.327273,0.321637,0.231293,0.051282,0.119318,0.077803,0.305785,0.159353,1
0.188053,0.036862,0.042707,0.052306,0.087497,0.176028,0.268669,0.238809,0.106471,0.201201,0.196512,0.166178,0.169426,0.11055,0.211957,0.528394,0.671537,0.542857,0.273406,0.275043,0.412943,0.547388,0.553036,0.60793,0.808607,0.980064,0.981406,0.914162,0.738535,0.758815,0.870954,0.780499,0.650425,0.622258,0.615322,0.593952,0.586486,0.505251,0.269133,0.154575,0.190272,0.241148,0.2854,0.229065,0.192351,0.188289,0.135639,0.14136,0.164059,0.21697,0.044821,0.108417,0.012987,0.023392,0.14059,0.089744,0.332386,0.295195,0.190083,0.189376,1
0.081858,0.061294,0.20565,0.398003,0.633528,0.660306,0.78842,0.894157,0.726788,0.830402,0.785907,0.759525,0.761192,0.519852,0.496539,0.694382,0.823024,0.775481,0.812224,0.931828,1,0.920663,0.771008,0.535908,0.442828,0.550832,0.521799,0.379477,0.074878,0.188772,0.165995,0.020557,0.217053,0.190461,0.010842,0.147883,0.09414,0.214516,0.295172,0.335294,0.311639,0.095238,0.163714,0.177918,0.161501,0.070762,0.01322,0.083258,0.187784,0.146667,0.15239,0.119829,0.077922,0.25731,0.260771,0.005128,0.505682,0.208238,0.316804,0.13164,1
0.337758,0.215602,0.264126,0.28388,0.435202,0.797635,0.804924,0.50871,0.556049,0.521379,0.387353,0.391706,0.304736,0.117356,0.155582,0.230816,0.427417,0.580675,0.657479,0.782641,0.822829,0.776403,0.854403,0.730458,0.397746,0.184492,0.305809,0.360642,0.440747,0.603814,0.759346,0.777803,0.7589,0.811659,0.595786,0.582661,0.659742,0.717064,0.62355,0.56634,0.429531,0.211844,0.210138,0.32556,0.270543,0.225315,0.109381,0.062594,0.220091,0.212121,0.106574,0.263909,0.293506,0.157895,0.081633,0.128205,0.130682,0.180778,0.07438,0.048499,1
0.478614,0.243892,0.271682,0.074655,0.099163,0.17979,0.199675,0.237045,0.337332,0.246675,0.365802,0.570487,0.498489,0.176446,0.281773,0.394565,0.568646,0.666701,0.58826,0.4497,0.288153,0.183417,0.160962,0.148243,0.229918,0.199912,0.262948,0.449876,0.694602,0.730904,0.814605,0.851157,0.655046,0.713302,0.738161,0.815423,0.936038,1,0.883618,0.756427,0.746149,0.713309,0.597181,0.468822,0.212113,0.166758,0.236509,0.35879,0.291772,0.284848,0.134462,0.189729,0.480519,0.096491,0.068027,0.05641,0.059659,0.363844,0.297521,0.168591,1
0.061947,0.204886,0.093298,0.056824,0.148364,0.262026,0.630411,0.513782,0,0.252967,0.165462,0.242673,0.43069,0.110034,0.214465,0.233666,0.2321,0.250494,0.189775,0,0.097913,0.098149,0.117092,0.158181,0.229098,0.181628,0.058304,0.522026,0.708198,0.604879,0.465831,0.630308,0.706815,0.638262,0.562749,0.750302,0.91417,0.922221,0.984398,1,1,0.959096,0.724169,0.365627,0.626528,0.755211,0.784317,0.870021,1,0.944242,0.394422,0.235378,0.374026,0.307018,0.444444,0.346154,0.073864,0.359268,0.289256,0.295612,1
0.073746,0.061723,0.03975,0.00428,0.03652,0.25692,0.267857,0.084895,0.126758,0.088803,0.063944,0.056565,0.125378,0.093843,0.169526,0.246489,0.298726,0.35761,0.394382,0.3811,0.414945,0.394234,0.290664,0.386538,0.432992,0.47329,0.74283,0.948847,1,0.902418,0.850245,0.8051,0.712486,0.629571,0.558147,0.572278,0.543735,0.341999,0.136833,0.08159,0.033121,0.224054,0.346955,0.37194,0.332812,0.228744,0.18381,0.357892,0.355376,0.202424,0.106574,0.118402,0.028571,0.216374,0.131519,0.05641,0.073864,0.077803,0.190083,0.080831,1
0.205015,0.273468,0.123193,0.027342,0.103728,0.191884,0.25974,0.057332,0.097882,0.106821,0.017723,0.034584,0.09371,0.068578,0.143946,0.065846,0.086001,0.187429,0.297917,0.278467,0.168529,0.212964,0.296493,0.411843,0.447643,0.185593,0.041286,0.265336,0.55418,0.823586,0.829864,0.769041,0.795023,0.97753,1,0.895161,0.564728,0.27597,0.207358,0.246732,0.342559,0.459707,0.203673,0.287039,0.224908,0.196517,0.295907,0.339323,0.286219,0.161212,0.169323,0.038516,0.122078,0.21345,0.163265,0.182051,0.289773,0.359268,0.258953,0.011547,1
0.137168,0.008573,0.040407,0.000951,0.016739,0.013169,0.137446,0.034179,0.063675,0.140712,0.078265,0.103458,0.146826,0.015159,0,0,0.028494,0.182026,0.309489,0.337864,0.349178,0.464676,0.609304,0.746235,0.864242,0.866505,0.779494,0.830897,0.962561,0.959412,0.954114,0.954729,0.969337,1,0.784392,0.526915,0.258802,0.163253,0.105735,0.32549,0.397221,0.494383,0.433855,0.386241,0.390674,0.277564,0.188881,0.135669,0.170116,0.147879,0.071713,0.142653,0.168831,0.154971,0.054422,0.017949,0.011364,0.048055,0.15427,0.08776,1
0.100295,0.134591,0.191853,0.235854,0.277961,0.438592,0.445346,0.23462,0.120539,0.156156,0.079115,0.187866,0.305312,0.259874,0.338349,0.44423,0.683971,0.876052,0.911004,0.736943,0.655987,0.70821,0.823567,0.764471,0.691906,0.619231,0.478937,0.477769,0.491883,0.37797,0.125232,0,0.016801,0.291468,0.346323,0.18004,0.013667,0.115837,0.214421,0.202941,0.325999,0.283639,0.221906,0.20085,0.221211,0.057872,0.089279,0.142558,0.11055,0.071515,0.085657,0.075606,0.025974,0.216374,0.276644,0.128205,0.022727,0.036613,0.060606,0.12933,1
0.119469,0.126018,0.089685,0.079886,0.142785,0.113948,0.177219,0.127453,0.081297,0.0715,0.197221,0.474795,0.630056,0.506858,0.629652,0.716365,0.497772,0.357714,0.226173,0.287778,0.45879,0.65525,0.723323,0.919373,1,0.752175,0.537031,0.606011,0.861506,0.636945,0.467357,0.514379,0.29959,0.303551,0.271351,0.216331,0.048436,0.022876,0.071474,0.053268,0.135495,0.113187,0.212466,0.244911,0.157378,0.262891,0.265665,0.1174,0.179707,0.327273,0.167331,0.134094,0.303896,0.099415,0.156463,0.307692,0.272727,0.12357,0.085399,0.030023,1
0.062684,0.115302,0.05749,0.074417,0.088511,0.026606,0.076028,0.131422,0.269658,0.365365,0.437686,0.446366,0.323593,0.102609,0.125088,0.435477,0.66791,0.69361,0.78603,0.935895,0.984928,0.815254,0.553778,0.630571,0.697029,0.655799,0.378191,0.157163,0.194805,0.351976,0.360654,0.184004,0.183766,0.331638,0.384678,0.50373,0.566696,0.308724,0.247944,0.235403,0.19502,0.235653,0.107979,0.11698,0.19619,0.267142,0.219305,0.252471,0.297325,0.299394,0.11753,0.114123,0.257143,0.076023,0.185941,0.110256,0.323864,0.038902,0.247934,0.120092,1
0.128319,0.129447,0.05979,0.134094,0.003297,0.184628,0.380682,0.307828,0.253813,0.344487,0.328654,0.509086,0.535771,0.247396,0.269335,0.40922,0.687908,0.556675,0.182201,0.211366,0.733664,0.720172,0.299883,0.264829,0.595594,0.548078,0.471268,0.857555,0.831473,0.369767,0.194659,0.15064,0.00315,0.14584,0.288125,0.12994,0.137109,0.174483,0.038267,0.009259,0.148002,0.186447,0.236648,0.242979,0.143304,0.090922,0.03314,0.120994,0.054518,0.173333,0.090637,0.042796,0.236364,0.385965,0.417234,0.348718,0.272727,0.203661,0.140496,0.159353,1
0.165929,0.09087,0.101511,0.121493,0.0667,0.110454,0.233766,0.145094,0.073153,0.039468,0.233234,0.322098,0.391824,0.24059,0.379175,0.492062,0.276241,0.340779,0.662424,0.711794,0.478605,0.431653,0.680725,0.808729,0.772643,0.883577,0.887488,0.888123,0.858969,0.793651,0.551281,0.229387,0.313137,0.148702,0.229518,0.552823,0.473431,0.061974,0.127662,0.069063,0.342907,0.450427,0.344756,0.138882,0.201592,0.231349,0.133647,0.189877,0.072691,0.273939,0.060757,0.219686,0.366234,0.24269,0.240363,0.230769,0.144886,0.036613,0.179063,0.039261,1
0.050885,0.063009,0.09067,0.088921,0.224195,0.174684,0.103084,0.044983,0.091367,0.23452,0.238338,0.13643,0.215777,0.05579,0.215468,0.504681,0.713087,0.768935,0.602567,0.304473,0.339481,0.24568,0.340468,0.729638,0.864037,0.804274,0.765942,0.779951,0.558847,0.321935,0.332643,0.388789,0.303791,0.156969,0.245883,0.314012,0.113383,0.069148,0.138098,0.195316,0.094268,0.107082,0.110694,0.12252,0.140176,0.131103,0.077146,0.121893,0.053508,0.21697,0.055777,0.32525,0.283117,0.368421,0.251701,0.14359,0.15625,0.064073,0.195592,0.090069,1
0.132743,0.088727,0.014126,0.031384,0.063911,0.126041,0.262716,0.135171,0.091219,0.018447,0.062243,0.059056,0.405643,0.369289,0.475073,0.451862,0.292819,0.393247,0.624237,1,0.855712,0.51048,0.27477,0.585288,0.767623,0.564049,0.409077,0.535508,0.464286,0.598913,0.367193,0.133228,0.3585,0.538633,0.335584,0.443548,0.403455,0.483311,0.643475,0.585621,0.369195,0.240781,0.243373,0.108864,0.186949,0.218047,0.101775,0.184786,0.173145,0.448485,0.25996,0.212553,0.179221,0.763158,0.446712,0.217949,0.261364,0.210526,0.055096,0.108545,1
0.314897,0.201886,0.01117,0.124346,0.053513,0.154797,0.441288,0.316428,0.133126,0.165165,0.116263,0.313453,0.262415,0.192534,0.108135,0.190719,0.219563,0.655273,0.825899,0.812928,0.790999,0.895921,0.964395,0.847864,0.654303,0.255535,0.165248,0.55424,0.566356,0.454245,0.768392,0.808358,0.494382,0.414202,0.545873,0.553327,0.107697,0.358532,0.446974,0.458932,0.254314,0.172161,0.451183,0.342566,0.134205,0.187877,0.24339,0.124588,0.362948,0.772121,0.209163,0.279601,0.548052,0.365497,0.111111,0.176923,0.21875,0.23341,0.15978,0.228637,1
0.218289,0.207887,0.222405,0.183785,0.003043,0.026337,0.256494,0.211907,0.288761,0.093522,0.209556,0.33983,0.378293,0.252552,0.320594,0.335945,0.522847,0.782961,0.901536,0.86098,0.754637,0.27993,0.379888,0.594611,0.301025,0.28208,0.596386,0.799197,0.623478,0.467242,0.582888,0.702763,0.382968,0.111076,0.231564,0.463306,0.550077,0.28772,0.18638,0.188562,0.15275,0.277411,0.131256,0.091858,0.087432,0.106829,0.137812,0.25307,0.298839,0.082424,0.088645,0.112696,0.07013,0.350877,0.412698,0.248718,0.642045,0.409611,0.123967,0.073903,1
0.140855,0.054008,0.170171,0.121493,0.147096,0.357431,0.354708,0.437927,0.221531,0.20878,0.288955,0.226993,0.190442,0.169434,0.203631,0.218298,0.208372,0.096,0.349043,0.556721,0.420004,0.476127,1,0.864256,0.458811,0.486838,0.600483,0.705949,0.554079,0.331842,0.217875,0.170411,0.095453,0.329942,0.272067,0.317339,0.246665,0.172299,0.213472,0.130937,0.037406,0.033944,0.09259,0.125741,0.111885,0.071585,0.090547,0.069182,0.11156,0.174545,0.305777,0.53923,0.368831,0.023392,0.213152,0.235897,0.210227,0.405034,0.297521,0.147806,1
0.05826,0.068581,0.125821,0.071564,0.155719,0.162322,0.267045,0.184785,0.045313,0.173745,0.143769,0.005422,0.066216,0.045272,0.117665,0.056483,0.090664,0.205091,0.335578,0.349101,0.465114,0.876597,0.958249,0.875627,0.682889,0.662628,0.54554,0.643886,0.776989,0.741664,0.583542,0.66412,0.801323,0.935559,0.861614,0.666835,0.401924,0.206613,0.243938,0.386166,0.336653,0.261783,0.38743,0.284076,0.16534,0.087082,0.084209,0.126385,0.087834,0.208485,0.133466,0.189729,0.483117,0.394737,0.133787,0.320513,0.607955,0.19222,0.209366,0.267898,1
0.234513,0.092156,0.083771,0.100571,0.155212,0.236227,0.219156,0.246307,0.101288,0.115401,0.168155,0.041911,0.13459,0.071878,0.114655,0.154285,0.133976,0.086234,0,0.095034,0.313343,0.605971,0.909505,0.934843,0.864447,0.864743,0.847988,0.879889,1,0.818472,0.666921,0.572343,0.550142,0.704505,0.675258,0.510282,0.2623,0.101383,0.124394,0.27549,0.18923,0.223077,0.355102,0.212703,0.081746,0.09531,0.108294,0.136568,0.010601,0.082424,0.035857,0.019971,0.07013,0.146199,0.108844,0.151282,0.397727,0.295195,0.137741,0.080831,1
0.079646,0.006858,0.059461,0.035188,0.028658,0.104811,0,0.075634,0.106027,0.051766,0.122359,0.041618,0.145099,0.172218,0.181463,0.194891,0.166511,0.13039,0.076162,0.038634,0.088744,0.300378,0.432553,0.580576,0.669672,0.792819,0.852295,0.920543,0.836343,0.705763,0.633243,0.536621,0.435997,0.534499,0.503631,0.388004,0.101465,0.002912,0.051444,0.110458,0.109554,0.207692,0.342429,0.251868,0.093261,0.079539,0.057769,0.090147,0.137304,0.089697,0.148406,0.166904,0.335065,0.046784,0.072562,0.035897,0.3125,0.125858,0.126722,0.150115,1
0.056047,0.088727,0.062746,0.106277,0.149632,0.18624,0.253517,0.180154,0.098919,0.103532,0.182901,0.097011,0.017993,0.163246,0.294714,0.190311,0.094809,0.132987,0.122765,0.153574,0.189503,0.433596,0.643319,0.68579,0.760553,0.802401,0.689988,0.748868,0.742898,0.615106,0.47564,0.328466,0.512339,0.903975,0.854045,0.669153,0.338399,0.28772,0.245731,0.270261,0.275854,0.43199,0.566662,0.316929,0.107762,0.025645,0.144332,0.224019,0.18526,0.187879,0.298805,0.148359,0.277922,0.269006,0.045351,0.238462,0.269886,0.091533,0.192837,0.235566,1
