@relation vowel-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Sex numeric
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11}

@data
0,0.207963,0.650126,0.733027,0.427364,0.260485,0.400569,0.563265,0.468487,0.596851,0.758778,9
0,0.125293,0.600347,0.653905,0.564976,0.301668,0.736326,0.539456,0.410864,0.638946,0.635891,10
0,0.536066,0.439509,0.634252,0.278922,0.420162,0.638634,0.653061,0.335534,0.433607,0.535436,11
0,0.171897,0.239445,0.9122,0.664818,0.709702,0.598482,0.667007,0.308824,0.143053,0.377113,1
0,0.776581,0.198803,0.387187,0.332013,0.496716,0.741385,0.688435,0.630852,0.567077,0.460338,2
0,0.764871,0.256144,0.366003,0.311939,0.507074,0.557382,0.552721,0.540816,0.456537,0.46619,3
0,0.7726,0.445495,0.2634,0.36767,0.50758,0.349668,0.510204,0.436975,0.542779,0.392068,4
0,0.582436,0.672968,0.491833,0.351823,0.298888,0.437559,0.495578,0.508103,0.6013,0.341352,5
0,0.661827,0.396188,0.704186,0.361595,0.362557,0.314891,0.502041,0.331333,0.806639,0.574772,6
0,0.496253,0.675488,0.556406,0.367934,0.295856,0.325956,0.445578,0.498199,0.879877,0.516255,7
0,0.303044,0.751418,0.739153,0.231907,0.246842,0.269681,0.728571,0.681273,0.439767,0.691482,8
0,0.229274,0.678796,0.744002,0.503434,0.190248,0.437875,0.568027,0.457683,0.596167,0.704486,9
0,0.105855,0.625394,0.661307,0.55626,0.338555,0.616503,0.592517,0.368247,0.678303,0.645644,10
0,0.530679,0.472275,0.55513,0.309033,0.424457,0.694278,0.527551,0.357443,0.559206,0.362809,11
0,0.21007,0.183995,0.901225,0.687005,0.710965,0.505533,0.576531,0.330132,0.092745,0.400845,1
0,0.740281,0.210933,0.395355,0.362388,0.55811,0.757825,0.656463,0.638655,0.542094,0.418075,2
0,0.797892,0.268589,0.37953,0.259377,0.513643,0.532406,0.551361,0.578932,0.457906,0.476593,3
0,0.757143,0.443604,0.255232,0.346804,0.531076,0.365476,0.501361,0.417167,0.527036,0.422302,4
0,0.576815,0.707467,0.385656,0.315901,0.337292,0.508062,0.511905,0.454982,0.566735,0.277958,5
0,0.669789,0.441714,0.656713,0.352351,0.429763,0.303825,0.455782,0.397959,0.842231,0.53381,6
0,0.493208,0.66005,0.58193,0.380349,0.310763,0.270945,0.444898,0.464886,0.919233,0.525033,7
0,0.287119,0.770006,0.783818,0.261226,0.258211,0.209295,0.641156,0.653661,0.495551,0.757477,8
0,0.246136,0.72511,0.704952,0.476228,0.212228,0.483402,0.687075,0.42437,0.649897,0.595904,9
0,0.077518,0.683365,0.650077,0.486793,0.392117,0.547898,0.607823,0.413565,0.583847,0.690832,10
0,0.498595,0.45794,0.604645,0.333333,0.415109,0.636105,0.493537,0.366447,0.581451,0.362809,11
0,0.246604,0.146818,0.864472,0.660063,0.678878,0.566235,0.657143,0.289616,0.031828,0.384265,1
0,0.648712,0.230781,0.427004,0.439514,0.641233,0.781537,0.657143,0.616447,0.550308,0.362809,2
0,0.828806,0.252363,0.422154,0.219757,0.44568,0.529877,0.584014,0.592737,0.509582,0.510728,3
0,0.740047,0.438248,0.215926,0.356841,0.511622,0.373696,0.515646,0.420768,0.501711,0.449285,4
0,0.567447,0.703844,0.343287,0.289488,0.390854,0.377174,0.618367,0.412665,0.589322,0.26723,5
0,0.637471,0.479994,0.588821,0.332013,0.448206,0.306355,0.459524,0.45018,0.821697,0.453511,6
0,0.502576,0.69518,0.517101,0.313788,0.345629,0.250079,0.545918,0.470288,0.893908,0.438557,7
0,0.292272,0.821046,0.753701,0.223191,0.274128,0.244072,0.604762,0.654562,0.541068,0.805592,8
0,0.251756,0.764965,0.530883,0.362124,0.36382,0.590262,0.689796,0.435174,0.6564,0.555267,9
0,0.062529,0.72448,0.638591,0.393027,0.387569,0.595321,0.637415,0.476891,0.396988,0.666775,10
0,0.504215,0.465028,0.545176,0.304807,0.546993,0.483086,0.463946,0.455882,0.62115,0.353381,11
0,0.938876,0.160838,0,0.585843,0.444669,0.950047,0.631633,0.698379,0.078029,0.316645,1
0,0.96815,0.281191,0.122767,0.452721,0.389843,0.884603,0.553061,0.810024,0.323066,0.537386,2
0,0.806323,0.324512,0.260082,0.65663,0.449722,0.803035,0.464626,0.710984,0.315537,0.526658,3
0,0.813583,0.482514,0.36779,0.655045,0.341587,0.593424,0.514286,0.665666,0.397331,0.54844,4
0,0.65082,0.535602,0.579122,0.747755,0.242041,0.39393,0.389116,0.786014,0.52909,0.619311,5
0,0.722717,0.508192,0.528841,0.757264,0.28853,0.428707,0.405782,0.762905,0.425394,0.593303,6
0,0.609836,0.57971,0.612302,0.791072,0.164224,0.316156,0.343537,0.853541,0.563313,0.715865,7
0,0.3274,0.784342,0.594691,0.784469,0.157655,0.148593,0.32517,0.811825,0.651266,0.513979,8
0,0.506089,0.452741,0.459673,0.779715,0.247094,0.250711,0.62381,0.606242,0.756674,0.695059,9
0,0.290164,0.559704,0.476519,0.624142,0.262001,0.491622,0.766667,0.478091,1,0.601756,10
0,0.522717,0.483459,0.412711,0.749076,0.302425,0.68258,0.45068,0.77401,0.505818,0.384915,11
0,0.916393,0.154222,0.013783,0.624406,0.467155,0.976288,0.619728,0.662665,0.015058,0.363459,1
0,0.983372,0.281979,0.113834,0.456683,0.377211,0.886816,0.536735,0.812425,0.316906,0.561443,2
0,0.868852,0.334121,0.221542,0.615161,0.414098,0.775213,0.468027,0.726291,0.342231,0.529584,3
0,0.828337,0.470227,0.369321,0.672213,0.317837,0.591843,0.469388,0.671969,0.428474,0.552666,4
0,0.679859,0.519376,0.58295,0.766508,0.228398,0.384129,0.359184,0.809124,0.536619,0.676853,5
0,0.715691,0.520006,0.534456,0.729794,0.27337,0.468543,0.439116,0.771909,0.416496,0.603706,6
0,0.599297,0.540328,0.621235,0.819599,0.219555,0.283908,0.315306,0.807323,0.597536,0.741873,7
0,0.322482,0.791273,0.588055,0.773111,0.136938,0.175466,0.409184,0.745498,0.697467,0.512354,8
0,0.440515,0.441556,0.493874,0.906498,0.323901,0.269365,0.539456,0.541717,0.687543,0.671651,9
0,0.243794,0.5523,0.535477,0.692023,0.281961,0.444515,0.707483,0.453481,0.96475,0.560468,10
0,0.548946,0.419817,0.426238,0.79345,0.3143,0.625672,0.377551,0.735894,0.610198,0.397919,11
0,0.894145,0.152647,0.050281,0.662705,0.473219,1,0.646259,0.626651,0.031485,0.30039,1
0,1,0.285602,0.119193,0.455098,0.365841,0.864053,0.532313,0.839436,0.335729,0.58225,2
0,0.908431,0.334279,0.209801,0.628368,0.420414,0.745495,0.468707,0.718487,0.366872,0.529909,3
0,0.852693,0.461405,0.369321,0.678553,0.304194,0.568132,0.444218,0.67467,0.45859,0.567295,4
0,0.698829,0.51465,0.594946,0.78262,0.236736,0.36927,0.336395,0.796819,0.54757,0.666125,5
0,0.74192,0.507876,0.523737,0.72636,0.27236,0.440721,0.442177,0.759304,0.455168,0.645644,6
0,0.592974,0.473377,0.611792,0.901215,0.282466,0.27632,0.243197,0.757803,0.595825,0.780234,7
0,0.322014,0.783396,0.577335,0.77364,0.100556,0.206133,0.544558,0.679172,0.723135,0.503901,8
0,0.405855,0.468967,0.492598,0.950872,0.273876,0.371483,0.521429,0.564226,0.706023,0.548114,9
0,0.205621,0.584751,0.578867,0.734548,0.345124,0.36105,0.72483,0.381453,0.9295,0.607932,10
0,0.587119,0.403119,0.403012,0.786846,0.325164,0.594372,0.387075,0.673469,0.670089,0.320221,11
0,0.888525,0.150441,0.059469,0.655309,0.481556,0.981347,0.669048,0.665066,0.043463,0.319246,1
0,0.995316,0.281664,0.136804,0.468304,0.365589,0.863421,0.538776,0.84994,0.336413,0.576723,2
0,0.93466,0.331601,0.207504,0.620444,0.430015,0.726842,0.501361,0.728691,0.407598,0.56567,3
0,0.868852,0.454474,0.378765,0.677496,0.3143,0.549162,0.465306,0.646759,0.500342,0.59948,4
0,0.710773,0.508192,0.598009,0.810354,0.2524,0.35283,0.29898,0.792017,0.554757,0.710338,5
0,0.777518,0.480466,0.502552,0.758056,0.272107,0.443566,0.418367,0.733794,0.470226,0.651821,6
0,0.605855,0.46109,0.594946,0.906498,0.271602,0.291495,0.267007,0.790516,0.619097,0.776983,7
0,0.33911,0.71298,0.567892,0.77364,0.111925,0.193171,0.602721,0.684874,0.762834,0.561118,8
0,0.389227,0.500788,0.504849,0.89065,0.234209,0.53209,0.469388,0.640756,0.765914,0.355657,9
0,0.196253,0.588689,0.591118,0.768621,0.375947,0.356623,0.69898,0.353842,0.937714,0.654096,10
0,0.620375,0.415091,0.394844,0.724247,0.272865,0.646222,0.415306,0.704682,0.673169,0.295839,11
0,0.896253,0.150126,0.056406,0.619651,0.464376,0.988302,0.680272,0.716987,0.060575,0.31827,1
0,0.957377,0.266068,0.136039,0.520866,0.419909,0.891242,0.531973,0.872449,0.357632,0.54844,2
0,0.920609,0.326402,0.214395,0.627839,0.431784,0.773,0.512245,0.755402,0.424025,0.560468,3
0,0.874941,0.445967,0.377233,0.689646,0.323648,0.543471,0.47585,0.634754,0.495551,0.610533,4
0,0.703981,0.484877,0.583971,0.840465,0.262254,0.362947,0.311565,0.762305,0.598905,0.678153,5
0,0.793208,0.465658,0.464012,0.763867,0.275644,0.489093,0.438095,0.746098,0.458248,0.618986,6
0,0.617564,0.486452,0.592139,0.854464,0.245326,0.302245,0.315646,0.85114,0.589665,0.789987,7
0,0.355504,0.683837,0.565084,0.799789,0.056089,0.278533,0.52483,0.792317,0.670431,0.663199,8
0,0.390164,0.504096,0.504084,0.829635,0.257201,0.582359,0.529932,0.634154,0.80219,0.338427,9
0,0.193208,0.558444,0.594691,0.777866,0.382264,0.337022,0.716667,0.352941,0.919576,0.675228,10
0,0.627869,0.435728,0.395865,0.691759,0.245831,0.680367,0.431973,0.732893,0.629363,0.295839,11
0,0.935831,0.155325,0.016335,0.592446,0.441637,0.980715,0.693878,0.789316,0.086585,0.324447,1
0,0.892506,0.250473,0.151353,0.591389,0.476251,0.908631,0.52381,0.888355,0.37577,0.51788,2
0,0.870492,0.305135,0.231496,0.686741,0.473724,0.826114,0.498299,0.744898,0.412047,0.575423,3
0,0.866276,0.435728,0.366003,0.705494,0.332996,0.561808,0.481293,0.630252,0.48152,0.593303,4
0,0.687822,0.46109,0.57708,0.862652,0.292067,0.367689,0.317007,0.72449,0.593429,0.640767,5
0,0.797892,0.44581,0.429811,0.738774,0.287519,0.501739,0.512925,0.677071,0.47399,0.642718,6
0,0.647307,0.502205,0.581674,0.8056,0.244568,0.297186,0.339456,0.862245,0.571869,0.801691,7
0,0.359719,0.694077,0.573252,0.791337,0.09525,0.19412,0.536054,0.703782,0.738535,0.621912,8
0,0.418267,0.472275,0.471924,0.787639,0.274381,0.644957,0.480612,0.765606,0.739562,0.381339,9
0,0.19555,0.549779,0.566105,0.720814,0.370642,0.314575,0.767347,0.390456,0.9141,0.69961,10
0,0.630211,0.440139,0.389995,0.714474,0.258717,0.627569,0.431633,0.762905,0.583504,0.324447,11
0,0.857845,0.137681,0.211332,0.436609,0.511875,0.758141,0.710204,0.762605,0.596167,0.397919,1
0,0.842389,0.245904,0.32976,0.3056,0.472461,0.659817,0.618367,0.657563,0.616359,0.408648,2
0,0.777518,0.356333,0.364216,0.403592,0.686458,0.347455,0.64932,0.505102,0.42334,0.333225,3
0,0.744965,0.478576,0.536243,0.306392,0.58287,0.301296,0.555442,0.351741,0.574949,0.36671,4
0,0.623185,0.614839,0.656202,0.330164,0.314553,0.293709,0.458163,0.676471,0.562971,0.354681,5
0,0.643326,0.510712,0.641399,0.392763,0.400455,0.287702,0.540136,0.566927,0.640999,0.404096,6
0,0.4726,0.519849,0.846605,0.586899,0.232946,0.275688,0.19966,0.62395,0.909651,0.614434,7
0,0.385246,0.437618,0.874681,0.855256,0.228146,0.320582,0.028231,0.664166,0.814511,0.890442,8
0,0.447775,0.47322,0.682491,0.40412,0.221324,0.515966,0.398299,0.715486,0.720739,0.687906,9
0,0.377049,0.31758,0.574017,0.459852,0.395654,0.667404,0.518027,0.641357,0.742984,0.760403,10
0,0.64918,0.324984,0.655692,0.43608,0.362304,0.452419,0.402721,0.598739,0.693361,0.578023,11
0,0.867447,0.128702,0.193721,0.439778,0.516928,0.760986,0.711905,0.77551,0.593429,0.397919,1
0,0.886651,0.241021,0.34635,0.297147,0.437847,0.660449,0.626871,0.656062,0.645106,0.423277,2
0,0.79555,0.346093,0.397141,0.403856,0.64477,0.439456,0.603401,0.515906,0.489049,0.309818,3
0,0.750351,0.486452,0.486473,0.365029,0.56948,0.289915,0.553061,0.383253,0.591376,0.312419,4
0,0.621077,0.563012,0.738897,0.371896,0.265285,0.303825,0.436395,0.680672,0.575975,0.393368,5
0,0.651054,0.495747,0.687851,0.404649,0.377211,0.320582,0.536395,0.571729,0.704654,0.363459,6
0,0.461593,0.476213,0.87953,0.655045,0.237241,0.269997,0.17449,0.587335,0.896646,0.690182,7
0,0.38548,0.415406,0.879275,0.894083,0.217029,0.293076,0.059184,0.604142,0.804586,0.918401,8
0,0.471429,0.416982,0.734814,0.483888,0.233451,0.471704,0.377211,0.686375,0.749144,0.827373,9
0,0.337002,0.3431,0.584992,0.45589,0.417888,0.67847,0.508163,0.657563,0.735455,0.709688,10
0,0.650351,0.337744,0.667177,0.431326,0.332491,0.474866,0.443537,0.59964,0.69165,0.590377,11
0,0.832553,0.122558,0.196018,0.46804,0.536887,0.781853,0.704762,0.783914,0.547912,0.386866,1
0,0.895316,0.234562,0.352731,0.294242,0.438858,0.669617,0.643878,0.632953,0.651951,0.423927,2
0,0.80726,0.34058,0.379275,0.424194,0.613188,0.472969,0.576871,0.555222,0.449008,0.33485,3
0,0.745902,0.476371,0.50051,0.337559,0.604598,0.246917,0.551361,0.406963,0.568104,0.321521,4
0,0.627635,0.484562,0.823379,0.434496,0.242041,0.242491,0.404082,0.659064,0.594114,0.507477,5
0,0.664169,0.459357,0.713374,0.439514,0.330217,0.335441,0.491497,0.65036,0.677618,0.375488,6
0,0.475878,0.412728,0.886932,0.720814,0.322132,0.261777,0.103061,0.492197,0.901095,0.796814,7
0,0.384309,0.415879,0.882338,0.889065,0.218545,0.264938,0.089116,0.563625,0.810062,0.868986,8
0,0.47822,0.364682,0.764676,0.555203,0.237999,0.477079,0.403061,0.651261,0.700548,0.874187,9
0,0.26815,0.3661,0.622256,0.493133,0.447196,0.685109,0.478912,0.642557,0.726215,0.64922,10
0,0.638876,0.328292,0.681981,0.447174,0.30571,0.4951,0.485034,0.572029,0.679671,0.605982,11
0,0.793443,0.109641,0.220265,0.509509,0.550531,0.805248,0.704762,0.783613,0.512663,0.38199,1
0,0.880796,0.232042,0.347116,0.29794,0.443406,0.671198,0.648299,0.644658,0.655715,0.421001,2
0,0.801171,0.325614,0.369066,0.428685,0.591713,0.483718,0.563946,0.563025,0.4141,0.387841,3
0,0.731148,0.467706,0.5,0.310882,0.634664,0.220993,0.534014,0.409364,0.563313,0.304291,4
0,0.640749,0.436673,0.855283,0.477021,0.241789,0.190326,0.390816,0.635654,0.606776,0.564694,5
0,0.678454,0.436043,0.709801,0.436873,0.343103,0.280114,0.49966,0.633854,0.763518,0.360208,6
0,0.503279,0.359483,0.873405,0.753302,0.391107,0.285805,0.069388,0.419868,0.879877,0.864434,7
0,0.382904,0.414461,0.867534,0.868199,0.242799,0.276636,0,0.585534,0.84052,0.899545,8
0,0.481499,0.361531,0.750893,0.536978,0.207428,0.530509,0.480952,0.660864,0.664271,0.830949,9
0,0.209602,0.38138,0.657223,0.52879,0.45806,0.680367,0.436054,0.616447,0.720397,0.589402,10
0,0.609602,0.332861,0.686575,0.452721,0.322385,0.510907,0.47415,0.570228,0.669747,0.580624,11
0,0.762998,0.106805,0.240939,0.535658,0.551541,0.815049,0.72415,0.77491,0.496235,0.376138,1
0,0.870258,0.219124,0.345329,0.306392,0.443911,0.670882,0.641156,0.644358,0.659138,0.423927,2
0,0.770492,0.313957,0.392292,0.451136,0.593482,0.512804,0.566327,0.564526,0.393908,0.386541,3
0,0.739813,0.43431,0.510209,0.38299,0.504295,0.350617,0.484694,0.368848,0.657084,0.286086,4
0,0.633255,0.441399,0.852221,0.459588,0.226377,0.182422,0.432653,0.644958,0.575975,0.568596,5
